alias_city,alias_address,acquedotto,georeferencingString,type
Susegana,Collalto,Comune di Susegana,"Collalto, Susegana, TV, Veneto",POINT
Vittorio Veneto,via Dalmazia,Comune di Vittorio Veneto,"via Dalmazia, Vittorio Veneto, TV, Veneto",POINT
Vittorio Veneto,San Giacomo di Veglia,Comune di Vittorio Veneto,"San Giacomo di Veglia, Vittorio Veneto, TV, Veneto",POINT
Vittorio Veneto,Fadalto Basso,Comune di Vittorio Veneto,"Fadalto Basso, Vittorio Veneto, TV, Veneto",POINT
Vittorio Veneto,Nove,Comune di Vittorio Veneto,"Nove, Vittorio Veneto, TV, Veneto",POINT
Vittorio Veneto,Maren,Comune di Vittorio Veneto,"Maren, Vittorio Veneto, TV, Veneto",POINT
Vittorio Veneto,Forcal,Comune di Vittorio Veneto,"Forcal, Vittorio Veneto, TV, Veneto",POINT
Vittorio Veneto,Longhere,Comune di Vittorio Veneto,"Longhere, Vittorio Veneto, TV, Veneto",POINT
Vittorio Veneto,Bibanel,Comune di Vittorio Veneto,"Bibanel, Vittorio Veneto, TV, Veneto",POINT
Cappella Maggiore,Borgo Masotto,Comune di Vittorio Veneto,"Borgo MasottoComune di Vittorio Veneto, Cappella Maggiore, TV, Veneto",POINT
