alias_address,alias_city,Type,georeferencingString
STRADA DEL MONTE PURA,AMPEZZO,POLYGON,AMPEZZO
STRADA ESTERNA CORSO,AMPEZZO,POLYGON,AMPEZZO
VIA BRAZZOLETTA,AMPEZZO,POLYGON,AMPEZZO
VIA CA' MARTIN,AMPEZZO,POLYGON,AMPEZZO
VIA CHIZZO,AMPEZZO,POLYGON,AMPEZZO
VIA CLEVA,AMPEZZO,POLYGON,AMPEZZO
VIA COLCJAR,AMPEZZO,POLYGON,AMPEZZO
VIA CONCERCI,AMPEZZO,POLYGON,AMPEZZO
VIA CONCERCIN,AMPEZZO,POLYGON,AMPEZZO
VIA DELL' ASILO,AMPEZZO,POLYGON,AMPEZZO
VIA DELLA BUSA,AMPEZZO,POLYGON,AMPEZZO
VIA DELLA CLEVA,AMPEZZO,POLYGON,AMPEZZO
VIA DELLA POSTA,AMPEZZO,POLYGON,AMPEZZO
VIA ELLERO,AMPEZZO,POLYGON,AMPEZZO
VIA FLERIS,AMPEZZO,POLYGON,AMPEZZO
VIA GIUSEPPE ELLERO,AMPEZZO,POLYGON,AMPEZZO
VIA LAUCJIT,AMPEZZO,POLYGON,AMPEZZO
VIA MELAR,AMPEZZO,POLYGON,AMPEZZO
VIA NANE,AMPEZZO,POLYGON,AMPEZZO
VIA NAVAIS,AMPEZZO,POLYGON,AMPEZZO
VIA NAZIONALE,AMPEZZO,POLYGON,AMPEZZO
VIA OLTRIS,AMPEZZO,POLYGON,AMPEZZO
VIA PASCIS,AMPEZZO,POLYGON,AMPEZZO
VIA POSCJASIS,AMPEZZO,POLYGON,AMPEZZO
VIA SAURIS,AMPEZZO,POLYGON,AMPEZZO
VIALE DELLA MAINA,AMPEZZO,POLYGON,AMPEZZO
ZONA INDUSTRIALE,AMPEZZO,POLYGON,AMPEZZO
BORGO LIBERTA',AQUILEIA,POLYGON,AQUILEIA
CORSO ANTONIO GRAMSCI,AQUILEIA,POLYGON,AQUILEIA
LARGO DELLA QUERCIA,AQUILEIA,POLYGON,AQUILEIA
LARGO PACIFICO VALUSSI,AQUILEIA,POLYGON,AQUILEIA
LOCALITA' BELIGNA,AQUILEIA,POLYGON,AQUILEIA
LOCALITA' BONIF. IV PART.,AQUILEIA,POLYGON,AQUILEIA
LOCALITA' CA' ARA,AQUILEIA,POLYGON,AQUILEIA
LOCALITA' SAN ZILI,AQUILEIA,POLYGON,AQUILEIA
PIAZZA ARTURO TOSCANINI,AQUILEIA,POLYGON,AQUILEIA
PIAZZA CAPITOLO,AQUILEIA,POLYGON,AQUILEIA
PIAZZA FRATELLI CERVI,AQUILEIA,POLYGON,AQUILEIA
PIAZZA GIUSEPPE GARIBALDI,AQUILEIA,POLYGON,AQUILEIA
PIAZZA PIRANO,AQUILEIA,POLYGON,AQUILEIA
PIAZZA SAN GIOVANNI,AQUILEIA,POLYGON,AQUILEIA
VIA A. MALIGNANI,AQUILEIA,POLYGON,AQUILEIA
VIA ACHILLE GRANDI,AQUILEIA,POLYGON,AQUILEIA
VIA ANNA FRANK,AQUILEIA,POLYGON,AQUILEIA
VIA ANNIA,AQUILEIA,POLYGON,AQUILEIA
VIA BELIGNA,AQUILEIA,POLYGON,AQUILEIA
VIA BERTRANDO DI SAINT GENIES,AQUILEIA,POLYGON,AQUILEIA
VIA BOLIVIA,AQUILEIA,POLYGON,AQUILEIA
VIA BOSCO MOLECO,AQUILEIA,POLYGON,AQUILEIA
VIA CARLO PISACANE,AQUILEIA,POLYGON,AQUILEIA
VIA DANTE ALIGHIERI,AQUILEIA,POLYGON,AQUILEIA
VIA DEI PATRIARCHI,AQUILEIA,POLYGON,AQUILEIA
VIA DELLA CONCORDIA,AQUILEIA,POLYGON,AQUILEIA
VIA DELLE VIGNE VECCHIE,AQUILEIA,POLYGON,AQUILEIA
VIA ENRICO FERMI,AQUILEIA,POLYGON,AQUILEIA
VIA ENRICO MAIONICA,AQUILEIA,POLYGON,AQUILEIA
VIA ERNESTO CHE GUEVARA,AQUILEIA,POLYGON,AQUILEIA
VIA EUGENIO CURIEL,AQUILEIA,POLYGON,AQUILEIA
VIA F. PETRARCA,AQUILEIA,POLYGON,AQUILEIA
VIA FRATELLI ROSSELLI,AQUILEIA,POLYGON,AQUILEIA
VIA G. GIUSEPPE LIRUTI,AQUILEIA,POLYGON,AQUILEIA
VIA G. MAZZINI,AQUILEIA,POLYGON,AQUILEIA
VIA GAETANO SALVEMINI,AQUILEIA,POLYGON,AQUILEIA
VIA GARDENAL,AQUILEIA,POLYGON,AQUILEIA
VIA GEMINA,AQUILEIA,POLYGON,AQUILEIA
VIA GIANNINO BOSI BATTISTI,AQUILEIA,POLYGON,AQUILEIA
VIA GIOVANNI AMENDOLA,AQUILEIA,POLYGON,AQUILEIA
VIA GIOVANNI MINUT,AQUILEIA,POLYGON,AQUILEIA
VIA GIUSEPPE DI VITTORIO,AQUILEIA,POLYGON,AQUILEIA
VIA GIUSEPPE LIRUTI,AQUILEIA,POLYGON,AQUILEIA
VIA GIUSEPPE MAZZINI,AQUILEIA,POLYGON,AQUILEIA
VIA GIUSEPPE VERDI,AQUILEIA,POLYGON,AQUILEIA
VIA GUIDO PICELLI,AQUILEIA,POLYGON,AQUILEIA
VIA IPPOLITO NIEVO,AQUILEIA,POLYGON,AQUILEIA
VIA JULIA AUGUSTA,AQUILEIA,POLYGON,AQUILEIA
VIA LI PUARTIS,AQUILEIA,POLYGON,AQUILEIA
VIA LIVIA,AQUILEIA,POLYGON,AQUILEIA
VIA LUCIANO ROMAGNOLI,AQUILEIA,POLYGON,AQUILEIA
VIA LUCIO MANLIO ACIDINO,AQUILEIA,POLYGON,AQUILEIA
VIA MARTIN LUTHER KING,AQUILEIA,POLYGON,AQUILEIA
VIA MARTIRI DELLA LIBERTA',AQUILEIA,POLYGON,AQUILEIA
VIA MARTIRI DELLA RISIERA DI SAN SABBA,AQUILEIA,POLYGON,AQUILEIA
VIA MORO,AQUILEIA,POLYGON,AQUILEIA
VIA PATRIARCA POPONE,AQUILEIA,POLYGON,AQUILEIA
VIA PIER PAOLO PASOLINI,AQUILEIA,POLYGON,AQUILEIA
VIA PIER SILVERIO LEICHT,AQUILEIA,POLYGON,AQUILEIA
VIA ROGGIA DEL MOLINO,AQUILEIA,POLYGON,AQUILEIA
VIA ROMA,AQUILEIA,POLYGON,AQUILEIA
VIA ROSA ROSEMBERG,AQUILEIA,POLYGON,AQUILEIA
VIA SACCO E VANZETTI,AQUILEIA,POLYGON,AQUILEIA
VIA SALVADOR ALLENDE,AQUILEIA,POLYGON,AQUILEIA
VIA SALVEMINI,AQUILEIA,POLYGON,AQUILEIA
VIA SAN CROMAZIO,AQUILEIA,POLYGON,AQUILEIA
VIA SAN GIROLAMO,AQUILEIA,POLYGON,AQUILEIA
VIA SAN MARCO,AQUILEIA,POLYGON,AQUILEIA
VIA SAN ZILLI,AQUILEIA,POLYGON,AQUILEIA
VIA STAZIONE,AQUILEIA,POLYGON,AQUILEIA
VIA TINA MODOTTI,AQUILEIA,POLYGON,AQUILEIA
VIA TULLIA,AQUILEIA,POLYGON,AQUILEIA
VIA UGO PELLIS,AQUILEIA,POLYGON,AQUILEIA
VIA VESCOVO TEODORO,AQUILEIA,POLYGON,AQUILEIA
VIA VINCENZO IOPPI,AQUILEIA,POLYGON,AQUILEIA
VIA XXIV MAGGIO,AQUILEIA,POLYGON,AQUILEIA
VIALE PALUDO DEL ROSARIO,AQUILEIA,POLYGON,AQUILEIA
VICOLO ARA,AQUILEIA,POLYGON,AQUILEIA
VICOLO ARTURO ZARDINI,AQUILEIA,POLYGON,AQUILEIA
VICOLO BERNARDO DE RUBEIS,AQUILEIA,POLYGON,AQUILEIA
VICOLO CATERINA PERCOTO,AQUILEIA,POLYGON,AQUILEIA
VICOLO CIVIDALE,AQUILEIA,POLYGON,AQUILEIA
VICOLO CONCETTO MARCHESI,AQUILEIA,POLYGON,AQUILEIA
VICOLO DEGLI STATII,AQUILEIA,POLYGON,AQUILEIA
VICOLO DEI CAESERNI,AQUILEIA,POLYGON,AQUILEIA
VICOLO DEL CARPINO,AQUILEIA,POLYGON,AQUILEIA
VICOLO DEL SALICE,AQUILEIA,POLYGON,AQUILEIA
VICOLO DEL SAMBUCO,AQUILEIA,POLYGON,AQUILEIA
VICOLO DELL' ONTANO,AQUILEIA,POLYGON,AQUILEIA
VICOLO DON MINZONI,AQUILEIA,POLYGON,AQUILEIA
VICOLO DONATORI DI SANGUE,AQUILEIA,POLYGON,AQUILEIA
VICOLO GIACOMO MATTEOTTI,AQUILEIA,POLYGON,AQUILEIA
VICOLO GIUSEPPE MORO,AQUILEIA,POLYGON,AQUILEIA
VICOLO GRAZIADIO ISAIA ASCOLI,AQUILEIA,POLYGON,AQUILEIA
VICOLO LUIGI GORTANI,AQUILEIA,POLYGON,AQUILEIA
VICOLO PABLO NERUDA,AQUILEIA,POLYGON,AQUILEIA
VICOLO PAPA GIOVANNI XXIII,AQUILEIA,POLYGON,AQUILEIA
VICOLO PAPA PIO I,AQUILEIA,POLYGON,AQUILEIA
VICOLO PIERO CALAMANDREI,AQUILEIA,POLYGON,AQUILEIA
VICOLO PUNTIN,AQUILEIA,POLYGON,AQUILEIA
VICOLO RODOLFO MORANDI,AQUILEIA,POLYGON,AQUILEIA
VICOLO RUGGERO GRIECO,AQUILEIA,POLYGON,AQUILEIA
VICOLO V. TONELLI,AQUILEIA,POLYGON,AQUILEIA
VICOLO VALMI PUNTIN,AQUILEIA,POLYGON,AQUILEIA
VICOLO VINCENZO JOPPI,AQUILEIA,POLYGON,AQUILEIA
VICOLO VIRGINIA TONELLI,AQUILEIA,POLYGON,AQUILEIA
FRAZ. PIANO VIA CHIUSINI,ARTA TERME,POLYGON,ARTA TERME
FRAZ. PIANO VIA PERARIA,ARTA TERME,POLYGON,ARTA TERME
FRAZIONE CABIA,ARTA TERME,POLYGON,ARTA TERME
FRAZIONE CEDARCHIS,ARTA TERME,POLYGON,ARTA TERME
FRAZIONE LOVEA,ARTA TERME,POLYGON,ARTA TERME
FRAZIONE PIANO,ARTA TERME,POLYGON,ARTA TERME
FRAZIONE PIEDIM,ARTA TERME,POLYGON,ARTA TERME
FRAZIONE RIVALPO,ARTA TERME,POLYGON,ARTA TERME
FRAZIONE VALLE,ARTA TERME,POLYGON,ARTA TERME
LOCALITA' ALZERI,ARTA TERME,POLYGON,ARTA TERME
LOCALITA' AVOSACCO,ARTA TERME,POLYGON,ARTA TERME
LOCALITA' CJAMP STUART,ARTA TERME,POLYGON,ARTA TERME
LOCALITA' NIVUAE,ARTA TERME,POLYGON,ARTA TERME
LOCALITA' RANDICE,ARTA TERME,POLYGON,ARTA TERME
LOCALITA' STAULOT,ARTA TERME,POLYGON,ARTA TERME
LOCALITA' TORI,ARTA TERME,POLYGON,ARTA TERME
VIA AVOSACCO,ARTA TERME,POLYGON,ARTA TERME
VIA CABIA,ARTA TERME,POLYGON,ARTA TERME
VIA CASALETTO,ARTA TERME,POLYGON,ARTA TERME
VIA CASTAGNETO,ARTA TERME,POLYGON,ARTA TERME
VIA CASTAGNETO 13,ARTA TERME,POLYGON,ARTA TERME
VIA CASTEGNETO,ARTA TERME,POLYGON,ARTA TERME
VIA CEDARCHIS,ARTA TERME,POLYGON,ARTA TERME
VIA CEDARCHIS 15,ARTA TERME,POLYGON,ARTA TERME
VIA CENTA,ARTA TERME,POLYGON,ARTA TERME
VIA CHIUSINI,ARTA TERME,POLYGON,ARTA TERME
VIA CITTA' DI NOALE,ARTA TERME,POLYGON,ARTA TERME
VIA DELLA CHIESA,ARTA TERME,POLYGON,ARTA TERME
