alias_address,alias_city,georeferencingString,polygonKey,type
VIA MONSIGNOR DAVID MARIA TUROLDO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA MONSIGNOR DAVID MARIA TUROLDO,,POINT
VIA MONSIGNORE ANGELO RAMAZZOTTI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA MONSIGNORE ANGELO RAMAZZOTTI,,POINT
VIA MONSIGNORE LUIGI FAIDUTTI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA MONSIGNORE LUIGI FAIDUTTI,,POINT
VIA MULIN DI PUNT,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA MULIN DI PUNT,,POINT
VIA MURTISINA,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA MURTISINA,,POINT
VIA NAZARIO SAURO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA NAZARIO SAURO,,POINT
VIA NIEVO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA NIEVO,,POINT
VIA NIEVO IPPOLITO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA NIEVO IPPOLITO,,POINT
VIA OBIZ,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA OBIZ,,POINT
VIA OSOPPO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA OSOPPO,,POINT
VIA PALMANOVA,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA PALMANOVA,,POINT
VIA PIETRO MASCAGNI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA PIETRO MASCAGNI,,POINT
VIA PIETRO SARCINELLI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA PIETRO SARCINELLI,,POINT
VIA PIETRO ZORUTTI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA PIETRO ZORUTTI,,POINT
VIA POLA,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA POLA,,POINT
VIA PONTE ORLANDO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA PONTE ORLANDO,,POINT
VIA PRADATI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA PRADATI,,POINT
VIA PRADICORT,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA PRADICORT,,POINT
VIA PREDICORT,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA PREDICORT,,POINT
VIA PRIMO CARNERA,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA PRIMO CARNERA,,POINT
VIA ROMA,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA ROMA,,POINT
VIA SAN FRANCESCO D' ASSISI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA SAN FRANCESCO D' ASSISI,,POINT
VIA SAN GALLO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA SAN GALLO,,POINT
VIA SAN MARCO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA SAN MARCO,,POINT
VIA SAN MARTINO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA SAN MARTINO,,POINT
VIA SAN ZENONE,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA SAN ZENONE,,POINT
VIA SANTA MARIA IN VINEIS,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA SANTA MARIA IN VINEIS,,POINT
VIA SILVANO BARICH,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA SILVANO BARICH,,POINT
VIA SILVIO MARCUZZI MONTES,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA SILVIO MARCUZZI MONTES,,POINT
VIA SOLFERINO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA SOLFERINO,,POINT
VIA TAGLIAMENTO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA TAGLIAMENTO,,POINT
VIA TAGLIO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA TAGLIO,,POINT
VIA TERZA ARMATA,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA TERZA ARMATA,,POINT
VIA TORAT,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA TORAT,,POINT
VIA TORINO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA TORINO,,POINT
VIA TORRE,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA TORRE,,POINT
VIA TRENTO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA TRENTO,,POINT
VIA TRIESTE,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA TRIESTE,,POINT
VIA TUROLDO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA TUROLDO,,POINT
VIA UDINE,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA UDINE,,POINT
VIA UGO FOSCOLO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA UGO FOSCOLO,,POINT
VIA UGO PELLIS,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA UGO PELLIS,,POINT
VIA UMBERTO SABA,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA UMBERTO SABA,,POINT
VIA VAL PESARINA,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA VAL PESARINA,,POINT
VIA VENETO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA VENETO,,POINT
VIA VENEZIA,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA VENEZIA,,POINT
VIA VESPUCCI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA VESPUCCI,,POINT
VIA VINCENZO BELLINI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA VINCENZO BELLINI,,POINT
VIA VINCENZO GIOBERTI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA VINCENZO GIOBERTI,,POINT
VIA XI FEBBRAIO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA XI FEBBRAIO,,POINT
VIA XX SETTEMBRE,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA XX SETTEMBRE,,POINT
VIA XXIV MAGGIO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA XXIV MAGGIO,,POINT
VIA ZARA,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIA ZARA,,POINT
VIALE ALDO MORO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIALE ALDO MORO,,POINT
VIALE ALFREDO LAZZARO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIALE ALFREDO LAZZARO,,POINT
VIALE ANTONIO GRAMSCI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIALE ANTONIO GRAMSCI,,POINT
VIALE GIACOMO MATTEOTTI,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIALE GIACOMO MATTEOTTI,,POINT
VIALE STAZIONE,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VIALE STAZIONE,,POINT
VICOLO CORTO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VICOLO CORTO,,POINT
VICOLO DEL FORNO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VICOLO DEL FORNO,,POINT
VICOLO DELLE SEMINE,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VICOLO DELLE SEMINE,,POINT
VICOLO MODON,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VICOLO MODON,,POINT
VILLA CHIOZZA VIA CARSO,CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI VILLA CHIOZZA VIA CARSO,,POINT
FRAZIONE CLABUZZARO,DRENCHIA,DRENCHIA FRAZIONE CLABUZZARO,,POINT
FRAZIONE CRAI,DRENCHIA,DRENCHIA FRAZIONE CRAI,,POINT
FRAZIONE CRAS,DRENCHIA,DRENCHIA FRAZIONE CRAS,,POINT
FRAZIONE DRENCHIA INFERIORE,DRENCHIA,DRENCHIA FRAZIONE DRENCHIA INFERIORE,,POINT
FRAZIONE DRENCHIA SUPERIORE,DRENCHIA,DRENCHIA FRAZIONE DRENCHIA SUPERIORE,,POINT
FRAZIONE LASE,DRENCHIA,DRENCHIA FRAZIONE LASE,,POINT
FRAZIONE MALINSCHE,DRENCHIA,DRENCHIA FRAZIONE MALINSCHE,,POINT
FRAZIONE OBENETTO,DRENCHIA,DRENCHIA FRAZIONE OBENETTO,,POINT
FRAZIONE OBRANCHE,DRENCHIA,DRENCHIA FRAZIONE OBRANCHE,,POINT
FRAZIONE OZNEBRIDA,DRENCHIA,DRENCHIA FRAZIONE OZNEBRIDA,,POINT
FRAZIONE PACIUCH,DRENCHIA,DRENCHIA FRAZIONE PACIUCH,,POINT
FRAZIONE PETERNEL,DRENCHIA,DRENCHIA FRAZIONE PETERNEL,,POINT
FRAZIONE PRAPOTNIZZA,DRENCHIA,DRENCHIA FRAZIONE PRAPOTNIZZA,,POINT
FRAZIONE SAN VOLFANGO,DRENCHIA,DRENCHIA FRAZIONE SAN VOLFANGO,,POINT
FRAZIONE TRINCO,DRENCHIA,DRENCHIA FRAZIONE TRINCO,,POINT
FRAZIONE TRUSGNE,DRENCHIA,DRENCHIA FRAZIONE TRUSGNE,,POINT
FRAZIONE ZAVART,DRENCHIA,DRENCHIA FRAZIONE ZAVART,,POINT
FRAZIONE ZUODAR,DRENCHIA,DRENCHIA FRAZIONE ZUODAR,,POINT
LOCALITA' SOLARIE,DRENCHIA,DRENCHIA LOCALITA' SOLARIE,,POINT
VIA PACIUCH,DRENCHIA,DRENCHIA VIA PACIUCH,,POINT
FRAZ. COLZA VIA MAIASO,ENEMONZO,ENEMONZO FRAZ. COLZA VIA MAIASO,,POINT
FRAZ. ESEMON DI SOTTO,ENEMONZO,ENEMONZO FRAZ. ESEMON DI SOTTO,,POINT
FRAZ. ESEMON DI SOTTO VIA CAMPAGNA,ENEMONZO,ENEMONZO FRAZ. ESEMON DI SOTTO VIA CAMPAGNA,,POINT
FRAZ. ESEMON DI SOTTO VIA DI CENTRO,ENEMONZO,ENEMONZO FRAZ. ESEMON DI SOTTO VIA DI CENTRO,,POINT
FRAZ. ESEMON DI SOTTO VIA SUPERIORE,ENEMONZO,ENEMONZO FRAZ. ESEMON DI SOTTO VIA SUPERIORE,,POINT
FRAZ. FRESIS VIA TAVIELA,ENEMONZO,ENEMONZO FRAZ. FRESIS VIA TAVIELA,,POINT
FRAZ. MAIASO VIA CLEVA,ENEMONZO,ENEMONZO FRAZ. MAIASO VIA CLEVA,,POINT
FRAZ. MAIASO VIA SAN ANTONIO,ENEMONZO,ENEMONZO FRAZ. MAIASO VIA SAN ANTONIO,,POINT
FRAZ. MAIASO VIA VIGNA,ENEMONZO,ENEMONZO FRAZ. MAIASO VIA VIGNA,,POINT
FRAZ. QUINIS VIA NAZIONALE,ENEMONZO,ENEMONZO FRAZ. QUINIS VIA NAZIONALE,,POINT
FRAZ. TARTINIS VIA STRADATA,ENEMONZO,ENEMONZO FRAZ. TARTINIS VIA STRADATA,,POINT
FRAZIONE ESEMON DI SOTTO,ENEMONZO,ENEMONZO FRAZIONE ESEMON DI SOTTO,,POINT
FRAZIONE QUINIS,ENEMONZO,ENEMONZO FRAZIONE QUINIS,,POINT
FRAZIONE QUINIS VIA NAZIONALE,ENEMONZO,ENEMONZO FRAZIONE QUINIS VIA NAZIONALE,,POINT
FRAZIONE TARTINIS,ENEMONZO,ENEMONZO FRAZIONE TARTINIS,,POINT
LOCALITA' CICULIS,ENEMONZO,ENEMONZO LOCALITA' CICULIS,,POINT
LOCALITA' DUREDIA VIA PANI,ENEMONZO,ENEMONZO LOCALITA' DUREDIA VIA PANI,,POINT
LOCALITA' PANI,ENEMONZO,ENEMONZO LOCALITA' PANI,,POINT
LOCALITA' PRIVILEGIO,ENEMONZO,ENEMONZO LOCALITA' PRIVILEGIO,,POINT
LOCALITA' PROMEAL,ENEMONZO,ENEMONZO LOCALITA' PROMEAL,,POINT
LOCALITA' RAVEIS,ENEMONZO,ENEMONZO LOCALITA' RAVEIS,,POINT
LOCALITA' SELET,ENEMONZO,ENEMONZO LOCALITA' SELET,,POINT
LOCALITA' VAAS,ENEMONZO,ENEMONZO LOCALITA' VAAS,,POINT
VIA ALLA CHIESA,ENEMONZO,ENEMONZO VIA ALLA CHIESA,,POINT
VIA ALTA,ENEMONZO,ENEMONZO VIA ALTA,,POINT
VIA ANDRONE BEARZI,ENEMONZO,ENEMONZO VIA ANDRONE BEARZI,,POINT
VIA BAILON,ENEMONZO,ENEMONZO VIA BAILON,,POINT
VIA BARCIANS,ENEMONZO,ENEMONZO VIA BARCIANS,,POINT
VIA BEORCHIA,ENEMONZO,ENEMONZO VIA BEORCHIA,,POINT
VIA BORIA,ENEMONZO,ENEMONZO VIA BORIA,,POINT
VIA BORTA,ENEMONZO,ENEMONZO VIA BORTA,,POINT
VIA CALVI PIER FORTUNATO,ENEMONZO,ENEMONZO VIA CALVI PIER FORTUNATO,,POINT
VIA CAMPAGNA,ENEMONZO,ENEMONZO VIA CAMPAGNA,,POINT
VIA CANONICA,ENEMONZO,ENEMONZO VIA CANONICA,,POINT
VIA CASOLARI,ENEMONZO,ENEMONZO VIA CASOLARI,,POINT
VIA CENTRALE,ENEMONZO,ENEMONZO VIA CENTRALE,,POINT
VIA CICULIS,ENEMONZO,ENEMONZO VIA CICULIS,,POINT
VIA CLEVA,ENEMONZO,ENEMONZO VIA CLEVA,,POINT
VIA COOPERATIVA,ENEMONZO,ENEMONZO VIA COOPERATIVA,,POINT
VIA DA DOTA,ENEMONZO,ENEMONZO VIA DA DOTA,,POINT
VIA DA ROTA,ENEMONZO,ENEMONZO VIA DA ROTA,,POINT
VIA DEGLI ORTI,ENEMONZO,ENEMONZO VIA DEGLI ORTI,,POINT
VIA DEI PIOPPI,ENEMONZO,ENEMONZO VIA DEI PIOPPI,,POINT
VIA DEI TIGLI,ENEMONZO,ENEMONZO VIA DEI TIGLI,,POINT
VIA DEL BOSCO,ENEMONZO,ENEMONZO VIA DEL BOSCO,,POINT
VIA DEL CENTRO,ENEMONZO,ENEMONZO VIA DEL CENTRO,,POINT
VIA DEL VECCHIO MULINO,ENEMONZO,ENEMONZO VIA DEL VECCHIO MULINO,,POINT
VIA DELLE SCUOLE,ENEMONZO,ENEMONZO VIA DELLE SCUOLE,,POINT
VIA DI MEZZO,ENEMONZO,ENEMONZO VIA DI MEZZO,,POINT
VIA DI SOTTO,ENEMONZO,ENEMONZO VIA DI SOTTO,,POINT
VIA ESEMON DI SOTTO,ENEMONZO,ENEMONZO VIA ESEMON DI SOTTO,,POINT
VIA FORNACE,ENEMONZO,ENEMONZO VIA FORNACE,,POINT
VIA FRESIS,ENEMONZO,ENEMONZO VIA FRESIS,,POINT
VIA INFERIORE,ENEMONZO,ENEMONZO VIA INFERIORE,,POINT
VIA LARGA,ENEMONZO,ENEMONZO VIA LARGA,,POINT
VIA MAIASO,ENEMONZO,ENEMONZO VIA MAIASO,,POINT
VIA MULINUT,ENEMONZO,ENEMONZO VIA MULINUT,,POINT
VIA NARZANS,ENEMONZO,ENEMONZO VIA NARZANS,,POINT
VIA NAZIONALE,ENEMONZO,ENEMONZO VIA NAZIONALE,,POINT
VIA NAZIONE,ENEMONZO,ENEMONZO VIA NAZIONE,,POINT
VIA NOVA,ENEMONZO,ENEMONZO VIA NOVA,,POINT
VIA NUOVA,ENEMONZO,ENEMONZO VIA NUOVA,,POINT
VIA PANI,ENEMONZO,ENEMONZO VIA PANI,,POINT
VIA PAS GRANT,ENEMONZO,ENEMONZO VIA PAS GRANT,,POINT
VIA PASCOLEZ,ENEMONZO,ENEMONZO VIA PASCOLEZ,,POINT
VIA PER RAVEO,ENEMONZO,ENEMONZO VIA PER RAVEO,,POINT
VIA PIAZZA FONTANA,ENEMONZO,ENEMONZO VIA PIAZZA FONTANA,,POINT
VIA PIAZZETTA,ENEMONZO,ENEMONZO VIA PIAZZETTA,,POINT
VIA PITITON,ENEMONZO,ENEMONZO VIA PITITON,,POINT
VIA POZ,ENEMONZO,ENEMONZO VIA POZ,,POINT
VIA PRADIS,ENEMONZO,ENEMONZO VIA PRADIS,,POINT
VIA PRINCIPALE,ENEMONZO,ENEMONZO VIA PRINCIPALE,,POINT
VIA PRIVILEGIO,ENEMONZO,ENEMONZO VIA PRIVILEGIO,,POINT
VIA PROMEAL,ENEMONZO,ENEMONZO VIA PROMEAL,,POINT
VIA PROVINCIALE,ENEMONZO,ENEMONZO VIA PROVINCIALE,,POINT
VIA QUESTULAS,ENEMONZO,ENEMONZO VIA QUESTULAS,,POINT
VIA RAVEIS,ENEMONZO,ENEMONZO VIA RAVEIS,,POINT
VIA RIBAS,ENEMONZO,ENEMONZO VIA RIBAS,,POINT
VIA RIBIDIA,ENEMONZO,ENEMONZO VIA RIBIDIA,,POINT
VIA RIBIDIS,ENEMONZO,ENEMONZO VIA RIBIDIS,,POINT
VIA RIBIS 4,ENEMONZO,ENEMONZO VIA RIBIS 4,,POINT
VIA RIO PRIMI,ENEMONZO,ENEMONZO VIA RIO PRIMI,,POINT
VIA ROMA,ENEMONZO,ENEMONZO VIA ROMA,,POINT
VIA RUNCHS,ENEMONZO,ENEMONZO VIA RUNCHS,,POINT
VIA SAN  ROCCO,ENEMONZO,ENEMONZO VIA SAN  ROCCO,,POINT
VIA SAN ANTONIO,ENEMONZO,ENEMONZO VIA SAN ANTONIO,,POINT
VIA SAN JURI,ENEMONZO,ENEMONZO VIA SAN JURI,,POINT
VIA SAN ROCCO,ENEMONZO,ENEMONZO VIA SAN ROCCO,,POINT
VIA SANT' ANTONIO,ENEMONZO,ENEMONZO VIA SANT' ANTONIO,,POINT
VIA SARIU',ENEMONZO,ENEMONZO VIA SARIU',,POINT
VIA SAVOREIT,ENEMONZO,ENEMONZO VIA SAVOREIT,,POINT
VIA SIBERIA,ENEMONZO,ENEMONZO VIA SIBERIA,,POINT
VIA SORAVIAS,ENEMONZO,ENEMONZO VIA SORAVIAS,,POINT
VIA STRADATA,ENEMONZO,ENEMONZO VIA STRADATA,,POINT
VIA STRETTA,ENEMONZO,ENEMONZO VIA STRETTA,,POINT
VIA SUPERIORE,ENEMONZO,ENEMONZO VIA SUPERIORE,,POINT
VIA TAGLIAMENTO,ENEMONZO,ENEMONZO VIA TAGLIAMENTO,,POINT
VIA TARQUINIUS,ENEMONZO,ENEMONZO VIA TARQUINIUS,,POINT
VIA TARTINIS,ENEMONZO,ENEMONZO VIA TARTINIS,,POINT
VIA TAVIELA,ENEMONZO,ENEMONZO VIA TAVIELA,,POINT
VIA TRENTO,ENEMONZO,ENEMONZO VIA TRENTO,,POINT
VIA TRIESTE,ENEMONZO,ENEMONZO VIA TRIESTE,,POINT
VIA VAL BUT,ENEMONZO,ENEMONZO VIA VAL BUT,,POINT
VIA VECCHIO MULINO,ENEMONZO,ENEMONZO VIA VECCHIO MULINO,,POINT
VIA VIGNA,ENEMONZO,ENEMONZO VIA VIGNA,,POINT
VIA VODIS,ENEMONZO,ENEMONZO VIA VODIS,,POINT
VICOLO CASTELLO,ENEMONZO,ENEMONZO VICOLO CASTELLO,,POINT
VILLAGGIO 6 VIA SAVOREIT,ENEMONZO,ENEMONZO VILLAGGIO 6 VIA SAVOREIT,,POINT
BORGO CANAL DEL FERRO,FAEDIS,FAEDIS BORGO CANAL DEL FERRO,,POINT
BORGO CLAP,FAEDIS,FAEDIS BORGO CLAP,,POINT
BORGO COSTALUNGA,FAEDIS,FAEDIS BORGO COSTALUNGA,,POINT
BORGO COSTAPIANA,FAEDIS,FAEDIS BORGO COSTAPIANA,,POINT
BORGO GRADISCHIUTTA,FAEDIS,FAEDIS BORGO GRADISCHIUTTA,,POINT
BORGO PEDROSA,FAEDIS,FAEDIS BORGO PEDROSA,,POINT
BORGO SAN PIETRO,FAEDIS,FAEDIS BORGO SAN PIETRO,,POINT
BORGO SCUBLA,FAEDIS,FAEDIS BORGO SCUBLA,,POINT
BORGO STREMIZ,FAEDIS,FAEDIS BORGO STREMIZ,,POINT
BORGO TRAMONTINS,FAEDIS,FAEDIS BORGO TRAMONTINS,,POINT
CASALI BERTOSSI,FAEDIS,FAEDIS CASALI BERTOSSI,,POINT
CASE SPARSE,FAEDIS,FAEDIS CASE SPARSE,,POINT
LOCALITA' CASE COS,FAEDIS,FAEDIS LOCALITA' CASE COS,,POINT
LOCALITA' FARCADIZZE,FAEDIS,FAEDIS LOCALITA' FARCADIZZE,,POINT
PIAZZA ANTONIO CLEMENCIG,FAEDIS,FAEDIS PIAZZA ANTONIO CLEMENCIG,,POINT
PIAZZA DELLA CHIESA,FAEDIS,FAEDIS PIAZZA DELLA CHIESA,,POINT
PIAZZA GEMELLAGGIO VITTORIO VENETO,FAEDIS,FAEDIS PIAZZA GEMELLAGGIO VITTORIO VENETO,,POINT
PIAZZA I MAGGIO,FAEDIS,FAEDIS PIAZZA I MAGGIO,,POINT
PIAZZA IV NOVEMBRE,FAEDIS,FAEDIS PIAZZA IV NOVEMBRE,,POINT
PIAZZA MONSIGNORE PELIZZO,FAEDIS,FAEDIS PIAZZA MONSIGNORE PELIZZO,,POINT
STRADA PROVINCIALE,FAEDIS,FAEDIS STRADA PROVINCIALE,,POINT
VIA ABATE JACOPO CAVALLI,FAEDIS,FAEDIS VIA ABATE JACOPO CAVALLI,,POINT
VIA ANTONIUTTI,FAEDIS,FAEDIS VIA ANTONIUTTI,,POINT
VIA ANTONUTTI,FAEDIS,FAEDIS VIA ANTONUTTI,,POINT
VIA CA' BERTOSSI,FAEDIS,FAEDIS VIA CA' BERTOSSI,,POINT
VIA CANAL DI GRIVO',FAEDIS,FAEDIS VIA CANAL DI GRIVO',,POINT
VIA CANALUTTO,FAEDIS,FAEDIS VIA CANALUTTO,,POINT
VIA CANAZ,FAEDIS,FAEDIS VIA CANAZ,,POINT
VIA CANDEO,FAEDIS,FAEDIS VIA CANDEO,,POINT
VIA CASALI DE LUCA,FAEDIS,FAEDIS VIA CASALI DE LUCA,,POINT
VIA CASE CANALE ALTO,FAEDIS,FAEDIS VIA CASE CANALE ALTO,,POINT
VIA CASE COLLEVILLANO,FAEDIS,FAEDIS VIA CASE COLLEVILLANO,,POINT
VIA CASE COLLOREDO,FAEDIS,FAEDIS VIA CASE COLLOREDO,,POINT
VIA CASE COS,FAEDIS,FAEDIS VIA CASE COS,,POINT
VIA CASE PRA' DELLA ROGGIA,FAEDIS,FAEDIS VIA CASE PRA' DELLA ROGGIA,,POINT
VIA CASE PRESA,FAEDIS,FAEDIS VIA CASE PRESA,,POINT
VIA CASTELLANA,FAEDIS,FAEDIS VIA CASTELLANA,,POINT
VIA CATALOGNA,FAEDIS,FAEDIS VIA CATALOGNA,,POINT
VIA CITTA' DI NAVE,FAEDIS,FAEDIS VIA CITTA' DI NAVE,,POINT
VIA CIVIDALE,FAEDIS,FAEDIS VIA CIVIDALE,,POINT
VIA CIVIDINA,FAEDIS,FAEDIS VIA CIVIDINA,,POINT
VIA CLAP,FAEDIS,FAEDIS VIA CLAP,,POINT
VIA CROSADE,FAEDIS,FAEDIS VIA CROSADE,,POINT
VIA CUARDE,FAEDIS,FAEDIS VIA CUARDE,,POINT
VIA DEGLI ULIVI,FAEDIS,FAEDIS VIA DEGLI ULIVI,,POINT
VIA DEI CAMPI,FAEDIS,FAEDIS VIA DEI CAMPI,,POINT
VIA DEI CASTELLI,FAEDIS,FAEDIS VIA DEI CASTELLI,,POINT
VIA DEI CJAMPANAT,FAEDIS,FAEDIS VIA DEI CJAMPANAT,,POINT
VIA DEI GIOCHI,FAEDIS,FAEDIS VIA DEI GIOCHI,,POINT
VIA DEI GJARLINS,FAEDIS,FAEDIS VIA DEI GJARLINS,,POINT
VIA DEI MOLINI,FAEDIS,FAEDIS VIA DEI MOLINI,,POINT
VIA DEI PERABO',FAEDIS,FAEDIS VIA DEI PERABO',,POINT
VIA DEL CJAMPANAT,FAEDIS,FAEDIS VIA DEL CJAMPANAT,,POINT
VIA DEL CONVENTO,FAEDIS,FAEDIS VIA DEL CONVENTO,,POINT
VIA DELLA RICOSTRUZIONE,FAEDIS,FAEDIS VIA DELLA RICOSTRUZIONE,,POINT
VIA DELLA RINASCITA,FAEDIS,FAEDIS VIA DELLA RINASCITA,,POINT
VIA DELLA ROGGIA,FAEDIS,FAEDIS VIA DELLA ROGGIA,,POINT
VIA DELLE CAVE,FAEDIS,FAEDIS VIA DELLE CAVE,,POINT
VIA DELLE VIGNE,FAEDIS,FAEDIS VIA DELLE VIGNE,,POINT
VIA DI SOPRA,FAEDIS,FAEDIS VIA DI SOPRA,,POINT
VIA DIVISIONE JULIA,FAEDIS,FAEDIS VIA DIVISIONE JULIA,,POINT
VIA DOTTOR LUIGI GAUDIO,FAEDIS,FAEDIS VIA DOTTOR LUIGI GAUDIO,,POINT
VIA FEDEL,FAEDIS,FAEDIS VIA FEDEL,,POINT
VIA GIACOMO MATTEOTTI,FAEDIS,FAEDIS VIA GIACOMO MATTEOTTI,,POINT
VIA J.CAVALLI,FAEDIS,FAEDIS VIA J.CAVALLI,,POINT
VIA JURETIGH,FAEDIS,FAEDIS VIA JURETIGH,,POINT
VIA LEA D' ORLANDI,FAEDIS,FAEDIS VIA LEA D' ORLANDI,,POINT
VIA LIPA,FAEDIS,FAEDIS VIA LIPA,,POINT
VIA MAGREDIS,FAEDIS,FAEDIS VIA MAGREDIS,,POINT
VIA MONTE JOANES,FAEDIS,FAEDIS VIA MONTE JOANES,,POINT
VIA MONTE PICCAT,FAEDIS,FAEDIS VIA MONTE PICCAT,,POINT
VIA MONTE SAN LORENZO,FAEDIS,FAEDIS VIA MONTE SAN LORENZO,,POINT
VIA NOVA GORICA,FAEDIS,FAEDIS VIA NOVA GORICA,,POINT
VIA PAOLO DIACONO,FAEDIS,FAEDIS VIA PAOLO DIACONO,,POINT
VIA POCIVALLA,FAEDIS,FAEDIS VIA POCIVALLA,,POINT
VIA POLISPORTIVO,FAEDIS,FAEDIS VIA POLISPORTIVO,,POINT
VIA PRA' DELLA ROGGIA,FAEDIS,FAEDIS VIA PRA' DELLA ROGGIA,,POINT
VIA PRANUF,FAEDIS,FAEDIS VIA PRANUF,,POINT
VIA PRESTENTO,FAEDIS,FAEDIS VIA PRESTENTO,,POINT
VIA RUOBIA,FAEDIS,FAEDIS VIA RUOBIA,,POINT
VIA SALMAZZA,FAEDIS,FAEDIS VIA SALMAZZA,,POINT
VIA SAN MICHELE,FAEDIS,FAEDIS VIA SAN MICHELE,,POINT
VIA SAN ROCCO,FAEDIS,FAEDIS VIA SAN ROCCO,,POINT
VIA SAN TEODATO,FAEDIS,FAEDIS VIA SAN TEODATO,,POINT
VIA SANT' ANTONIO,FAEDIS,FAEDIS VIA SANT' ANTONIO,,POINT
VIA SCATTOLIN,FAEDIS,FAEDIS VIA SCATTOLIN,,POINT
VIA SELINA,FAEDIS,FAEDIS VIA SELINA,,POINT
VIA SOFFUMBERGO,FAEDIS,FAEDIS VIA SOFFUMBERGO,,POINT
VIA STENTARIE,FAEDIS,FAEDIS VIA STENTARIE,,POINT
VIA TARCENTO,FAEDIS,FAEDIS VIA TARCENTO,,POINT
VIA TRENTO,FAEDIS,FAEDIS VIA TRENTO,,POINT
VIA UDINE,FAEDIS,FAEDIS VIA UDINE,,POINT
