alias_address,alias_city,georeferencingString,type
Reno - Leggiuno,Leggiuno - loc. Reno,"Reno - Leggiuno, Leggiuno - loc. Reno, Lombardia",POINT
Piazza G. Marconi- Leggiuno,Leggiuno - Municipio,"Piazza G. Marconi- Leggiuno, Leggiuno - Municipio, Lombardia",POINT
Piazza Matteotti - Lonate Ceppino,Lonate Ceppino - Colonnina,"Piazza Matteotti - Lonate Ceppino, Lonate Ceppino - Colonnina, Lombardia",POINT
Via Volta - Lonate Pozzolo,Lonate Pozzolo - Colonnina,"Via Volta - Lonate Pozzolo, Lonate Pozzolo - Colonnina, Lombardia",POINT
Via Rimembranze - Lonate Pozzolo,Lonate Pozzolo - Colonnina,"Via Rimembranze - Lonate Pozzolo, Lonate Pozzolo - Colonnina, Lombardia",POINT
Via Pisa - Lonate Pozzolo,Lonate Pozzolo - Colonnina,"Via Pisa - Lonate Pozzolo, Lonate Pozzolo - Colonnina, Lombardia",POINT
Viale Rimembranze - Malgesso,Malgesso Scuola Elementare,"Viale Rimembranze - Malgesso, Malgesso Scuola Elementare, Lombardia",POINT
Via Genova - Marnate,Marnate - rete colonna stradale,"Via Genova - Marnate, Marnate - rete colonna stradale, Lombardia",POINT
Via Tanaro - Marnate,Marnate - rete colonna stradale,"Via Tanaro - Marnate, Marnate - rete colonna stradale, Lombardia",POINT
Via Cesare Battisti - Marnate,Marnate - rete colonna stradale,"Via Cesare Battisti - Marnate, Marnate - rete colonna stradale, Lombardia",POINT
Via Cascina Risaia - Mornago,Mornago - Cimitero Crugnola,"Via Cascina Risaia - Mornago, Mornago - Cimitero Crugnola, Lombardia",POINT
Via Dante Alighieri - Mornago,Mornago - Cimitero Montonate,"Via Dante Alighieri - Mornago, Mornago - Cimitero Montonate, Lombardia",POINT
"Piazza Libertà, 1 - Mornago",Mornago Municipio,"Piazza Libertà, 1 - Mornago, Mornago Municipio, Lombardia",POINT
"Via Bonacalza, 135 - Oggiona Santo Stefano",Oggiona S. Stefano - casa dell'acqua,"Via Bonacalza, 135 - Oggiona Santo Stefano, Oggiona S. Stefano - casa dell'acqua, Lombardia",POINT
"P.zza Risorgimento, 1 - Oggiona Santo Stefano",Oggiona S. Stefano - Sc. Elementare C. Battisti,"P.zza Risorgimento, 1 - Oggiona Santo Stefano, Oggiona S. Stefano - Sc. Elementare C. Battisti, Lombardia",POINT
Via Marconi - Oggiona Santo Stefano,Oggiona S. Stefano - Sc. Elementare Cantore,"Via Marconi - Oggiona Santo Stefano, Oggiona S. Stefano - Sc. Elementare Cantore, Lombardia",POINT
"Via Aldo Moro, 6 - Oggiona Santo Stefano",Oggiona S. Stefano - Sc. Materna Maria Immacolata,"Via Aldo Moro, 6 - Oggiona Santo Stefano, Oggiona S. Stefano - Sc. Materna Maria Immacolata, Lombardia",POINT
"Via Asilo, 2 - Oggiona Santo Stefano",Oggiona S. Stefano - Sc. Materna Speri Castellini,"Via Asilo, 2 - Oggiona Santo Stefano, Oggiona S. Stefano - Sc. Materna Speri Castellini, Lombardia",POINT
Via Oriani - Olgiate Olona,Olgiate Olona - colonna stradale,"Via Oriani - Olgiate Olona, Olgiate Olona - colonna stradale, Lombardia",POINT
