alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Via Peli,POLAVENO,<0.05,<1,215,91.6,<0.05,9,446,Dicembre 2019,25.5,<0.1,3.6,<5,23,<0.02,7.9,0.8,312,2.7,11
Via Tonetti,POLAVENO,0.06,<1,182,76.5,0.08,6,362,Dicembre 2019,20.7,<0.1,1.7,18,16,0.03,6.9,0.8,253,1.9,6
Bettegno,PONTEVICO,<0.05,3,249,69.4,<0.05,7,459,Dicembre 2019,24.8,<0.1,16.5,<5,2,<0.02,8.2,1.3,321,9.7,10
Strada Francesca,PONTEVICO,<0.05,2,253,71.0,<0.05,9,464,Dicembre 2019,25.0,0.1,15.9,<5,2,<0.02,8.2,1.3,325,10.6,7
Torchiera,PONTEVICO,<0.05,2,253,68.8,<0.05,8,463,Dicembre 2019,25.0,<0.1,16.1,<5,2,<0.02,8.2,1.3,324,10.0,8
Via Brescia,PONTEVICO,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Via Campazzo,PONTEVICO,<0.05,3,252,70.6,<0.05,8,463,Dicembre 2019,24.9,<0.1,15.7,<5,2,<0.02,8.1,1.3,324,10.3,8
Largo IV Novembre,PRALBOINO,<0.05,7,268,70.2,<0.05,6,483,Dicembre 2019,26.4,<0.1,18.8,<5,4,<0.02,8.1,1.1,338,10.7,7
Via Borgo Sopra,PRALBOINO,<0.05,6,268,71.3,<0.05,6,483,Dicembre 2019,26.4,<0.1,19.1,<5,4,<0.02,8.3,1.1,338,10.7,7
Via XX Settembre,PRALBOINO,<0.05,6,268,70.0,<0.05,6,484,Dicembre 2019,26.4,<0.1,18.9,<5,4,<0.02,8.2,1.0,339,10.6,7
Piazza XX Settembre,PRESEGLIE,<0.05,<1,208,39.6,0.08,<2,366,Dicembre 2019,21.9,0.1,29.3,<5,5,<0.02,8.0,<0.5,256,0.6,6
