alias_city,alias_address,urlReport
Verceia,Fontana Loc. Sceglio (Crotti),http://www.secam.net/images/Etichette 2 semestre 2019/Verceia/Verceia_Fontana Loc. Sceglio (Crotti) 10.09.2019.pdf
Verceia,Fontana Via Villa,http://www.secam.net/images/Etichette 2 semestre 2019/Verceia/Verceia_Fontana Via Villa 10.09.2019.pdf
Vervio,Fontana Via Roma,http://www.secam.net/images/Etichette 2 semestre 2019/Vervio/Vervio_Fontana Via Roma 07.08.2019.pdf
Vervio,Fontana Via Ca’ Torchio,http://www.secam.net/images/Etichette 2 semestre 2019/Vervio/Vervio_Fontana Via Ca Torchio 07.08.2019.pdf
Vervio,Fontana Loc. Nova,http://www.secam.net/images/Etichette 2 semestre 2019/Vervio/Vervio_Fontana Loc. Nova 07.08.2019.pdf
Villa di Chiavenna,Fontana Loc. S. Sebastiano (Chiesa),http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Chiavenna/Villa di Chiavenna_Fontana Loc. San Sebastiano (Chiesa) 11.09.2019.pdf
Villa di Chiavenna,Fontana Loc. Dogana,http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Chiavenna/Villa di Chiavenna_Fontana Loc. Dogana 11.09.2019.pdf
Villa di Chiavenna,Fontana Loc. S. Barnaba (Lavatoio Coperto),http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Chiavenna/Villa di Chiavenna_Fontana Loc. San Barnaba (Lavatoio Coperto) 11.09.2019.pdf
Villa di Tirano,Fontana Via S. Antonio,http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Tirano/Villa di Tirano_Fontana Via Sant Antonio 20.08.2019.pdf
Villa di Tirano,Fontana Loc. Stazzona (Via Piazza),http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Tirano/Villa di Tirano_Fontana Loc. Stazzona (Via Piazza) 20.08.2019.pdf
Villa di Tirano,Fontana Loc. Motta,http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Tirano/Villa di Tirano_Fontana Loc. Motta 20.08.2019.pdf
Villa di Tirano,Fontana Loc. S. Bernardo,http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Tirano/Villa di Tirano_Fontana Loc. San Bernardo 20.08.2019.pdf
Villa di Tirano,Serbatoio Loc. Piangembro,http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Tirano/Villa di Tirano_Fontana Loc. Piangembro 20.08.2019.pdf
Villa di Tirano,Fontana Loc. Bait,http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Tirano/Villa di Tirano_Fontana Loc. Bait 20.08.2019.pdf
Villa di Tirano,Fontana Loc. Sonvico,http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Tirano/Villa di Tirano_Fontana Loc. Sonvico 20.08.2019.pdf
Villa di Tirano,Fontana Loc. Lera,http://www.secam.net/images/Etichette 2 semestre 2019/Villa di Tirano/Villa di Tirano_Fontana Loc. Lera 20.08.2019.pdf
