alias_city,alias_address,georeferencingString,type
Brescia,Via Casazza,"Via Casazza, Brescia, BS, Lombardia",POINT
Brescia,Via Corsica,"Via Corsica, Brescia, BS, Lombardia",POINT
Brescia,Via Franzinetti,"Via Franzinetti, Brescia, BS, Lombardia",POINT
Brescia,Via Niccolo Tommaseo,"Via Niccolo Tommaseo, Brescia, BS, Lombardia",POINT
Brescia,Via Prima Villaggio Badia,"Via Prima Villaggio Badia, Brescia, BS, Lombardia",POINT
Brescia,Via Sabbioneta,"Via Sabbioneta, Brescia, BS, Lombardia",POINT
Brescia,Via Verziano,"Via Verziano, Brescia, BS, Lombardia",POINT
Brescia,Via della Palla,"Via della Palla, Brescia, BS, Lombardia",POINT
Brescia,Viale Piave,"Viale Piave, Brescia, BS, Lombardia",POINT
Brione,Strada Provinciale X,"Strada Provinciale X, Brione, BS, Lombardia",POINT
CAPOVALLE,Via Fontane,"Via Fontane, CAPOVALLE, BS, Lombardia",POINT
CAPOVALLE,Zumiè,"Zumiè, CAPOVALLE, BS, Lombardia",POINT
CAPRIANO DEL COLLE,Via Morari,"Via Morari, CAPRIANO DEL COLLE, BS, Lombardia",POINT
CAPRIANO DEL COLLE,Via Tese,"Via Tese, CAPRIANO DEL COLLE, BS, Lombardia",POINT
CAPRIANO DEL COLLE,Via Trento,"Via Trento, CAPRIANO DEL COLLE, BS, Lombardia",POINT
CASTENEDOLO,Via Garibaldi,"Via Garibaldi, CASTENEDOLO, BS, Lombardia",POINT
CASTENEDOLO,Via Macina,"Via Macina, CASTENEDOLO, BS, Lombardia",POINT
CASTENEDOLO,Via Matteotti,"Via Matteotti, CASTENEDOLO, BS, Lombardia",POINT
CASTENEDOLO,Via Pasubio,"Via Pasubio, CASTENEDOLO, BS, Lombardia",POINT
CASTO,Via Auro,"Via Auro, CASTO, BS, Lombardia",POINT
CASTO,Via Briale,"Via Briale, CASTO, BS, Lombardia",POINT
CASTO,Via Comero,"Via Comero, CASTO, BS, Lombardia",POINT
CASTO,Via Famea,"Via Famea, CASTO, BS, Lombardia",POINT
CASTO,Via Piazza,"Via Piazza, CASTO, BS, Lombardia",POINT
CASTO,Via Roma,"Via Roma, CASTO, BS, Lombardia",POINT
CASTO,Via S.Giovanni,"Via S.Giovanni, CASTO, BS, Lombardia",POINT
CASTO,Via Tito Speri,"Via Tito Speri, CASTO, BS, Lombardia",POINT
CELLATICA,Via Aldo Moro,"Via Aldo Moro, CELLATICA, BS, Lombardia",POINT
CELLATICA,Via Montebello,"Via Montebello, CELLATICA, BS, Lombardia",POINT
CELLATICA,Via Risorgimento,"Via Risorgimento, CELLATICA, BS, Lombardia",POINT
COLLEBEATO,Campiani,"Campiani, COLLEBEATO, BS, Lombardia",POINT
COLLEBEATO,Via San Francesco,"Via San Francesco, COLLEBEATO, BS, Lombardia",POINT
CONCESIO,Via Ca' de Bosio,"Via Ca' de Bosio, CONCESIO, BS, Lombardia",POINT
CONCESIO,Via Due Muri,"Via Due Muri, CONCESIO, BS, Lombardia",POINT
CONCESIO,Via Gilli,"Via Gilli, CONCESIO, BS, Lombardia",POINT
CONCESIO,Via Mazzini,"Via Mazzini, CONCESIO, BS, Lombardia",POINT
CONCESIO,Via Segheria,"Via Segheria, CONCESIO, BS, Lombardia",POINT
Capovalle,Via 24 Maggio,"Via 24 Maggio, Capovalle, BS, Lombardia",POINT
Capriano del Colle,Fenili Belasi,"Fenili Belasi, Capriano del Colle, BS, Lombardia",POINT
Capriano del Colle,Via Garibaldi,"Via Garibaldi, Capriano del Colle, BS, Lombardia",POINT
Castenedolo,Via Pietro Pisa,"Via Pietro Pisa, Castenedolo, BS, Lombardia",POINT
Cellatica,Via Magenta,"Via Magenta, Cellatica, BS, Lombardia",POINT
Collebeato,Via Saletto,"Via Saletto, Collebeato, BS, Lombardia",POINT
Concesio,Via Pascoli,"Via Pascoli, Concesio, BS, Lombardia",POINT
FIESSE,Piazza Caduti,"Piazza Caduti, FIESSE, BS, Lombardia",POINT
FIESSE,Strada Cadimarco,"Strada Cadimarco, FIESSE, BS, Lombardia",POINT
FIESSE,Via Denti,"Via Denti, FIESSE, BS, Lombardia",POINT
FIESSE,Via Nazzari,"Via Nazzari, FIESSE, BS, Lombardia",POINT
Fiesse,Strada San Giacomo,"Strada San Giacomo, Fiesse, BS, Lombardia",POINT
GAMBARA,Strada Provinciale VIII,"Strada Provinciale VIII, GAMBARA, BS, Lombardia",POINT
GAMBARA,Via Lamarmora,"Via Lamarmora, GAMBARA, BS, Lombardia",POINT
GAMBARA,Via Martiri della Libertà,"Via Martiri della Libertà, GAMBARA, BS, Lombardia",POINT
GAVARDO,Cimitero,"Cimitero, GAVARDO, BS, Lombardia",POINT
GAVARDO,Piazza Corioni,"Piazza Corioni, GAVARDO, BS, Lombardia",POINT
