alias_address,alias_city,geocode,geometry,georeferencingString,type
Piazza Aldo Moro,OME,,,"Piazza Aldo Moro, OME, BS, Lombardia",POINT
Via Battola,OME,,,"Via Battola, OME, BS, Lombardia",POINT
Via Goiane angolo via San Michele,OME,,,"Via Goiane angolo via San Michele, OME, BS, Lombardia",POINT
Via Crispi angolo Via Galilei,ORZINUOVI,,,"Via Crispi angolo Via Galilei, ORZINUOVI, BS, Lombardia",POINT
Via Don Mazzolari,ORZINUOVI,,,"Via Don Mazzolari, ORZINUOVI, BS, Lombardia",POINT
Via Ferraroli,ORZINUOVI,,,"Via Ferraroli, ORZINUOVI, BS, Lombardia",POINT
Via IV Novembre,ORZINUOVI,,,"Via IV Novembre, ORZINUOVI, BS, Lombardia",POINT
Via Prebenda,ORZINUOVI,,,"Via Prebenda, ORZINUOVI, BS, Lombardia",POINT
Via Tasso,ORZINUOVI,,,"Via Tasso, ORZINUOVI, BS, Lombardia",POINT
Via Praes,Odolo,,,"Via Praes, Odolo, BS, Lombardia",POINT
Piazza del Mercato,Ome,,,"Piazza del Mercato, Ome, BS, Lombardia",POINT
Via Chiosetto,PAITONE,,,"Via Chiosetto, PAITONE, BS, Lombardia",POINT
Via Marconi,PAVONE DEL MELLA,,,"Via Marconi, PAVONE DEL MELLA, BS, Lombardia",POINT
Via Togliatti,PAVONE DEL MELLA,,,"Via Togliatti, PAVONE DEL MELLA, BS, Lombardia",POINT
Noffo Bassa,PERTICA ALTA,,,"Noffo Bassa, PERTICA ALTA, BS, Lombardia",POINT
Piazza Marconi,PERTICA ALTA,,,"Piazza Marconi, PERTICA ALTA, BS, Lombardia",POINT
Via Moro,POLAVENO,,,"Via Moro, POLAVENO, BS, Lombardia",POINT
Via Peli,POLAVENO,,,"Via Peli, POLAVENO, BS, Lombardia",POINT
Torchiera,PONTEVICO,,,"Torchiera, PONTEVICO, BS, Lombardia",POINT
Largo IV Novembre,PRALBOINO,,,"Largo IV Novembre, PRALBOINO, BS, Lombardia",POINT
Via Mazzini,PRALBOINO,,,"Via Mazzini, PRALBOINO, BS, Lombardia",POINT
Via XX Settembre,PRALBOINO,,,"Via XX Settembre, PRALBOINO, BS, Lombardia",POINT
Piazza XX Settembre,PRESEGLIE,,,"Piazza XX Settembre, PRESEGLIE, BS, Lombardia",POINT
Via Corsini,PRESEGLIE,,,"Via Corsini, PRESEGLIE, BS, Lombardia",POINT
Via San Rocco,PRESEGLIE,,,"Via San Rocco, PRESEGLIE, BS, Lombardia",POINT
Via VII Brigata Matteotti,PROVAGLIO VAL SABBIA,,,"Via VII Brigata Matteotti, PROVAGLIO VAL SABBIA, BS, Lombardia",POINT
Via F. Braga,Paitone,,,"Via F. Braga, Paitone, BS, Lombardia",POINT
via Petrarca (Gombio),Polaveno,,,"via Petrarca (Gombio), Polaveno, BS, Lombardia",POINT
Via Pietro Nenni,Pontevico,,,"Via Pietro Nenni, Pontevico, BS, Lombardia",POINT
Via Dante Alighieri,Pralboino,,,"Via Dante Alighieri, Pralboino, BS, Lombardia",POINT
Piazza Vittoria,ROCCAFRANCA,,,"Piazza Vittoria, ROCCAFRANCA, BS, Lombardia",POINT
Via Donizetti,ROCCAFRANCA,,,"Via Donizetti, ROCCAFRANCA, BS, Lombardia",POINT
Via Paolo VI Angolo Via Francesca,ROCCAFRANCA,,,"Via Paolo VI Angolo Via Francesca, ROCCAFRANCA, BS, Lombardia",POINT
Via Bonfadio,ROE VOLCIANO,,,"Via Bonfadio, ROE VOLCIANO, BS, Lombardia",POINT
Via Missane,ROE VOLCIANO,,,"Via Missane, ROE VOLCIANO, BS, Lombardia",POINT
Via Odorici,ROE VOLCIANO,,,"Via Odorici, ROE VOLCIANO, BS, Lombardia",POINT
Via Belvedere,SABBIO CHIESE,,,"Via Belvedere, SABBIO CHIESE, BS, Lombardia",POINT
Via Bertella,SABBIO CHIESE,,,"Via Bertella, SABBIO CHIESE, BS, Lombardia",POINT
Via Odolo,SABBIO CHIESE,,,"Via Odolo, SABBIO CHIESE, BS, Lombardia",POINT
Via San Giovanni,SABBIO CHIESE,,,"Via San Giovanni, SABBIO CHIESE, BS, Lombardia",POINT
Via San Martino,SABBIO CHIESE,,,"Via San Martino, SABBIO CHIESE, BS, Lombardia",POINT
Villaggio Motta,SALE MARASINO,,,"Villaggio Motta, SALE MARASINO, BS, Lombardia",POINT
Via Casacce,SAN GERVASIO,,,"Via Casacce, SAN GERVASIO, BS, Lombardia",POINT
Via Cicogne,SAN GERVASIO,,,"Via Cicogne, SAN GERVASIO, BS, Lombardia",POINT
Via Giovanni XXIII,SAN PAOLO,,,"Via Giovanni XXIII, SAN PAOLO, BS, Lombardia",POINT
Via Mazzini angolo Piazza Moro,SAN PAOLO,,,"Via Mazzini angolo Piazza Moro, SAN PAOLO, BS, Lombardia",POINT
Piazza Marconi,SAN ZENO NAVIGLIO,,,"Piazza Marconi, SAN ZENO NAVIGLIO, BS, Lombardia",POINT
Piazzale Marcolini,SAN ZENO NAVIGLIO,,,"Piazzale Marcolini, SAN ZENO NAVIGLIO, BS, Lombardia",POINT
Via Bianchetti,SAN ZENO NAVIGLIO,,,"Via Bianchetti, SAN ZENO NAVIGLIO, BS, Lombardia",POINT
Via Mascagni,SAN ZENO NAVIGLIO,,,"Via Mascagni, SAN ZENO NAVIGLIO, BS, Lombardia",POINT
Via Pace,SAN ZENO NAVIGLIO,,,"Via Pace, SAN ZENO NAVIGLIO, BS, Lombardia",POINT
