alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
MUNICIPIO - VIA CASTELLO,ANTEGNATE,<0.1,<1,323,94.8,<0.1,21,553,31 Dicembre 2019,32,<0.05,19.8,<5,33,<0.05,7.4,0.8,387,4,27
FONTANELLA PARCO DELLE BANDIERE - VIA G.LA PIRA,ARCENE,<0.1,<1,450,82.0,<0.1,16,537,31 Dicembre 2019,32,<0.05,27.9,<5,27,<0.05,7.6,0.8,376,5,30
SCUOLA MEDIA  - VIA PAPA GIOVANNI XXIII°,ARCENE,<0.1,1,307,76.0,02,15,513,31 Dicembre 2019,30,<0.05,26.2,<5,25,<0.05,7.7,0.8,359,5,29
VIA PARTIGIANI,ARCENE,<0.1,<1,300,85.8,02,17,549,31 Dicembre 2019,34,<0.05,29.5,<5,29,<0.05,7.6,0.8,384,5,31
ABITAZIONE MOIOLI - VIA 1°MAGGIO,ARDESIO,<0.1,<1,145,44.7,<0.1,<2,235,31 Dicembre 2019,14,<0.05,6.8,<5,4,<0.05,8.0,<0.5,165,<1,15
CARPENTERIA ZANOLETTI - VIA VITTORIO VENETO,ARDESIO,<0.1,<1,153,37.2,<0.1,<2,196,31 Dicembre 2019,12,<0.05,6.6,<5,7,<0.05,8.2,<0.5,137,<1,4
CONTRADA CERETE - FONTANELLA,ARDESIO,<0.1,<1,130,323,01,<2,197,31 Dicembre 2019,12,<0.05,92,<5,6,<0.05,81,<0.5,138,2,9
"FONTANELLA  VIA LEONARDO DA VINCI, PRESSO SCUOLE",ARDESIO,<0.1,<1,116,34.1,<0.1,<2,189,31 Dicembre 2019,12,<0.05,8.1,<5,7,<0.05,8.2,<0.5,132,<1,6
FONTANELLA VIA A.LOCATELLI,ARDESIO,<0.1,<1,169,42.0,02,<2,220,31 Dicembre 2019,14,<0.05,8.7,<5,3,<0.05,8.0,<0.5,154,<1,8
FONTANELLA VIA BABES,ARDESIO,<0.1,<1,130,33.0,<0.1,<2,203,31 Dicembre 2019,12,<0.05,9.7,<5,5,<0.05,8.2,<0.5,142,<1,8
LOCALITA' AVE - FONTANELLA,ARDESIO,<0.1,<1,175,46.9,<0.1,<2,295,31 Dicembre 2019,17,0.08,13.2,<5,5,<0.05,8.2,<0.5,207,<1,27
LOCALITA' BANI - FONTANELLA VIA CASE NUOVE,ARDESIO,<0.1,1,51,8.4,<0.1,<2,51,31 Dicembre 2019,3,<0.05,2.4,<5,2,<0.05,7.4,<0.5,36,<1,<3
LOCALITA' CASE MORE - FONTANELLA PARCO,ARDESIO,<0.1,<1,143,39.5,<0.1,5,218,31 Dicembre 2019,13,<0.05,7.0,<5,9,<0.05,8.2,<0.5,153,2,5
LOCALITA' LUDRIGNO - FONTANELLA PIAZZA CHIESA,ARDESIO,<0.1,<1,114,31.7,02,<2,185,31 Dicembre 2019,11,<0.05,8.3,<5,6,<0.05,8.2,<0.5,129,<1,7
LOCALITA' MARINONI - FONTANELLA,ARDESIO,<0.1,4,39,10.6,<0.1,<2,57,31 Dicembre 2019,4,<0.05,2.1,<5,2,<0.05,7.8,<0.5,40,2,<3
LOCALITA' RONCHI BASSI - FONTANELLA,ARDESIO,<0.1,<1,167,47.5,<0.1,<2,258,31 Dicembre 2019,16,<0.05,10.0,<5,9,<0.05,8.2,<0.5,181,<1,5
LOCALITA' VARISCO - ABITAZIONE FILISETTI,ARDESIO,<0.1,4,43,9.0,<0.1,<2,61,31 Dicembre 2019,4,<0.05,3.2,<5,<2,<0.05,7.2,<0.5,43,<1,<3
LOCALITA' ZANETTI - FONTANELLA,ARDESIO,<0.1,<1,145,17.6,<0.1,<2,117,31 Dicembre 2019,7,<0.05,6.4,<5,<2,<0.05,7.8,<0.5,82,<1,8
CAPOLUOGO,AVIATICO,<0.1,n.d.,n.d.,63.1,<0.1,6,339,31 Dicembre 2019,20,0.08,11.2,n.d.,6,<0.05,7.9,0.8,243,3,29
FRAZIONE AMA - FONTANELLA,AVIATICO,<0.1,n.d.,n.d.,63.4,02,6,345,31 Dicembre 2019,21,0.08,11.3,n.d.,6,<0.05,7.9,0.7,244,3,30
FRAZIONE AMORA - FONTANELLA,AVIATICO,<0.1,n.d.,n.d.,62.9,01,6,337,31 Dicembre 2019,20,0.08,10.8,n.d.,6,<0.05,8.1,0.7,239,3,30
FRAZIONE GANDA - FONTANELLA,AVIATICO,<0.1,n.d.,n.d.,62.7,<0.1,6,337,31 Dicembre 2019,20,0.08,10.8,n.d.,6,<0.05,8.1,0.8,239,3,29
FONTANELLA VIA CESARE BATTISTI,AZZANO S.PAOLO,<0.1,<1,131,40.4,<0.1,<2,218,31 Dicembre 2019,13,<0.05,8.0,<5,4,<0.05,8.0,<0.5,153,<1,9
FONTANELLA CIMITERO,AZZONE,<0.1,<1,151,45.9,<0.1,<2,219,31 Dicembre 2019,13,<0.05,3.7,<5,3,<0.05,7.9,<0.5,153,1,4
FONTANELLA PIAZZA CADUTI DISPERSI,AZZONE,<0.1,<1,144,45.0,<0.1,<2,213,31 Dicembre 2019,13,<0.05,3.6,<5,3,<0.05,7.9,<0.5,149,1,4
FONTANELLA PIAZZA VITTORIO EMANUELE,AZZONE,<0.1,<1,136,42.9,<0.1,<2,202,31 Dicembre 2019,12,<0.05,3.3,<5,3,<0.05,8.0,<0.5,141,<1,4
FONTANELLA PARCO VIA DEI MILLE,BAGNATICA,<0.1,<1,186,45.3,<0.1,<2,278,31 Dicembre 2019,17,<0.05,13.4,<5,4,<0.05,8.0,<0.5,194,<1,18
SCUOLA MATERNA  - PIAZZA LIBERTA',BAGNATICA,<0.1,<1,181,52.7,<0.1,3,298,31 Dicembre 2019,19,<0.05,13.5,<5,5,<0.05,8.0,<0.5,208,3,17
MUNICIPIO - VIA VITTORIO VENETO,BARBATA,<0.1,1,245,99.2,<0.1,21,567,31 Dicembre 2019,33,<0.05,20.5,<5,35,<0.05,7.4,0.8,397,5,27
FONTANELLA PIAZZA CHIESA,BEDULITA,<0.1,<1,158,46.3,01,<2,236,31 Dicembre 2019,14,0.07,6.7,<5,6,<0.05,8.0,<0.5,165,<1,4
FONTANELLA PIAZZA CHIESA,BERBENNO,<0.1,<1,153,50.7,<0.1,<2,244,31 Dicembre 2019,14,<0.05,4.0,<5,6,<0.05,8.1,<0.5,170,<1,7
FRAZIONE PONTE GIURINO - FONTANELLA,BERBENNO,<0.1,<1,166,44.2,<0.1,<2,236,31 Dicembre 2019,14,0.06,7.6,<5,6,<0.05,8.0,<0.5,165,<1,4
BORGO PALAZZO - FONTANELLA VIALE E.PIROVANO,BERGAMO - CIRCOSCRIZIONE N.1,<0.1,<1,336,45.4,<0.1,3,265,31 Dicembre 2019,16,<0.05,11.0,<5,4,<0.05,8.0,<0.5,185,1,16
FONTANELLA PIAZZA MATTEOTTI,BERGAMO - CIRCOSCRIZIONE N.1,<0.1,<1,200,50.8,01,4,303,31 Dicembre 2019,18,<0.05,13.3,<5,5,<0.05,7.9,0.7,212,2,19
QUARTIERE CELADINA - MERCATO ORTOFRUTTICOLO - VIA BORGO PALAZZO,BERGAMO - CIRCOSCRIZIONE N.1,<0.1,<1,141,40.1,<0.1,<2,214,31 Dicembre 2019,13,<0.05,7.6,<5,4,<0.05,7.9,<0.5,150,<1,8
"QUARTIERE MALPENSATA - PATRONATO S.VINCENZO  - VIA M.GAVAZZENI, 3",BERGAMO - CIRCOSCRIZIONE N.1,<0.1,<1,196,43.1,<0.1,2,243,31 Dicembre 2019,15,<0.05,9.4,<5,4,<0.05,8.0,<0.5,170,<1,12
QUARTIERE COLOGNOLA - FONTANELLA VIA COSTANTINA,BERGAMO - CIRCOSCRIZIONE N.2,<0.1,<1,159,47.1,<0.1,3,278,31 Dicembre 2019,17,<0.05,12.1,<5,4,<0.05,7.9,<0.5,195,2,17
QUARTIERE GRUMELLO A/P - FONTANELLA PIAZZA AQUILEIA,BERGAMO - CIRCOSCRIZIONE N.2,<0.1,<1,158,46.3,<0.1,3,274,31 Dicembre 2019,16,<0.05,11.8,<5,4,<0.05,7.9,<0.5,192,1,18
QUARTIERE LORETO - FONTANELLA PARCO,BERGAMO - CIRCOSCRIZIONE N.2,<0.1,<1,172,50.7,01,4,306,31 Dicembre 2019,18,<0.05,13.9,<5,5,<0.05,7.9,0.7,215,2,21
QUARTIERE S.LUCIA - FONTANELLA VIA DELLO STATUTO,BERGAMO - CIRCOSCRIZIONE N.2,<0.1,<1,250,50.8,01,4,313,31 Dicembre 2019,19,<0.05,14.3,<5,5,<0.05,7.9,0.8,220,2,23
"BORGO S.CATERINA - SEDE A2A - VIA SUARDI,26",BERGAMO - CIRCOSCRIZIONE N.3,<0.1,<1,164,49.9,<0.1,4,312,31 Dicembre 2019,18,<0.05,14.0,<5,5,<0.05,7.9,0.7,218,2,21
FONTANELLA VIALE DELLE MURA,BERGAMO - CIRCOSCRIZIONE N.3,<0.1,<1,168,50.5,01,5,294,31 Dicembre 2019,17,<0.05,11.4,<5,4,<0.05,7.9,0.9,206,2,17
QUARTIERE MONTEROSSO - FONTANELLA VIA QUINTINO BASSO,BERGAMO - CIRCOSCRIZIONE N.3,<0.1,<1,170,50.4,<0.1,5,295,31 Dicembre 2019,17,<0.05,11.7,<5,4,<0.05,7.8,1.0,206,3,17
QUARTIERE REDONA -FONTANELLA  VIA MONTELLO,BERGAMO - CIRCOSCRIZIONE N.3,<0.1,<1,174,51.6,01,5,307,31 Dicembre 2019,18,<0.05,12.1,<5,5,<0.05,7.8,1.0,215,3,19
QUARTIERE S.ANTONIO - FONTANELLA VIA G.SOLARI,BERGAMO - CIRCOSCRIZIONE N.3,<0.1,<1,298,52.4,<0.1,2,354,31 Dicembre 2019,22,<0.05,21.9,<5,6,<0.05,8.0,<0.5,248,2,33
S. VIGILIO - FONTANELLA L.GO DEL POZZO,BERGAMO - CIRCOSCRIZIONE N.3,<0.1,<1,165,49.5,<0.1,5,295,31 Dicembre 2019,17,<0.05,11.9,<5,4,<0.05,8.1,0.9,207,2,17
PUNTO CONSEGNA ACQUEDOTTO DEI LAGHI,BERZO S.FERMO,<0.1,<1,247,55.8,01,2,371,31 Dicembre 2019,23,0.15,22.7,<5,8,<0.05,8.1,0.5,260,1,7
SCUOLA ELEMENTARE - VIA VITTORIO VENETO,BERZO S.FERMO,<0.1,<1,315,76.6,<0.1,6,437,31 Dicembre 2019,26,0.14,17.1,<5,10,<0.05,7.8,0.7,306,3,10
LOCALITA' VALLE ROSSA - TRATTORIA DES ALPES,BIANZANO,<0.1,<1,296,89.0,<0.1,<2,426,31 Dicembre 2019,25,0.52,6.9,<5,6,<0.05,7.5,<0.5,298,<1,4
"MUNICIPIO - VIA CHIESA, 7",BIANZANO,<0.1,<1,288,87.0,02,2,424,31 Dicembre 2019,25,0.53,7.1,<5,6,<0.05,7.7,<0.5,297,1,4
RISTORANTE LA FORCELLA  - VIA FORCELLA,BIANZANO,<0.1,<1,304,88.8,<0.1,<2,422,31 Dicembre 2019,25,0.46,6.5,<5,7,<0.05,7.8,<0.5,296,1,4
BAR PELLEGRINI VIA MARCO POLO 1,BLELLO,<0.1,<1,228,82.8,<0.1,<2,388,31 Dicembre 2019,23,<0.05,5.0,<5,4,<0.05,7.9,<0.5,272,2,21
CIMITERO - VIA DON MILESI,BOLGARE,<0.1,<1,341,111.2,<0.1,18,597,31 Dicembre 2019,33,0.09,12.8,<5,33,<0.05,7.4,1.6,418,10,21
SCUOLA MATERNA  - VIA DANTE,BOLGARE,<0.1,<1,342,107.9,<0.1,18,607,31 Dicembre 2019,33,0.10,13.6,<5,33,<0.05,7.3,1.4,425,10,20
MUNICIPIO - VIA IV NOVEMBRE,BOLTIERE,<0.1,<1,251,67.1,<0.1,10,423,31 Dicembre 2019,23,<0.05,16.2,<5,15,<0.05,7.7,1.0,296,8,27
MUNICIPIO - VIA NAZIONALE,BORGO DI TERZO,<0.1,<1,247,56.3,<0.1,2,378,31 Dicembre 2019,24,0.16,23.0,<5,8,<0.05,7.9,0.6,265,1,7
"ABITAZIONE BIANCHI - VIA TRE SANTELLE, 3",BOSSICO,<0.1,<1,152,51.3,01,<2,236,31 Dicembre 2019,14,<0.05,1.8,<5,5,<0.05,8.1,<0.5,165,2,6
MUNICIPIO - PIAZZA SAN PIETRO,BOSSICO,<0.1,<1,249,54.5,01,<2,278,31 Dicembre 2019,17,0.07,8.7,<5,6,<0.05,8.1,<0.5,195,1,7
"BAR RONDI - VIA DENTELLA, 28",BRACCA,<0.1,<1,247,51.3,02,10,402,31 Dicembre 2019,24,0.05,26.1,<5,8,<0.05,7.9,<0.5,281,6,6
CAMPO BOCCE - LOCALITA' BRUGA,BRACCA,<0.1,<1,264,54.6,02,5,360,31 Dicembre 2019,24,0.05,24.6,<5,8,<0.05,8.1,<0.5,252,3,5
LOCALITA' CORNALTA - RISTORANTE ACQUATA,BRACCA,<0.1,<1,230,51.7,<0.1,4,374,31 Dicembre 2019,23,0.06,25.3,<5,7,<0.05,7.9,<0.5,262,3,5
LOCALITA' PONTE MERLO - ABITAZIONE GRITTI,BRACCA,<0.1,<1,240,54.9,<0.1,2,343,31 Dicembre 2019,23,<0.05,21.7,<5,6,<0.05,7.9,<0.5,240,2,34
LOCALITA' PREGAROLDI - FONTANELLA,BRACCA,<0.1,<1,297,56.9,<0.1,4,382,31 Dicembre 2019,26,0.05,27.5,<5,7,<0.05,7.9,<0.5,267,2,6
CIMITERO,BRUMANO,<0.1,<1,231,43.0,<0.1,<2,278,31 Dicembre 2019,17,<0.05,15.0,<5,7,<0.05,8.2,<0.5,194,<1,<3
FONTANA VIA B. CAPPELLETTI,BRUMANO,<0.1,<1,176,42.9,<0.1,<2,277,31 Dicembre 2019,17,<0.05,15.2,<5,7,<0.05,8.2,<0.5,194,<1,<3
CIMITERO,BRUSAPORTO,<0.1,<1,167,50.9,<0.1,4,306,31 Dicembre 2019,18,<0.05,13.3,<5,5,<0.05,7.9,<0.5,214,3,18
FONTANELLA VIA BREMBO,BRUSAPORTO,<0.1,<1,172,50.7,<0.1,4,304,31 Dicembre 2019,18,<0.05,13.6,<5,5,<0.05,7.9,<0.5,213,2,18
FONTANELLA VIA DANTE,BRUSAPORTO,<0.1,<1,183,44.6,<0.1,<2,274,31 Dicembre 2019,17,<0.05,13.1,<5,4,<0.05,6.0,<0.5,192,<1,18
FONTANELLA VIA OSPEDALE,CALCINATE,<0.1,<1,207,63.8,<0.1,21,417,31 Dicembre 2019,24,<0.05,19.0,<5,15,<0.05,7.7,0.6,292,5,26
MUNICIPIO - PIAZZA VITTORIO VENETO,CALCINATE,<0.1,<1,215,81.0,<0.1,21,492,31 Dicembre 2019,27,<0.05,17.0,<5,24,<0.05,7.5,0.7,344,9,27
SCUOLA MATERNA,CALCINATE,<0.1,<1,211,64.4,01,21,415,31 Dicembre 2019,24,<0.05,19.1,<5,15,<0.05,7.7,0.6,291,5,25
CENTRO SPORTIVO,CALCIO,<0.1,<1,221,80.1,<0.1,10,422,31 Dicembre 2019,24,0.10,10.6,<5,16,<0.05,7.8,0.8,296,4,33
CIMITERO,CALCIO,<0.1,<1,222,78.7,<0.1,9,421,31 Dicembre 2019,24,0.10,11.4,<5,15,<0.05,7.8,0.9,295,4,30
DISTRETTO ASL - VIA SECCO D'ARAGONA,CALCIO,<0.1,<1,226,78.3,<0.1,9,420,31 Dicembre 2019,24,0.08,10.4,<5,16,<0.05,7.6,0.8,294,4,32
SCUOLA MEDIA  - VIA SCHIEPPATI,CALCIO,<0.1,<1,215,80.2,<0.1,9,422,31 Dicembre 2019,24,0.10,10.6,<5,16,<0.05,7.7,0.8,296,4,33
SCUOLA MATERNA - VIA S.LORENZO,CAPIZZONE,<0.1,<1,151,45.6,01,<2,236,31 Dicembre 2019,14,0.06,6.6,<5,6,<0.05,8.0,<0.5,165,<1,4
LOCALITA' MORTINI - FONTANELLA PRESSO CHIESA,CAROBBIO degli ANGELI,<0.1,<1,248,55.8,01,2,372,31 Dicembre 2019,24,0.16,23.3,<5,8,<0.05,7.9,0.6,261,1,7
