alias_address,alias_city,data_prelievo,geocode,geometry,georeferencingString,type
f.p. presso la chiesa di Stulles / Ö.B. bei der Kirche in Stuls,MOSO DI PASSIRIA /MOOS IN PASSEIER,08/09/2018,"Stuls - Stulles, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39013, Italia","{'type': 'Point', 'coordinates': [11.1966805, 46.8284354]}",MOSO DI PASSIRIA  Stulles,POINT
Fontana pubblica presso Municipio / Öffentlicher Brunnen vor Rathaus,NOVA PONENTE/DEUTSCHNOFEN,09/04/2018,"Rathaus Deutschnofen - Municipio di Nova Ponente, Schloß Thurn Straße - Via Castello Thurn, Maria Weißenstein - Pietralba, Deutschnofen - Nova Ponente, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39050, Italia","{'type': 'Point', 'coordinates': [11.4256042, 46.4144111]}",NOVA PONENTE  Municipio,POINT
Cimitero / Friedhofbrunnen,ALDINO/ALDEIN,07/03/2018,"Aldein - Aldino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.3541164, 46.3681742]}",ALDINO Alto Adige,POINT
Fontana pubblica Kirchplatz / Öffentlicher Brunnen Kirchplatz,ALDINO/ALDEIN,07/02/2018,"Aldein - Aldino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.3541164, 46.3681742]}",ALDINO,POINT
Hotel Schwarzhorn rubinetto cucina / Hotel Schwarzhorn Wasserhahn Küche,ALDINO/ALDEIN,13/09/2018,"Hotel Schwarzhorn, S - Schwarzhorn - Corno Nero, Ville di Fiemme, Comunità territoriale della Val di Fiemme, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.45294000711365, 46.34647495]}",ALDINO Hotel Schwarzhorn,POINT
Municipio / Rathaus,ALDINO/ALDEIN,28/03/2018,"Municipio di Aldino - Rathaus Aldein, Dorf - Paese, Holen - Olmi, Aldein - Aldino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.3541397, 46.3677412]}",ALDINO Municipio,POINT
Scuola elementare Holen / Grundschule Holen,ALDINO/ALDEIN,07/12/2018,"Grundschule Aldein - Scuola Elementare in lingua tedesca di Aldino, Baderweg - Via Bader, Holen - Olmi, Aldein - Aldino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.3540439, 46.3663617]}",ALDINO Scuola elementare Holen,POINT
"Scuola elementare Oberradein / Grundschule, Oberradein",ALDINO/ALDEIN,13/03/2018,"Grundschule Aldein - Scuola Elementare in lingua tedesca di Aldino, Baderweg - Via Bader, Holen - Olmi, Aldein - Aldino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.3540439, 46.3663617]}",ALDINO Scuola elementare,POINT
Fontana Pubblica piazza paese / Öffentlicher Brunnen Dorfplatz,ANDRIANO/ANDRIAN,07/04/2018,"Andrian - Andriano, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.231373, 46.5176161]}",ANDRIANO,POINT
Municipio / Rathaus,ANDRIANO/ANDRIAN,14/11/2018,"Rathaus - Municipio, Wehrburgstraße - Via Wehrburg, Andrian - Andriano, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39010, Italia","{'type': 'Point', 'coordinates': [11.2327731, 46.5200872]}",ANDRIANO Municipio,POINT
Comune / Rathaus,ANTERIVO/ALTREI,29/11/2018,"Anterivo - Altrei, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.367961064571444, 46.279746700000004]}",ANTERIVO,POINT
Fontana pubblica centro paese / Öffentlicher Brunnen Dorfplatz,ANTERIVO/ALTREI,09/04/2018,"Anterivo - Altrei, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.367961064571444, 46.279746700000004]}",ANTERIVO,POINT
Asilo di lingua italiana / Italienischer Kindergarten,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,02/07/2018,"Kindergarten ""Untere Gand"", Lambrechtsweg - Via Lambrecht, Untere Gand - Ganda di Sotto, St. Michael - San Michele, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia","{'type': 'Point', 'coordinates': [11.2574958, 46.4461539]}",APPIANO SULLA STRADA DEL VINO Asilo,POINT
Fontana pubblica P.zza San Michele / Öffentlicher Brunnen St.-Michael-Platz,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,11/08/2018,"St.-Michael-Platz - Piazza San Michele, St. Michael (Eppan) - San Michele (Appiano), St. Michael - San Michele, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia","{'type': 'Point', 'coordinates': [11.2574994, 46.4567931]}",APPIANO SULLA STRADA DEL VINO  P.zza San Michele,POINT
