alias_address,alias_city,data_prelievo,geocode,geometry,georeferencingString,type
Fontana farmacia / Brunnen Apotheke,FALZES/PFALZEN,08/09/2018,"Hattler Wasserle, Koflerweg - Via Kofl, Kehrer, Greinwalden, Pfalzen - Falzes, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [11.9152705, 46.8316833]}",FALZES Fontana farmacia,POINT
Privato/Privat,FALZES/PFALZEN,08/09/2018,"Pfalzen - Falzes, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [11.8840064, 46.8119803]}",FALZES,POINT
Fontana pubblica / Öffentlicher Brunnen,FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,13/08/2018,"Völs am Schlern - Fiè allo Sciliar, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.5026136, 46.517598]}",FIÈ ALLO SCILIAR,POINT
Fontana pubblica vicino chiesa / Öffentlicher Brunnen Kirche,FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,14/02/2018,"Völs am Schlern - Fiè allo Sciliar, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.5026136, 46.517598]}",FIÈ ALLO SCILIAR,POINT
"Fontana pubblica, Le Cave / Öffentlicher Brunnen, Grasstein",FORTEZZA/FRANZENSFESTE,07/03/2018,"Grasstein - Le Cave, Wipptal - Alta Vall'Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.535177, 46.819679]}","FORTEZZA , Le Cave",POINT
Miraval / Miraval,GAIS/GAIS,24/10/2018,"Naturhotel Miraval, LS/SP81, Untertesselberg - Montassilone di sotto, Gais, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [11.985653060659498, 46.82889685]}",GAIS Miraval,POINT
f.p. centro / Öffentlicher Brunnen Zentrum,GLORENZA/GLURNS,08/06/2018,"Abfallwirtschaftszentrum Glurns - Centro di riciclaggio e rifiuti Söles, Etschdamm - Lungo Adige, Söles - Seles, Glurns - Glorenza, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39020, Italia","{'type': 'Point', 'coordinates': [10.565576591356184, 46.6591653]}",GLORENZA f.p. centro,POINT
Municipio / Rathaus,LA VALLE/WENGEN,05/08/2018,,,LA VALLE ALTO ADIGE,POINT
Privato/Privat,LACES/LATSCH,21/11/2018,"Latsch - Laces, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [10.8595388, 46.6173435]}",LACES,POINT
"f.p. Tarres / Öffentlicher Brunnen, Tarsch",LACES/LATSCH,09/06/2018,"Tarsch - Tarres, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39021, Italia","{'type': 'Point', 'coordinates': [10.8773198, 46.6068829]}",LACES f.p. Tarres,POINT
f.p. Tiss / Öffentlicher Brunnen Tiss,LACES/LATSCH,09/11/2018,"Tisserweg, Latsch - Laces, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39021, Italia","{'type': 'Point', 'coordinates': [10.8482399, 46.621552]}",LACES f.p. Tiss,POINT
Privato/Privat,LAGUNDO /ALGUND,22/05/2018,"Algund - Lagundo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39022, Italia","{'type': 'Point', 'coordinates': [11.1230691, 46.6825194]}",LAGUNDO,POINT
"f.p., Plars di Sopra / Öffentlicher Brunnen, Oberplars",LAGUNDO /ALGUND,05/08/2018,"Oberplars - Plars di Sopra, Algund - Lagundo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39022, Italia","{'type': 'Point', 'coordinates': [11.1017218, 46.6867695]}","LAGUNDO  f.p., Plars di Sopra",POINT
"f.p., Plars di Sopra / Öffentlicher Brunnen, Oberplars",LAGUNDO/ALGUND,07/09/2018,"Oberplars - Plars di Sopra, Algund - Lagundo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39022, Italia","{'type': 'Point', 'coordinates': [11.1017218, 46.6867695]}","LAGUNDO f.p., Plars di Sopra",POINT
Fontana pubblica Albions / Öff. Brunnen Albions,LAION/LAJEN,05/07/2018,"Albions, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39043, Italia","{'type': 'Point', 'coordinates': [11.5606362, 46.6229945]}",LAION  Albions,POINT
Fontana pubblica Ceves / Öffentlicher Brunnen Tschöfas,LAION/LAJEN,09/10/2018,"Tschöfas, Lajen - Laion, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39043, Italia","{'type': 'Point', 'coordinates': [11.578679, 46.6094185]}",LAION  Ceves,POINT
Hotel Überbacher / Hotel Überbacher,LAION/LAJEN,17/05/2018,"Hotel Überbacher, LS/SP139, St. Peter - San Pietro, Lajen - Laion, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.610839258594087, 46.60222485]}",LAION Hotel Überbacher,POINT
Privato/Privat,LAION/LAJEN,17/05/2018,"Lajen - Laion, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.564263, 46.6092289]}",LAION,POINT
Fontana Pubblica S.Giacomo / öff. Brunnen St.Jakob,LAIVES/LEIFERS,05/09/2018,"San Giacomo - St. Jakob, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39055, Italia","{'type': 'Point', 'coordinates': [11.3340953, 46.4597014]}",LAIVES  S.Giacomo,POINT
Fontana pubblica parco Marconi / öff. Brunnen Marconipark,LAIVES/LEIFERS,07/05/2018,"Parco Marconi - Spielpark Marconi, Via G. Marconi - G. Marconi-Straße, Gobhöfe, Laives - Leifers, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39055, Italia","{'type': 'Point', 'coordinates': [11.3323337, 46.4249077]}",LAIVES  parco Marconi,POINT
Laboratorio Biologico / Biologisches Landeslabor,LAIVES/LEIFERS,12/11/2018,"Laboratorio Biologico - Biologisches Labor, Via Sottomonte - Unterbergstraße, Gobhöfe, Laives - Leifers, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39055, Italia","{'type': 'Point', 'coordinates': [11.34358255, 46.4287854]}",LAIVES Laboratorio Biologico,POINT
Privato/Privat,LANA/LANA,03/07/2018,,,LANA ALTO ADIGE,POINT
mensa zona industriale / Mensa Industriezone,LANA/LANA,03/01/2018,"Zona industriale Lana - Industriezone Lana, Lana, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39011, Italia","{'type': 'Point', 'coordinates': [11.171446179764908, 46.63125265]}",LANA mensa zona industriale,POINT
Fontana pubblica Tarnell/Öffentlicher Brunnen Tarnell,LASA/LAAS,15/05/2018,"Tarnell - Tarnello, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39023, Italia","{'type': 'Point', 'coordinates': [10.708147, 46.6044342]}",LASA  Tarnell,POINT
f.p. - Cengles / Öffentlicher Brunnen - Tschengls,LASA/LAAS,08/08/2018,"Tschengls - Cengles, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39023, Italia","{'type': 'Point', 'coordinates': [10.6360091, 46.6132513]}",LASA f.p. - Cengles,POINT
f.p. Alliz / Öffentlicher Brunnen - Allitz,LASA/LAAS,19/11/2018,"Allitz - Alliz, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39023, Italia","{'type': 'Point', 'coordinates': [10.7201931, 46.6323659]}",LASA f.p. Alliz,POINT
f.p. Oris / Öffentlicher Brunnen - Eyrs,LASA/LAAS,04/12/2018,"Eyrs - Oris, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39023, Italia","{'type': 'Point', 'coordinates': [10.646145210761958, 46.62676305]}",LASA f.p. Oris,POINT
f.p. Tanas / Öffentlicher Brunnen - Tanas,LASA/LAAS,19/11/2018,"Tanas, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39023, Italia","{'type': 'Point', 'coordinates': [10.66686, 46.6397033]}",LASA f.p. Tanas,POINT
Privato/Privat,LAUREGNO/LAUREIN,08/08/2018,"Laurein - Lauregno, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.0620153, 46.4544136]}",LAUREGNO,POINT
Privato/Privat,LUSON/LÜSEN,17/04/2018,"Lüsen - Luson, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.760981, 46.746227]}",LUSON,POINT
"Fontana pubblica Comune / Öffentlicher Brunnen, Rathaus",MAGRÈ SULLA STRADA DEL VINO/MARGREID AN DER WEINSTRASSE,10/01/2018,"Margreid an der Weinstraße - Magrè sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2098464, 46.2873885]}",MAGRÈ SULLA STRADA DEL VINO,POINT
Fontana pubblica cimitero / Öffentlicher Brunnen - Friedhof,MAGRÈ SULLA STRADA DEL VINO/MARGREID AN DER WEINSTRASSE,16/05/2018,"Weinstraße - Strada del Vino, Margreid an der Weinstraße - Magrè sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.2127685, 46.2878965]}",MAGRÈ SULLA STRADA DEL VINO  cimitero,POINT
Hotel Glieshof,MALLES VENOSTA /MALS,22/10/2018,"Almhotel Glieshof, 69, GS/SC46.1, Außerglies - Glies di Fuori, Mals - Malles Venosta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39024, Italia","{'type': 'Point', 'coordinates': [10.685088835509156, 46.72572245]}",MALLES VENOSTA  Hotel Glieshof,POINT
Privato/Privat,MALLES VENOSTA /MALS,22/10/2018,"Mals - Malles Venosta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39024, Italia","{'type': 'Point', 'coordinates': [10.5465492, 46.6879187]}",MALLES VENOSTA,POINT
"f.p. ""Kreuzweg"" / Öffentl. Brunnen Kreuzweg",MALLES VENOSTA /MALS,10/09/2018,"Kreuzweg - Via della Croce, Amberg, Mals - Malles Venosta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39024, Italia","{'type': 'Point', 'coordinates': [10.5413678, 46.6934084]}","MALLES VENOSTA  f.p. ""Kreuzweg""",POINT
"f.p. Burgusio / Öffentlicher Brunnen, Burgeis",MALLES VENOSTA /MALS,03/06/2018,"Burgeis - Burgusio, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39024, Italia","{'type': 'Point', 'coordinates': [10.5325877, 46.7114764]}",MALLES VENOSTA  f.p. Burgusio,POINT
"f.p. Clusio / Öffentlicher Brunnen, Schleis",MALLES VENOSTA /MALS,05/02/2018,"Schleis - Clusio, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39024, Italia","{'type': 'Point', 'coordinates': [10.5227229, 46.6932575]}",MALLES VENOSTA  f.p. Clusio,POINT
"f.p. Laudes / Öffentlicher Brunnen, Laatsch",MALLES VENOSTA /MALS,28/08/2018,"Mals - Malles Venosta, Bahnhofstraße - Via della Stazione, Lechtl, Mals - Malles Venosta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39024, Italia","{'type': 'Point', 'coordinates': [10.5487511, 46.684138]}",MALLES VENOSTA  f.p. Laudes,POINT
"f.p. Mazia / Öffentlicher Brunnen, Matsch",MALLES VENOSTA /MALS,22/10/2018,"Matsch -Mazia, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [10.6171544, 46.6941092]}",MALLES VENOSTA  f.p. Mazia,POINT
"f.p. Piavenna / Öffentlicher Brunnen, Plawenn",MALLES VENOSTA /MALS,09/11/2018,"Plawenn - Piavenna, Mals - Malles Venosta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [10.5638246, 46.7428841]}",MALLES VENOSTA  f.p. Piavenna,POINT
"f.p. Planol / Öffentlicher Brunnen, Planeil",MALLES VENOSTA /MALS,09/11/2018,"Planeil - Planol, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39024, Italia","{'type': 'Point', 'coordinates': [10.5793462, 46.7222172]}",MALLES VENOSTA  f.p. Planol,POINT
"f.p. Slingia / Öffentlicher Brunnen, Schlinig",MALLES VENOSTA /MALS,14/03/2018,"Schlinig - Slingia, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [10.4732422, 46.7061966]}",MALLES VENOSTA  f.p. Slingia,POINT
"f.p. Tarces / Öffentlicher Brunnen, Tartsch",MALLES VENOSTA /MALS,03/05/2018,"Mals - Malles Venosta, Bahnhofstraße - Via della Stazione, Lechtl, Mals - Malles Venosta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39024, Italia","{'type': 'Point', 'coordinates': [10.5487511, 46.684138]}",MALLES VENOSTA  f.p. Tarces,POINT
Albergo Posta / Gasthaus Post,MAREBBE/ENNEBERG,10/01/2018,"Post Italiane, 10, Strada Catarina Lanz, Pinei, Marèo - Enneberg - Marebbe, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [11.9302015, 46.699711]}",MAREBBE Albergo Posta,POINT
Privato/Privat,MAREBBE/ENNEBERG,10/01/2018,"Marèo - Enneberg - Marebbe, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [12.02693829110203, 46.64887905]}",MAREBBE,POINT
Privato/Privat,MARLENGO/MARLING,23/05/2018,"Marling - Marlengo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 78479, Italia","{'type': 'Point', 'coordinates': [11.1402909, 46.6555608]}",MARLENGO,POINT
Privato/Privat,MARTELLO/MARTELL,07/04/2018,"Martell - Martello, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [10.721431145346715, 46.51531885]}",MARTELLO,POINT
f.p. Ganda / ö.B. Gand,MARTELLO/MARTELL,20/03/2018,"Gand - Ganda, Martell - Martello, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [10.7801979, 46.5543062]}",MARTELLO f.p. Ganda,POINT
Municipio / Rathaus,MELTINA/MÖLTEN,17/04/2018,"Comune di Meltina - Gemeinde Mölten, Rathausplatz - Piazza Municipio, Unterkampil, Mölten - Meltina, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39010, Italia","{'type': 'Point', 'coordinates': [11.2539652, 46.5868387]}",MELTINA Municipio,POINT
Buschenschank Rauthof  /  Buschenschank Rauthof,MERANO/MERAN,11/07/2018,"Rauthof, Katzensteinstraße - Via Castel Gatto, St. Vigil Platz - Piazza S. Vigilio, Sinich - Sinigo, Meran - Merano, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39012, Italia","{'type': 'Point', 'coordinates': [11.1877383, 46.6450216]}",MERANO Buschenschank Rauthof,POINT
Fontana pubblica via Steinach / Öffentlicher Brunnen Steinachweg,MERANO/MERAN,20/12/2018,"Steinach, Obermais - Maia Alta, Meran - Merano, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39012, Italia","{'type': 'Point', 'coordinates': [11.165620833454305, 46.6712177]}",MERANO  via Steinach,POINT
f.p. Portici / Öffentlicher Brunnen - Laubengasse,MERANO/MERAN,07/05/2018,"Laubengasse - Via Portici, Steinach, Untermais - Maia Bassa, Meran - Merano, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39012, Italia","{'type': 'Point', 'coordinates': [11.1619447, 46.6717481]}",MERANO f.p. Portici,POINT
"f.p. Sinigo / Öffentlicher Brunnen, Sinich",MERANO/MERAN,04/05/2018,"Sinich - Sinigo, Meran - Merano, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39012, Italia","{'type': 'Point', 'coordinates': [11.1802054, 46.6452429]}",MERANO f.p. Sinigo,POINT
f.p. p.zza fontana / ö.B. Brunnenplatz,MERANO/MERAN,16/08/2018,"Brunnenplatz - Piazza Fontana, St. Vigil Platz - Piazza S. Vigilio, Obermais - Maia Alta, Meran - Merano, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39012, Italia","{'type': 'Point', 'coordinates': [11.1740351, 46.6690581]}",MERANO f.p. p.zza fontana,POINT
f.p. via Mainardo/via O. Huber / Öffentlicher Brunnen Meinhardstraße/O.-Huber-Str.,MERANO/MERAN,24/04/2018,"Meinhardstraße - Via Mainardo, Maria Himmelfahrt - S. Maria Assunta, Gratsch - Quarazze, Meran - Merano, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39012, Italia","{'type': 'Point', 'coordinates': [11.1506824, 46.6740542]}",MERANO f.p. via Mainardo,POINT
Fontana pubblica Pinzon / Öffentlicher Brunnen Pinzon,MONTAGNA/MONTAN,15/11/2018,"Pinzon - Pinzano, Montan - Montagna, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39044, Italia","{'type': 'Point', 'coordinates': [11.2927901, 46.3208081]}",MONTAGNA  Pinzon,POINT
"f.p. ""Sport Unterholzner"" / Öffentlicher Brunnen bei Sport Unterholzner",NATURNO/NATURNS,04/04/2018,"Berg & Sport Unterholzner, 8, Hauptstraße - Via Principale, Fanell, Naturns - Naturno, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39025, Italia","{'type': 'Point', 'coordinates': [11.0050399, 46.6502675]}","NATURNO f.p. ""Sport Unterholzner""",POINT
f.p. Stava / Ö.B. Staben,NATURNO/NATURNS,02/06/2018,"Staben - Stava, Naturns - Naturno, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39025, Italia","{'type': 'Point', 'coordinates': [10.9716416, 46.6465824]}",NATURNO f.p. Stava,POINT
f.p. Tabla' / Öffentlicher Brunnen Tabland,NATURNO/NATURNS,28/02/2018,"Tabland - Tablà, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39025, Italia","{'type': 'Point', 'coordinates': [10.9746995, 46.6350176]}",NATURNO f.p. Tabla',POINT
Fontana pubblica Aica / Öffentlicher Brunnen Aicha,NAZ-SCIAVES/NATZ-SCHABS,20/06/2018,"Aicha, Aicha - Aica, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39037, Italia","{'type': 'Point', 'coordinates': [11.642939285416668, 46.77884695]}",NAZ-SCIAVES  Aica,POINT
Fontana pubblica Rasa / Öff. Brunnen Raas,NAZ-SCIAVES/NATZ-SCHABS,07/02/2018,"Raas, Raas - Rasa, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39042, Italia","{'type': 'Point', 'coordinates': [11.6545314, 46.7485952]}",NAZ-SCIAVES  Rasa,POINT
Gasthaus Meierei / Gasthaus Meierei,NOVA LEVANTE/WELSCHNOFEN,10/03/2018,"Meierei, Schönblickweg - Via Bellavista, Welschnofen - Nova Levante, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39056, Italia","{'type': 'Point', 'coordinates': [11.5751396, 46.4173689]}",NOVA LEVANTE Gasthaus Meierei,POINT
Hotel Latemar / Hotel Latemar,NOVA LEVANTE/WELSCHNOFEN,10/03/2018,"Latemarweg - Via Latemar, Samerhof, Welschnofen - Nova Levante, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39056, Italia","{'type': 'Point', 'coordinates': [11.5362544, 46.4275654]}",NOVA LEVANTE Hotel Latemar,POINT
Fontana pubblica Eggen / Dorfbrunnen Eggen,NOVA PONENTE/DEUTSCHNOFEN,07/02/2018,"Eggen - Ega, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.5048887, 46.409768]}",NOVA PONENTE,POINT
Fontana pubblica Petersberg / Dorfbrunnen Petersberg,NOVA PONENTE/DEUTSCHNOFEN,16/05/2018,"Petersberg - Monte San Pietro, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.3880102, 46.3968311]}",NOVA PONENTE  Petersberg,POINT
Hotel Royal / Hotel Royal,NOVA PONENTE/DEUTSCHNOFEN,13/09/2018,"Deutschnofen - Nova Ponente, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.4254609, 46.4142929]}",NOVA PONENTE Hotel Royal,POINT
Hotel Sonnalp / Hotel Sonnalp,NOVA PONENTE/DEUTSCHNOFEN,07/02/2018,"Obereggen Sonnalp, 28, Obereggen, Obereggen - San Floriano d'Ega, Deutschnofen - Nova Ponente, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39050, Italia","{'type': 'Point', 'coordinates': [11.528860771082151, 46.38495615]}",NOVA PONENTE Hotel Sonnalp,POINT
scuola elementare / Grundschule,ORA/AUER,02/07/2018,"Scuola elementare Ora in lingua italiana, 2, Truidn, Auer - Ora, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.3002512, 46.3467702]}",ORA scuola elementare,POINT
Privato/Privat,ORTISEI/ST. ULRICH,08/01/2018,"Urtijëi - St. Ulrich in Gröden - Ortisei, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39046, Italia","{'type': 'Point', 'coordinates': [11.684557154748571, 46.5904618]}",ORTISEI,POINT
Rathaus St. Ulrich / Rathaus St. Ulrich,ORTISEI/ST. ULRICH,03/07/2018,"Municipio di Ortisei - Rathaus St. Ulrich, Streda Roma, Tambres, Urtijëi - St. Ulrich in Gröden - Ortisei, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39046, Italia","{'type': 'Point', 'coordinates': [11.6716956, 46.5760014]}",ORTISEI Rathaus St. Ulrich,POINT
f.p. via Peter Mitterhofer / Öffentl. Brunnen Peter Mitterhoferstr.,PARCINES/PARTSCHINS,19/12/2018,"Peter-Mitterhofer-Straße - Via Peter Mitterhofer, Salten, Partschins - Parcines, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39020, Italia","{'type': 'Point', 'coordinates': [11.0661404, 46.679081]}",PARCINES f.p. via Peter Mitterhofer,POINT
"f.p. Agumes / Öffentlicher Brunnen, Agums",PRATO ALLO STELVIO/PRAD AM STILFSERJOCH,03/05/2018,"Agums - Agumes, Alter Mitterhof, Prad am Stilfserjoch - Prato allo Stelvio, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 29026, Italia","{'type': 'Point', 'coordinates': [10.582434, 46.6227802]}",PRATO ALLO STELVIO f.p. Agumes,POINT
f.p. Kirchweg / Öffentlicher Brunnen Kirchweg,PRATO ALLO STELVIO/PRAD AM STILFSERJOCH,07/02/2018,"Kirchweg - Via Alla Chiesa, Pinethöfe - Pinet, Prad am Stilfserjoch - Prato allo Stelvio, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 29026, Italia","{'type': 'Point', 'coordinates': [10.5683824, 46.631217]}",PRATO ALLO STELVIO f.p. Kirchweg,POINT
"f.p. Montechiaro / Öffentlicher Brunnen, Lichtenberg",PRATO ALLO STELVIO/PRAD AM STILFSERJOCH,03/05/2018,"Lichtenberg - Montechiaro, Prad am Stilfserjoch - Prato allo Stelvio, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39026, Italia","{'type': 'Point', 'coordinates': [10.5683326, 46.6364618]}",PRATO ALLO STELVIO f.p. Montechiaro,POINT
Municipio / Rathaus,PREDOI/PRETTAU,04/09/2018,"Gemeinde Prettau - Comune di Predoi, Ahrner Straße - Via Aurina, Innerbichler Alm, Prettau - Predoi, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [12.1030232, 47.0379998]}",PREDOI Municipio,POINT
Fontana pubblica Ridanna / Öffentlicher Brunnen in Ridnaun,RACINES/RATSCHINGS,07/11/2018,"Ridnaun - Ridanna, Wipptal - Alta Vall'Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.3056469, 46.910094]}",RACINES  Ridanna,POINT
Hotel Kalcherhof / Hotel Kalcherhof WH Bar,RACINES/RATSCHINGS,20/08/2018,"Sporthotel Kalcherhof, Kalch - Calice, Ratschings - Racines, Wipptal - Alta Vall'Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.36369091642786, 46.868120399999995]}",RACINES Hotel Kalcherhof,POINT
Privato/Privat,RACINES/RATSCHINGS,20/08/2018,,,RACINES ALTO ADIGE,POINT
Bar  / Bar,RASUN ANTERSELVA/RASEN ANTHOLZ,23/07/2018,"Rasen-Antholz - Rasun-Anterselva, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [12.111611301365008, 46.83901515]}",RASUN ANTERSELVA Bar,POINT
Cimitero / Friedhof,RASUN ANTERSELVA/RASEN ANTHOLZ,15/10/2018,"St.-Georg-Straße - Via St. Georg, Rieder, Rasen-Antholz - Rasun-Anterselva, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [12.0997594, 46.859309]}",RASUN ANTERSELVA Cimitero,POINT
