alias_address,alias_city,geocode,geometry,georeferencingString,tyoe
Territorio comunale,GORGONZOLA,"Gorgonzola, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.404651, 45.531574]}",GORGONZOLA MI,POINT
Territorio comunale,GREZZAGO,"Grezzago, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.4952028, 45.5918653]}",GREZZAGO MI,POINT
Territorio comunale,GUDO VISCONTI,"Gudo Visconti, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.998735, 45.3729213]}",GUDO VISCONTI MI,POINT
Territorio comunale,INVERUNO,"Inveruno, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.8519543, 45.5138305]}",INVERUNO MI,POINT
Territorio comunale,INZAGO,"Inzago, Milano, Lombardia, 20065, Italia","{'type': 'Point', 'coordinates': [9.482052, 45.540475]}",INZAGO MI,POINT
Territorio comunale,LACCHIARELLA,"Lacchiarella, Milano, Lombardia, 20084, Italia","{'type': 'Point', 'coordinates': [9.139049, 45.324267]}",LACCHIARELLA MI,POINT
Territorio comunale,LAINATE,"Lainate, Milano, Lombardia, 20020, Italia","{'type': 'Point', 'coordinates': [9.028461, 45.5717302]}",LAINATE MI,POINT
Territorio comunale,LEGNANO,"Legnano, Milano, Lombardia, 20025, Italia","{'type': 'Point', 'coordinates': [8.9107722, 45.5936148]}",LEGNANO MI,POINT
Territorio comunale,LISCATE,"Liscate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.412552, 45.480473]}",LISCATE MI,POINT
Territorio comunale,LOCATE DI TRIULZI,"Locate di Triulzi, Milano, Lombardia, 20085, Italia","{'type': 'Point', 'coordinates': [9.2261861, 45.3577584]}",LOCATE DI TRIULZI MI,POINT
Territorio comunale,MAGENTA,"Magenta, Milano, Lombardia, 20013, Italia","{'type': 'Point', 'coordinates': [8.8838429, 45.4653931]}",MAGENTA MI,POINT
Territorio comunale,MAGNAGO,"Magnago, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.8018508, 45.5787312]}",MAGNAGO MI,POINT
Territorio comunale,MARCALLO CON CASONE,"Marcallo con Casone, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.87327605576723, 45.4872199]}",MARCALLO CON CASONE MI,POINT
Territorio comunale,MASATE,"Masate, Unione Comuni Basiano Masate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.464151, 45.567076]}",MASATE MI,POINT
Territorio comunale,MEDIGLIA,"Mediglia, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.331652, 45.39537]}",MEDIGLIA MI,POINT
Territorio comunale,MELEGNANO,"Melegnano, Milano, Lombardia, 20077, Italia","{'type': 'Point', 'coordinates': [9.3192801, 45.3563564]}",MELEGNANO MI,POINT
Territorio comunale,MELZO,"Melzo, Milano, Lombardia, 20066, Italia","{'type': 'Point', 'coordinates': [9.4214886, 45.5023411]}",MELZO MI,POINT
Territorio comunale,MESERO,"Mesero, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.8542025, 45.501314]}",MESERO MI,POINT
