Ammoniaca (NH4+),Attività ioni idrogeno,Bicarbonati,Calcio,Cloro residuo,Cloruri,Conduc. elettrica specifica a 20 °C,Durezza totale in gradi francesi,Ferro totale,Fluoruri,Magnesio,Manganese,Nitrati,Nitriti,Potassio,Sodio,Solfati,alias_address,alias_city,data_report
"< 0,05",7.8,187,50.9,,4,311,17.9,5.9,"< 0,2",12.3,< 1,8,"< 0,1",0.5,3.2,24,CONTRADA CANTON,Cornedo Vic.,06/12/2019
"< 0,05",7.8,187,50.9,,4,311,17.9,5.9,"< 0,2",12.3,< 1,8,"< 0,1",0.5,3.2,24,CONTRADA FERMI,Cornedo Vic.,06/12/2019
"< 0,05",7.8,187,50.9,,4,311,17.9,5.9,"< 0,2",12.3,< 1,8,"< 0,1",0.5,3.2,24,CONTRADA GOBBI ALTI,Cornedo Vic.,06/12/2019
"< 0,05",7.8,255,71.4,,7,458,27.6,< 5,"< 0,2",23.8,< 1,19,"< 0,1",0.8,3,33,PIAZZA VITTORIO VENETO,Costabissara,06/12/2019
"< 0,05",7.8,255,71.4,,7,458,27.6,< 5,"< 0,2",23.8,< 1,19,"< 0,1",0.8,3,33,PIAZZETTA S. STEFANO,Costabissara,06/12/2019
"< 0,05",7.8,255,71.4,,7,458,27.6,< 5,"< 0,2",23.8,< 1,19,"< 0,1",0.8,3,33,STRADA DEL PASUBIO,Costabissara,06/12/2019
"< 0,05",7.8,255,71.4,,7,458,27.6,< 5,"< 0,2",23.8,< 1,19,"< 0,1",0.8,3,33,STRADA DELLE PIGNARE,Costabissara,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,LARGO TIEPOLO,Creazzo,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,PIAZZA DEL COMUNE,Creazzo,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,PIAZZA ROMA,Creazzo,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,PIAZZA SAN NICOLA,Creazzo,06/12/2019
"< 0,05",7.6,275,72,,14,524,31.3,< 5,"< 0,2",32.2,< 1,22,"< 0,1",1,4.5,41,PIAZZA SAN PIO X,Dueville,06/12/2019
"< 0,05",7.6,275,72,,14,524,31.3,< 5,"< 0,2",32.2,< 1,22,"< 0,1",1,4.5,41,VIA BACCHIGLIONE,Dueville,06/12/2019
"< 0,05",7.6,275,72,,14,524,31.3,< 5,"< 0,2",32.2,< 1,22,"< 0,1",1,4.5,41,VIA DELLA RISARA,Dueville,06/12/2019
"< 0,05",7.6,275,72,,14,524,31.3,< 5,"< 0,2",32.2,< 1,22,"< 0,1",1,4.5,41,VIA DUE PONTI,Dueville,06/12/2019
"< 0,05",7.8,232,52.6,,4,344,19.5,,"< 0,2",15.4,,7,"< 0,1",0.7,3.4,8,PIAZZA ARNALDI,Fara Vic.no,06/12/2019
"< 0,05",7.8,224,51.9,,4,330,19.2,,"< 0,2",15.3,,6,"< 0,1",0.8,2.9,7,VIA 4 NOVEMBRE,Fara Vic.no,06/12/2019
"< 0,05",7.8,224,51.9,,4,330,19.2,,"< 0,2",15.3,,6,"< 0,1",0.8,2.9,7,VIA ASTICO,Fara Vic.no,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,CONTRÀ CARLOTTI,Gambugliano,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,CONTRÀ ZANOTTI,Gambugliano,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,PIAZZA COROBBO,Gambugliano,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,STRADA FALSE,Gambugliano,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,LARGO GALILEI,Grisignano di Zocco,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,PARCO DEL DONATORE,Grisignano di Zocco,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,PIAZZA DON CORRADIN,Grisignano di Zocco,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,PIAZZA EUROPA UNITA,Grisignano di Zocco,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,PIAZZA GIOVANNI XXIII,Grumolo delle Abbadesse,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,VIA ALESSANDRO MANZONI,Grumolo delle Abbadesse,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,VIA ALESSANDRO VOLTA,Grumolo delle Abbadesse,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,VIA ANDREA MANTEGNA,Grumolo delle Abbadesse,06/12/2019
"< 0,05",8,196,39.9,,2,294,17.5,6.9,"< 0,2",18.3,< 1,5,"< 0,1",0.5,1.7,8,PIAZZA ARASELLA,Isola Vic.,06/12/2019
"< 0,05",8,196,39.9,,2,294,17.5,6.9,"< 0,2",18.3,< 1,5,"< 0,1",0.5,1.7,8,PIAZZA DONATORI DI SANGUE,Isola Vic.,06/12/2019
"< 0,05",8,196,39.9,,2,294,17.5,6.9,"< 0,2",18.3,< 1,5,"< 0,1",0.5,1.7,8,PIAZZA IGNAGO,Isola Vic.,06/12/2019
"< 0,05",8,196,39.9,,2,294,17.5,6.9,"< 0,2",18.3,< 1,5,"< 0,1",0.5,1.7,8,PIAZZA MARCONI,Isola Vic.,06/12/2019
"< 0,05",7.8,,41.4,,1,319,20.3,< 5,"< 0,2",24.1,< 1,1,"< 0,1",0.4,0,3,CONTRA' BERTA,Laghi,06/12/2019
"< 0,05",7.8,,41.4,,1,319,20.3,< 5,"< 0,2",24.1,< 1,1,"< 0,1",0.4,0,3,CONTRA' BRAGIOLI,Laghi,06/12/2019
"< 0,05",7.8,,41.4,,1,319,20.3,< 5,"< 0,2",24.1,< 1,1,"< 0,1",0.4,0,3,CONTRA' CHEZZI,Laghi,06/12/2019
"< 0,05",7.8,,41.4,,1,319,20.3,< 5,"< 0,2",24.1,< 1,1,"< 0,1",0.4,0,3,CONTRA' CRUZZI,Laghi,06/12/2019
"< 0,05",8.1,154,43.2,,3,239,13.2,15.3,"< 0,2",5.9,< 1,4,"< 0,1",0.4,2.2,2,LOCALITA' VAL DELLE LANZE,Lastebasse,06/12/2019
"< 0,05",8.1,154,43.2,,3,239,13.2,15.3,"< 0,2",5.9,< 1,4,"< 0,1",0.4,2.2,2,VIA BUSATTI,Lastebasse,06/12/2019
