Alcalinità,Ammonio,Arsenico,Calcio,Cloruro,Conducibilità,Conta Clostridium perfringens (spore comprese),Conta Escherichia coli,Conta batteri coliformi,Durezza,Ferro,Fluoruro,Magnesio,Manganese,Nitrato,Nitrito,Potassio,Residuo secco a 180°C,Sodio,Solfato,alias_acqueduct,alias_city,data_report,pH,Nessun dato disponibile
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,Pontecchio Polesine,06/11/2019,7.6,
78,0.02,< 1,52,32,442,0,0,0,19,< 20,0.08,11,< 5,12,< 0.05,2,268,11,45,Centrale di Ponte Molo,Porto Tolle,06/11/2019,7.6,
75,0.02,< 1,51,36,446,0,0,0,19,< 20,0.07,11,< 5,11,< 0.05,2,269,12,45,Centrale di Corbola,Porto Viro,06/11/2019,7.5,
50,< 0.02,< 1,35,12,317,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,132,5,41,Centrale di Vescovana,Pozzonovo,06/11/2019,7.8,
78,0.02,< 1,52,32,442,0,0,0,19,< 20,0.08,11,< 5,12,< 0.05,2,268,11,45,Centrale di Ponte Molo,Rosolina,06/11/2019,7.6,
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,Rovigo,06/11/2019,7.6,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Salara,06/11/2019,7.5,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,San Bellino,06/11/2019,7.5,
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,San Martino di Venezze,06/11/2019,7.6,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,San Pietro Viminario,06/11/2019,7.8,
50,< 0.02,< 1,35,12,317,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,132,5,41,Centrale di Vescovana,Sant'Elena,06/11/2019,7.8,
50,< 0.02,< 1,35,16,328,0,0,0,13,< 20,0.14,9,< 5,4,< 0.05,2,104,5,42,Centrale di Piacenza d'Adige,Sant'Urbano,06/11/2019,7.7,
,< 0.02,< 1,71,20,573,0,0,0,31,< 20,0.05,26,< 5,16,< 0.05,1,388,19,39,Centrale di rilancio di Almisano,Sarego,06/11/2019,7.4,
50,< 0.02,< 1,35,12,317,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,132,5,41,Centrale di Vescovana,Solesino,06/11/2019,7.8,
50,< 0.02,< 1,35,12,317,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,132,5,41,Centrale di Vescovana,Stanghella,06/11/2019,7.8,
135.42,0.03,1,74,194,985,0,0,0,30,< 20,0.15,24,< 5,6,< 0.05,3,692,92,20,Centrale di Occhiobello,Stienta,06/11/2019,7.4,
75,0.02,< 1,51,36,446,0,0,0,19,< 20,0.07,11,< 5,11,< 0.05,2,269,12,45,Centrale di Corbola,Taglio di Po,06/11/2019,7.5,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,Terrassa Padovana,06/11/2019,7.8,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Trecenta,06/11/2019,7.5,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,Tribano,06/11/2019,7.8,
50,< 0.02,< 1,35,16,328,0,0,0,13,< 20,0.14,9,< 5,4,< 0.05,2,104,5,42,Centrale di Piacenza d'Adige,Urbana,06/11/2019,7.7,
,< 0.02,< 1,71,20,573,0,0,0,31,< 20,0.05,26,< 5,16,< 0.05,1,388,19,39,Centrale di rilancio di Almisano,Val Liona,06/11/2019,7.4,
50,< 0.02,< 1,35,12,317,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,132,5,41,Centrale di Vescovana,Vescovana,06/11/2019,7.8,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Vighizzolo d'Este,06/11/2019,7.2,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Villa Estense,06/11/2019,7.2,
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,Villadose,06/11/2019,7.6,
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,Villamarzana,06/11/2019,7.6,
73,0.03,< 1,51,34,442,0,0,0,19,< 20,0.08,11,< 5,11,< 0.05,2,246,13,45,Centrale di Canalnovo,Villanova Marchesana,06/11/2019,7.5,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Villanova del Ghebbo,06/11/2019,7.5,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Vo',06/11/2019,7.2,
,,,,,,,,,,,,,,,,,,,,Comune di Zermeghedo,Zermeghedo,06/11/2019,,Nessun dato disponibile
,,,,,,,,,,,,,,,,,,,,Viacqua,Zovencedo,06/11/2019,,Nessun dato disponibile
