alias_address,alias_city,georeferencingString
VIA DEL CRISTO,BORCA DI CADORE,"VIA DEL CRISTO, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DELLA CHIESA,BORCA DI CADORE,"VIA DELLA CHIESA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DON CARLO DE LUCA,BORCA DI CADORE,"VIA DON CARLO DE LUCA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DON GIOVANNI DE LUCA,BORCA DI CADORE,"VIA DON GIOVANNI DE LUCA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DON NATALE TALAMINI,BORCA DI CADORE,"VIA DON NATALE TALAMINI, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DON OSVALDO VARETTON,BORCA DI CADORE,"VIA DON OSVALDO VARETTON, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA ENRICO MATTEI,BORCA DI CADORE,"VIA ENRICO MATTEI, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA FERRANDINA,BORCA DI CADORE,"VIA FERRANDINA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA FRATE TOMMASO DE LUCA,BORCA DI CADORE,"VIA FRATE TOMMASO DE LUCA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA FUSINELES,BORCA DI CADORE,"VIA FUSINELES, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA GIOVANNA ZANGRANDI,BORCA DI CADORE,"VIA GIOVANNA ZANGRANDI, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA GIUSEPPE GARIBALDI,BORCA DI CADORE,"VIA GIUSEPPE GARIBALDI, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA GIUSEPPE MAZZINI,BORCA DI CADORE,"VIA GIUSEPPE MAZZINI, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA LA VARES,BORCA DI CADORE,"VIA LA VARES, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA MARCONI,BORCA DI CADORE,"VIA MARCONI, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA METANOPOLI,BORCA DI CADORE,"VIA METANOPOLI, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA OLIVO SALA - VILLANOVA,BORCA DI CADORE,"VIA OLIVO SALA - VILLANOVA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA P.F. CALVI,BORCA DI CADORE,"VIA P.F. CALVI, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA PARABELUN,BORCA DI CADORE,"VIA PARABELUN, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA PEZES,BORCA DI CADORE,"VIA PEZES, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA RIVA DEL PONTE,BORCA DI CADORE,"VIA RIVA DEL PONTE, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA ROMA,BORCA DI CADORE,"VIA ROMA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA S. ROCCO,BORCA DI CADORE,"VIA S. ROCCO, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA SALIETO,BORCA DI CADORE,"VIA SALIETO, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA T. VECELLIO,BORCA DI CADORE,"VIA T. VECELLIO, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA TAULEN MARCEANA,BORCA DI CADORE,"VIA TAULEN MARCEANA, BORCA DI CADORE, Belluno, Veneto, Italia"
LOCALITA' ETOLA,CALALZO DI CADORE,"LOCALITA' ETOLA, CALALZO DI CADORE, Belluno, Veneto, Italia"
LOCALITA' LA BELLA,CALALZO DI CADORE,"LOCALITA' LA BELLA, CALALZO DI CADORE, Belluno, Veneto, Italia"
