alias_city,alias_address,georeferencingString,urlReport
Castelnovo del Friuli,Paludea,Località Paludea Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castelnovo del Friuli,Forca,Località Forca Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castelnovo del Friuli,Palle Rosse,Colle Pale Rosse Castelnovo,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castelnovo del Friuli,Vidunza,Vidunza Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Cimolais,Colonia,Colonia Cimolais,https://www.hydrogea-pn.it/download/mappa/Cimolais%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Claut,Ciafurle,Località Colderon Claut,https://www.hydrogea-pn.it/download/mappa/Claut%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Claut,Pinedo,Località Pinedo Claut,https://www.hydrogea-pn.it/download/mappa/Claut%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Claut,Masut,Località Masut Claut,https://www.hydrogea-pn.it/download/mappa/Claut%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Claut,Contron,Località Contron Claut,https://www.hydrogea-pn.it/download/mappa/Claut%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Claut,Cellino,Località Cellino Claut,https://www.hydrogea-pn.it/download/mappa/Claut%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Clauzetto,Celante,Località Celante Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Clauzetto,Rope,Località Rope Clauzetto,https://www.hydrogea-pn.it/download/mappa/Clauzetto%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
