alias_address,alias_city,ammoniaca,arsenico,calcio,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
VIA WAGNER angolo VIA PORADA,SEREGNO,<0.15,<1.0,106.0,23.1,574,16/03/2020,32.9,<30,<0.15,15.6,<5.0,34.8,<0.15,7.4,2.1,410,12.3,23.8
"Via Palestro, 33",SEREGNO,<0.15,<1.0,99.1,22.9,559,16/03/2020,32.2,<30,<0.15,18.2,<5.0,35.3,<0.15,7.2,1.6,400,14.0,25.0
"Via Reggio, 20831 Seregno MB",SEREGNO,<0.15,<1.0,78.3,17.2,501,16/03/2020,29.2,<30,<0.15,23.4,<5.0,22.7,<0.15,7.4,1.5,358,13.6,23.3
"Via Antonio Gramsci, 1",SEREGNO,<0.15,<1.0,103.0,25.4,605,16/03/2020,33.3,132,<0.15,18.3,<5.0,36.4,<0.15,7.5,1.8,433,13.6,26.4
"Via Verdi Giuseppe, 1",SEREGNO,<0.15,<1.0,94.5,20.2,589,16/03/2020,34.0,<30,<0.15,25.2,<5.0,29.9,<0.15,7.6,1.6,421,11.3,28.4
Via Giuseppe Verdi,SEREGNO,<0.15,<1.0,106.0,29.9,588,16/03/2020,33.4,<30,<0.15,16.9,<5.0,39.9,<0.15,7.4,1.9,420,15.3,28.0
VIA DON GNOCCHI,SEREGNO,<0.15,<1.0,105.0,25.4,604,16/03/2020,34.1,<30,<0.15,19.2,<5.0,36.7,<0.15,7.4,1.8,432,14.0,26.1
VIA VERDI,SEREGNO,<0.15,<1.0,111.0,22.7,651,16/03/2020,39.3,<30,<0.15,28.2,<5.0,28.2,<0.15,7.5,1.6,465,13.4,29.7
"Viale De Gasperi, 2",SEVESO,<0.15,<1.0,83.5,21.5,481,16/03/2020,26.2,<30,<0.15,13.1,<5.0,34.3,<0.15,7.8,1.4,344,9.2,27.8
VIA TRENTO TRIESTE,SEVESO,<0.15,<1.0,80.2,22.6,483,16/03/2020,25.0,<30,<0.15,12.1,<5.0,35.9,<0.15,7.7,1.3,345,13.1,26.7
CORSO MARCONI,SEVESO,<0.15,<1.0,98.7,27.2,558,16/03/2020,30.5,<30,<0.15,14.2,<5.0,41.5,<0.15,7.9,1.6,399,11.3,32.8
VIA CIMAROSA,SEVESO,<0.15,<1.0,103.0,29.2,561,16/03/2020,31.9,35,<0.15,15.0,<5.0,41.1,<0.15,7.9,1.5,401,9.6,35.0
Via Mezzera,SEVESO,<0.15,<1.0,69.4,16.6,413,16/03/2020,22.4,184,<0.15,12.3,<5.0,26.1,<0.15,7.9,1.2,295,7.7,22.7
VIA BOVES,SEVESO,<0.15,<1.0,87.0,24.6,507,16/03/2020,27.4,<30,<0.15,13.8,<5.0,38.6,<0.15,7.8,1.5,363,8.9,27.7
VIA DEI CASTAGNI (PERCORSO VITA),SEVESO,<0.15,<1.0,101.0,22.4,482,16/03/2020,31.5,<30,<0.15,15.2,<5.0,44.4,<0.15,7.9,1.6,345,9.6,25.7
"Via Antonio Gramsci, 11",SEVESO,<0.15,<1.0,66.9,16.4,403,16/03/2020,21.3,141,<0.15,11.2,<5.0,28.9,<0.15,8.1,1.0,288,8.6,20.4
"Rimembranze, 1",SEVESO,<0.15,<1.0,88.2,23.4,499,16/03/2020,27.6,<30,<0.15,13.6,<5.0,39.2,<0.15,7.8,1.4,357,8.6,27.7
"Via Adua, 20822 Seveso MB, Italia",SEVESO,<0.15,<1.0,93.3,28.6,559,16/03/2020,28.9,<30,<0.15,13.7,<5.0,40.3,<0.15,8.0,1.4,400,8.7,34.9
Via De Gasperi,SOVICO,<0.15,<1.0,71.5,16.7,477,16/03/2020,24.9,<30,<0.15,17.1,<5.0,12.3,<0.15,7.5,2.2,341,15.0,19.1
VIA UMBERTO I°,SOVICO,<0.15,<1.0,77.9,24.4,523,16/03/2020,26.0,<30,<0.15,15.9,<5.0,16.0,<0.15,7.5,2.6,374,20.0,21.2
Via Francesco Baracca,SOVICO,<0.15,<1.0,83.0,15.8,502,16/03/2020,28.5,<30,<0.15,18.8,<5.0,17.5,<0.15,7.1,2.2,359,17.8,19.7
VIA BRIANZA,SOVICO,<0.15,<1.0,68.6,15.2,448,16/03/2020,24.0,<30,<0.15,16.8,<5.0,11.8,<0.15,7.7,1.9,320,14.5,17.7
VIA BRIANZA,SOVICO,<0.15,<1.0,68.7,15.3,484,16/03/2020,23.9,<30,<0.15,16.4,<5.0,15.9,<0.15,7.5,2.3,346,14.5,18.8
Via Madre Laura,SULBIATE,<0.15,<1.0,76.2,10.8,481,16/03/2020,27.9,<30,<0.15,21.5,<5.0,20.6,<0.15,7.9,1.3,344,7.0,21.5
Piazza Beretta,SULBIATE,<0.15,<1.0,66.9,8.1,434,16/03/2020,25.9,<30,<0.15,22.3,<5.0,9.7,<0.15,7.9,1.2,310,6.4,21.1
"Via Edmondo de Amicis, 4-14 20884 Sulbiate MB",SULBIATE,<0.15,<1.0,37.3,10.3,261,16/03/2020,13.0,<30,<0.15,8.9,<5.0,39.9,<0.15,7.1,<1.0,187,6.5,7.3
"Via IV Novembre, 20884 Sulbiate MB",SULBIATE,<0.15,<1.0,60.0,10.0,410,16/03/2020,24.6,<30,<0.15,23.3,<5.0,11.6,<0.15,8.0,<1.0,293,8.0,25.9
Cascina Gianfranco,TRIUGGIO,<0.15,<1.0,65.7,10.0,440,16/03/2020,24.4,<30,<0.15,19.5,<5.0,23.8,<0.15,7.7,1.3,315,7.7,17.6
Via 11 Settembre 2001,TRIUGGIO,<0.15,<1.0,70.4,9.9,447,16/03/2020,26.1,<30,<0.15,20.6,<5.0,25.8,<0.15,7.6,1.2,320,7.4,18.1
Via Stradetta 20844 Triuggio MB,TRIUGGIO,<0.15,<1.0,71.9,10.3,456,16/03/2020,26.4,<30,<0.15,20.4,<5.0,21.8,<0.15,7.6,1.5,326,10.2,20.0
Via Sant'Ambrogio,TRIUGGIO,<0.15,<1.0,65.6,10.2,463,16/03/2020,24.0,<30,<0.15,18.6,<5.0,25.4,<0.15,7.6,1.4,331,7.0,20.3
Via Armando Diaz,TRIUGGIO,<0.15,<1.0,66.8,10.1,458,16/03/2020,24.5,<30,<0.15,19.1,<5.0,25.4,<0.15,7.6,1.4,327,7.6,20.2
Via Monte Faito,TRIUGGIO,<0.15,<1.0,97.2,24.3,584,16/03/2020,32.8,<30,<0.15,20.7,<5.0,27.1,<0.15,7.5,1.8,418,16.4,27.2
Via Kennedy,TRIUGGIO,<0.15,<1.0,88.6,9.8,488,16/03/2020,28.3,<30,<0.15,15.0,<5.0,28.8,<0.15,7.5,1.0,349,7.9,18.4
"Via Roma, 82",USMATE VELATE,<0.15,<1.0,63.2,16.0,465,16/03/2020,22.7,<30,<0.15,16.9,<5.0,15.6,<0.15,7.5,1.3,332,10.0,17.3
Via Gaetano Donizetti,USMATE VELATE,<0.15,<1.0,67.4,16.0,474,16/03/2020,24.2,<30,<0.15,18.0,11.1,18.3,<0.15,7.6,1.1,339,7.0,21.8
Via Vittorio Emanuele II,USMATE VELATE,<0.15,<1.0,85.2,13.7,504,16/03/2020,27.5,<30,<0.15,15.2,<5.0,28.6,<0.15,7.6,1.2,360,8.1,20.0
Via Alessandro Volta,USMATE VELATE,<0.15,<1.0,80.5,14.5,486,16/03/2020,26.8,<30,<0.15,16.2,<5.0,24.3,<0.15,7.4,1.2,347,9.2,18.3
Via del Poggio 20865 Dosso MB,USMATE VELATE,<0.15,<1.0,67.7,14.1,435,16/03/2020,23.6,<30,<0.15,16.2,<5.0,32.9,<0.15,7.8,1.0,311,8.8,15.1
Via Gianbattista Tiepolo 20865 Usmate Velate,USMATE VELATE,<0.15,<1.0,88.8,13.1,510,16/03/2020,28.2,<30,<0.15,14.6,<5.0,33.0,<0.15,7.6,1.2,365,7.4,20.4
Via Vittorio Emanuele Orlando & Via F. Rebuzzini,VAREDO,<0.15,<1.0,107.0,35.3,599,16/03/2020,32.8,<30,<0.15,14.8,<5.0,41.9,<0.15,7.0,2.5,428,25.9,36.6
Via Michelangelo Buonarroti,VAREDO,<0.15,<1.0,103.0,35.9,624,16/03/2020,31.6,<30,<0.15,14.2,<5.0,42.2,<0.15,7.5,2.6,446,23.0,37.2
VIA CIVIDALE,VAREDO,<0.15,<1.0,102.0,36.0,623,16/03/2020,31.3,<30,<0.15,14.1,<5.0,42.3,<0.15,7.6,2.5,445,22.8,37.0
VIA KENNEDY,VAREDO,<0.15,<1.0,107.0,35.6,603,16/03/2020,32.7,<30,<0.15,14.6,<5.0,42.3,<0.15,6.9,2.6,431,26.1,36.8
VIA ROSSINI,VAREDO,<0.15,<1.0,93.7,19.6,498,16/03/2020,29.5,<30,<0.15,14.7,<5.0,38.3,<0.15,7.0,1.5,356,15.1,25.5
Viale Cimitero,VAREDO,<0.15,<1.0,73.6,20.6,426,16/03/2020,23.9,<30,<0.15,13.4,<5.0,32.7,<0.15,7.1,1.4,305,9.0,24.5
VIA DIAZ,VAREDO,<0.15,<1.0,108.0,21.7,570,16/03/2020,33.2,<30,<0.15,15.2,<5.0,40.9,<0.15,7.5,1.4,408,15.0,31.4
VIA BELLARIA,VAREDO,<0.15,<1.0,93.0,31.2,557,16/03/2020,28.4,<30,<0.15,12.5,<5.0,37.3,<0.15,7.4,2.3,398,20.0,34.4
Viale Italia,VEDANO AL LAMBRO,<0.15,<1.0,105.0,23.8,619,16/03/2020,35.9,<30,<0.15,23.4,<5.0,24.1,<0.15,7.5,1.7,443,16.1,29.8
"Via Monte Grappa, 20854 Vedano al Lambro MB",VEDANO AL LAMBRO,<0.15,<1.0,102.0,24.4,616,16/03/2020,34.9,<30,<0.15,22.9,<5.0,26.2,<0.15,7.4,1.7,440,16.5,28.0
"Via Italia, 15",VEDANO AL LAMBRO,<0.15,<1.0,101.0,23.7,624,16/03/2020,34.5,<30,<0.15,22.6,<5.0,24.2,<0.15,7.5,1.6,446,15.9,30.4
Via Monti,VEDANO AL LAMBRO,<0.15,<1.0,103.0,23.0,637,16/03/2020,35.4,<30,0.18,23.4,<5.0,26.4,<0.15,7.4,1.6,455,14.9,29.0
Via Rimembranze,VEDANO AL LAMBRO,<0.15,<1.0,89.5,23.3,578,16/03/2020,31.1,<30,<0.15,21.3,<5.0,18.4,<0.15,7.7,1.7,413,15.4,31.0
Via Vittorio Veneto,VEDUGGIO CON COLZANO,<0.15,<1.0,107.0,22.7,706,16/03/2020,40.0,<30,<0.15,32.2,<5.0,29.5,<0.15,7.3,2.3,505,15.5,34.0
Via Alessandro Volta,VEDUGGIO CON COLZANO,<0.15,<1.0,85.3,22.0,553,16/03/2020,29.7,<30,<0.15,20.5,<5.0,10.2,<0.15,7.7,1.5,395,16.9,23.8
VIA REPUBBLICA,VERANO BRIANZA,<0.15,<1.0,101.0,21.0,609,16/03/2020,35.1,<30,<0.15,24.1,<5.0,30.9,<0.15,7.5,1.5,435,10.8,21.6
Via Nazario Sauro,VERANO BRIANZA,<0.15,<1.0,93.3,17.5,602,16/03/2020,33.2,<30,<0.15,24.1,<5.0,29.3,<0.15,7.5,1.5,430,6.6,23.2
VIA DEI MULINI,VERANO BRIANZA,<0.15,<1.0,95.8,17.5,601,16/03/2020,34.1,<30,<0.15,24.8,<5.0,29.2,<0.15,7.6,1.5,430,7.2,23.0
Via Massarani 4,VERANO BRIANZA,<0.15,<1.0,101.0,15.9,607,16/03/2020,36.1,<30,<0.15,26.3,<5.0,28.6,<0.15,7.5,1.5,434,8.8,22.3
VIA VOLTA,VERANO BRIANZA,<0.15,<1.0,95.5,16.2,599,16/03/2020,34.5,<30,<0.15,25.9,<5.0,28.8,<0.15,6.8,1.5,428,7.4,23.6
VIA S. GIUSEPPE,VERANO BRIANZA,<0.15,<1.0,97.7,20.8,602,16/03/2020,34.2,<30,<0.15,23.7,<5.0,31.5,<0.15,7.5,1.4,430,9.7,21.8
VIA MANZONI,VILLASANTA,<0.15,<1.0,87.1,18.9,547,16/03/2020,31.9,<30,<0.15,24.7,<5.0,27.7,<0.15,7.6,1.6,391,12.3,24.6
"Via Cavour, 20852 Villasanta MB, Italia",VILLASANTA,<0.15,<1.0,95.9,27.9,611,16/03/2020,33.8,<30,<0.15,24.0,<5.0,37.1,<0.15,7.5,2.1,437,16.3,28.1
"Via Goffredo Mameli 14, 20852 Villasanta MB, Italia",VILLASANTA,<0.15,<1.0,70.4,14.6,477,16/03/2020,27.3,<30,<0.15,23.7,<5.0,20.2,<0.15,7.7,1.3,341,12.8,23.6
"Via Nazario Sauro 1, 20852 Villasanta MB, Italia",VILLASANTA,<0.15,<1.0,79.6,8.5,520,16/03/2020,30.0,53,<0.15,24.5,25.9,25.8,<0.15,7.1,1.2,372,7.6,10.3
"Via Villa Ambrogio, 5",VILLASANTA,<0.15,<1.0,93.5,26.4,600,16/03/2020,33.2,<30,<0.15,23.9,<5.0,35.0,<0.15,7.5,2.1,429,15.3,27.8
Via XXIV Maggio,VILLASANTA,<0.15,<1.0,81.3,18.7,529,16/03/2020,29.8,126,<0.15,23.0,<5.0,27.7,<0.15,7.5,1.6,378,11.4,24.8
Via Meda,VILLASANTA,<0.15,<1.0,72.8,16.1,486,16/03/2020,27.4,<30,<0.15,22.4,<5.0,18.8,<0.15,7.6,1.4,347,11.8,23.2
Via San Francesco,VILLASANTA,<0.15,<1.0,66.5,13.8,468,16/03/2020,25.9,<30,<0.15,22.5,<5.0,19.0,<0.15,7.6,1.4,335,11.7,22.3
P.zza Europa,VILLASANTA,<0.15,<1.0,84.2,17.9,537,16/03/2020,30.7,<30,<0.15,23.4,<5.0,27.3,<0.15,7.5,1.6,384,11.2,25.5
Via Cremagnani,VIMERCATE,<0.15,<1.0,104.0,25.8,640,16/03/2020,34.8,<30,<0.15,21.5,<5.0,28.5,<0.15,7.2,1.6,458,15.8,28.1
Via Carnia,VIMERCATE,<0.15,<1.0,98.8,21.4,599,16/03/2020,33.3,<30,<0.15,20.9,<5.0,28.4,<0.15,7.3,1.8,428,13.3,26.2
"Via Monte Grappa, 20871 Vimercate MB, Italia",VIMERCATE,<0.15,<1.0,103.0,26.7,609,16/03/2020,35.2,<30,<0.15,22.9,<5.0,30.3,<0.15,7.4,1.4,435,12.4,26.5
"Via Lecco-Zona Ex IBM, 20871 Vimercate MB, Italia",VIMERCATE,<0.15,<1.0,111.0,29.9,655,16/03/2020,36.5,<30,<0.15,21.3,<5.0,25.7,<0.15,7.3,1.6,468,19.2,27.2
"Via Giacomo Matteotti, 20871 Vimercate MB, Italia",VIMERCATE,<0.15,<1.0,95.3,14.0,563,16/03/2020,32.8,<30,<0.15,21.9,<5.0,32.9,<0.15,7.5,1.3,403,8.7,30.8
"Via Giovanni Berchet, 20871 Vimercate MB, Italia",VIMERCATE,<0.15,<1.0,73.5,39.6,441,16/03/2020,24.2,<30,<0.15,14.3,<5.0,28.7,<0.15,7.5,1.8,315,7.6,32.4
"Via Don Pietro Lualdi, 20871 Vimercate MB, Italia",VIMERCATE,<0.15,<1.0,105.0,15.0,606,16/03/2020,34.3,<30,<0.15,19.7,<5.0,38.7,<0.15,7.3,1.5,433,8.1,29.5
"Via Lodovica, 20871 Vimercate MB, Italia",VIMERCATE,<0.15,<1.0,108.0,13.1,618,16/03/2020,34.8,<30,<0.15,18.9,<5.0,36.2,<0.15,7.3,1.7,442,9.1,25.8
Piazza Unità d'Italia,VIMERCATE,<0.15,<1.0,89.0,26.6,601,16/03/2020,30.3,<30,<0.15,19.5,<5.0,30.3,<0.15,7.4,1.4,430,9.3,27.1
VIA GALBUSERA,VIMERCATE,<0.15,<1.0,108.0,20.8,580,16/03/2020,36.2,<30,<0.15,22.5,<5.0,28.1,<0.15,6.7,1.7,415,14.9,23.7
VIA GAETANO DE CASTILLIA,VIMERCATE,<0.15,<1.0,110.0,26.6,610,16/03/2020,37.7,<30,<0.15,24.8,<5.0,30.2,<0.15,6.7,1.5,436,14.1,27.0
VIA MASCAGNI,VIMERCATE,<0.15,<1.0,104.0,18.5,563,16/03/2020,34.9,<30,<0.15,21.8,<5.0,26.4,<0.15,6.8,1.5,403,13.3,22.1
VIA CHIESA,VIMERCATE,<0.15,<1.0,105.0,29.5,637,16/03/2020,35.0,<30,<0.15,21.3,<5.0,25.7,<0.15,7.4,1.6,455,16.6,29.4
VIA DON ROSA,VIMERCATE,<0.15,<1.0,120.0,13.7,605,16/03/2020,38.6,<30,<0.15,21.0,<5.0,36.4,<0.15,6.7,1.8,433,11.4,26.5
VIA EINAUDI,VIMERCATE,<0.15,<1.0,91.4,14.3,562,16/03/2020,31.4,<30,<0.15,20.9,<5.0,32.7,<0.15,7.5,1.3,402,8.1,29.9
VIA FIUME,VIMERCATE,<0.15,<1.0,93.7,17.3,567,16/03/2020,31.5,<30,<0.15,19.7,<5.0,27.8,<0.15,7.5,1.4,405,10.2,21.8
VIA MONTIRONE,VIMERCATE,<0.15,<1.0,118.0,26.2,639,16/03/2020,39.6,<30,<0.15,24.5,<5.0,37.3,<0.15,6.7,2.6,457,17.7,28.6
Via Po,VIMERCATE,<0.15,<1.0,99.0,24.8,612,16/03/2020,33.7,<30,<0.15,21.8,<5.0,32.1,<0.15,7.5,1.8,438,12.2,27.4
VIA RIMEMBRANZE,VIMERCATE,<0.15,<1.0,94.5,15.2,592,16/03/2020,30.8,<30,<0.15,17.6,<5.0,39.1,<0.15,7.4,1.5,423,6.0,30.1
Via Santi Cosma e Damiano,VIMERCATE,<0.15,<1.0,105.0,30.3,643,16/03/2020,35.0,<30,<0.15,21.2,<5.0,27.0,<0.15,7.3,1.6,460,16.4,28.8
"Via Galileo Fleming, 20871 Vimercate MB, Italia",VIMERCATE,<0.15,<1.0,99.8,27.5,644,16/03/2020,33.4,<30,<0.15,20.7,<5.0,26.3,<0.15,7.4,1.6,460,15.6,27.1
VIA MOTTA ANGOLO FIUME,VIMERCATE,<0.15,<1.0,95.3,16.9,571,16/03/2020,32.0,<30,<0.15,19.9,<5.0,27.7,<0.15,7.5,1.4,408,10.3,21.5
Via Piave,BUSNAGO,<0.15,<1.0,44.9,5.7,359,16/03/2020,20.2,<30,<0.15,21.9,<5.0,7.5,<0.15,7.1,1.3,257,10.3,11.3
Via G.Matteotti,BUSNAGO,<0.15,<1.0,60.9,9.5,422,16/03/2020,25.0,<30,<0.15,23.7,<5.0,19.1,<0.15,7.2,1.2,302,10.6,19.4
Via Europa 20874 Busnago MB,BUSNAGO,<0.15,<1.0,76.5,13.6,493,16/03/2020,28.4,<30,<0.15,22.6,<5.0,44.6,<0.15,7.6,1.2,352,5.9,27.0
"Via S. Rocco, 41",BUSNAGO,<0.15,<1.0,44.7,5.4,358,16/03/2020,20.5,<30,<0.15,22.6,<5.0,<5.0,<0.15,7.2,1.3,256,14.0,10.1
"Via A. Manzoni, 58",BUSNAGO,<0.15,<1.0,78.6,13.8,501,16/03/2020,29.2,<30,<0.15,23.2,<5.0,41.9,<0.15,7.0,1.1,358,7.2,27.1
Parcheggio - Via C.A. Dalla Chiesa,CAPONAGO,<0.15,<1.0,109.0,46.7,698,16/03/2020,36.2,<30,<0.15,21.9,<5.0,26.1,<0.15,7.3,3.0,499,26.5,34.1
Largo Adda / Ang. Enrico Riva,CORNATE D'ADDA,<0.15,<1.0,78.7,11.6,523,16/03/2020,29.5,<30,<0.15,23.9,<5.0,29.4,<0.15,6.9,1.3,374,7.8,21.9
Piazza Sant'Alessandro,CORNATE D'ADDA,<0.15,<1.0,47.7,<5.0,362,16/03/2020,20.4,<30,<0.15,20.7,<5.0,7.3,<0.15,7.0,1.0,259,6.1,7.3
Via Alessandro Volta,CORNATE D'ADDA,<0.15,<1.0,77.2,10.5,486,16/03/2020,29.0,49,<0.15,23.6,6.8,24.7,<0.15,7.6,1.2,347,8.0,19.6
Via Villa Paradiso,CORNATE D'ADDA,<0.15,<1.0,77.3,<5.0,485,16/03/2020,29.1,<30,<0.15,23.9,<5.0,7.7,<0.15,7.6,1.2,347,7.8,7.6
Via Guido Rossa,CORNATE D'ADDA,<0.15,<1.0,48.2,<5.0,361,16/03/2020,20.6,<30,<0.15,20.9,<5.0,7.3,<0.15,7.0,1.0,258,6.7,7.2
Via Como,LENTATE SUL SEVESO,<0.15,<1.0,73.5,24.3,457,16/03/2020,23.2,<30,<0.15,11.7,<5.0,34.4,<0.15,7.8,1.5,327,10.3,21.0
Viale Italia,LENTATE SUL SEVESO,<0.15,<1.0,79.0,37.3,538,16/03/2020,24.4,<30,<0.15,11.4,<5.0,37.3,<0.15,7.8,2.2,385,20.9,34.1
VIA MANZONI,LENTATE SUL SEVESO,<0.15,<1.0,69.3,20.4,432,16/03/2020,21.9,<30,<0.15,11.2,<5.0,34.7,<0.15,8.1,1.4,309,7.7,18.6
Via Gorizia,LENTATE SUL SEVESO,<0.15,<1.0,55.3,11.6,356,16/03/2020,19.5,<30,<0.15,13.7,<5.0,17.6,<0.15,7.9,1.4,255,7.1,15.9
Viale Italia,LENTATE SUL SEVESO,<0.15,<1.0,91.2,40.2,569,16/03/2020,28.0,<30,<0.15,12.7,<5.0,38.0,<0.15,7.2,2.5,407,31.4,37.7
Via Luigi Cadorna,LENTATE SUL SEVESO,<0.15,<1.0,83.6,35.3,541,16/03/2020,25.9,<30,<0.15,12.3,<5.0,36.7,<0.15,7.8,2.3,387,24.2,33.7
"Via Monte Generoso, 22",LENTATE SUL SEVESO,<0.15,<1.0,75.8,22.0,449,16/03/2020,24.2,<30,<0.15,12.7,<5.0,33.6,<0.15,7.9,1.5,321,11.0,20.9
Via Rizzoli 1,LENTATE SUL SEVESO,<0.15,<1.0,83.3,36.3,556,16/03/2020,25.7,<30,<0.15,11.9,<5.0,37.2,<0.15,7.8,2.3,398,23.4,33.0
Via Papa Giovanni XXIII,RONCELLO,<0.15,<1.0,76.0,13.4,471,16/03/2020,27.7,<30,<0.15,21.2,<5.0,29.0,<0.15,7.7,1.1,337,6.0,23.4
Via V. Locatelli,RONCELLO,<0.15,<1.0,80.8,18.2,502,16/03/2020,28.3,81,<0.15,19.8,16.9,37.0,<0.15,7.9,1.1,359,6.4,20.7
Via Donizetti 20877 Roncello MB,RONCELLO,<0.15,<1.0,87.4,18.6,531,16/03/2020,30.1,<30,<0.15,20.0,<5.0,39.1,<0.15,7.6,1.0,380,7.7,21.1
Via Achille Grandi,CABIATE,<0.15,<1.0,77.8,12.4,431,16/03/2020,24.0,<30,<0.15,11.1,<5.0,22.5,<0.15,7.6,<1.0,308,9.4,15.1
VIA ISTRIA,CABIATE,<0.15,<1.0,100.0,16.0,573,16/03/2020,30.7,<30,<0.15,13.8,<5.0,27.0,<0.15,7.3,2.0,410,14.6,18.7
VIA ALESSANDRO MANZONI,CABIATE,<0.15,<1.0,84.0,13.3,470,16/03/2020,25.6,<30,<0.15,11.2,<5.0,23.6,<0.15,7.6,<1.0,336,9.2,16.1
VIA GRAMSCI - VIA ALLENDE,CABIATE,<0.15,<1.0,87.4,14.2,455,16/03/2020,26.6,54,<0.15,11.5,<5.0,25.9,<0.15,7.2,<1.0,325,12.0,17.6
Via Achille Grandi,CABIATE,<0.15,<1.0,87.4,14.3,453,16/03/2020,26.6,<30,<0.15,11.6,<5.0,26.0,<0.15,7.3,<1.0,324,12.1,17.8
VIA BUOZZI,CABIATE,<0.15,<1.0,100.0,19.5,573,16/03/2020,30.7,<30,<0.15,13.9,<5.0,34.0,<0.15,7.6,2.1,410,14.6,20.6
