alias_address,alias_city,aqueduct,geocode,geometry,georeferencingString,type
San Biagio,Levico Terme,Levico zona Castagneto,"Via San Biagio, 38056, Levico Terme, TN","{'type': 'Point', 'coordinates': [11.292154514485816, 46.01805476774505]}","San Biagio, Levico Terme, TN, Trentino",POINT
Quaere,Levico Terme,Quaere,"Quaere, Levico Terme, TN","{'type': 'Point', 'coordinates': [11.302580000000034, 45.99108000000007]}","Quaere, Levico Terme, TN, Trentino",POINT
Santa Giuliana,Levico Terme,Santa Giuliana,"Santa Giuliana, Levico Terme, TN","{'type': 'Point', 'coordinates': [11.315070000000048, 45.99078000000003]}","Santa Giuliana, Levico Terme, TN, Trentino",POINT
Levico Centro / Sud (Lido,Levico Terme,Sorgente Fontanelle Levico Centro / Sud,Levico,"{'type': 'Point', 'coordinates': [11.331770000000063, 46.00097000000005]}","Levico Centro / Sud (Lido, Levico Terme, TN, Trentino",POINT
Borba,Levico Terme,Sorgente Fontanelle Levico Centro / Sud,"Via per La Borba, 38056, Levico Terme, TN","{'type': 'Point', 'coordinates': [11.320504407492132, 46.01393629625394]}","Borba, Levico Terme, TN, Trentino",POINT
Somearo),Levico Terme,Sorgente Fontanelle Levico Centro / Sud,"Levico Terme, TN","{'type': 'Point', 'coordinates': [11.299290000000042, 46.01001000000008]}","Somearo), Levico Terme, TN, Trentino",POINT
Vetriolo,Levico Terme,Vetriolo,"Vetriolo, Levico Terme, TN","{'type': 'Point', 'coordinates': [11.307010000000048, 46.04147000000006]}","Vetriolo, Levico Terme, TN, Trentino",POINT
Basson di Sopra - Basson di Sotto,Levico Terme,Vezzena,"Levico Terme, TN","{'type': 'Point', 'coordinates': [11.299290000000042, 46.01001000000008]}","Basson di Sopra - Basson di Sotto, Levico Terme, TN, Trentino",POINT
Vezzena,Levico Terme,Vezzena,Vezzena,"{'type': 'Point', 'coordinates': [11.350000000000023, 45.950000000000045]}","Vezzena, Levico Terme, TN, Trentino",POINT
Caldonazzo,Caldonazzo,Caldonazzo,"Caldonazzo, TN","{'type': 'Point', 'coordinates': [11.261840000000063, 45.99184000000008]}","Caldonazzo, Caldonazzo, TN, Trentino",POINT
Brenta,Caldonazzo,Caldonazzo,"Brenta, Caldonazzo, TN","{'type': 'Point', 'coordinates': [11.272610000000043, 46.00538000000006]}","Brenta, Caldonazzo, TN, Trentino",POINT
Lochere,Caldonazzo,Lochere,"Lochere, 38052, Caldonazzo, TN","{'type': 'Point', 'coordinates': [11.300937284863007, 45.98862820953439]}","Lochere, Caldonazzo, TN, Trentino",POINT
Monterovere,Caldonazzo,Monterovere,"Via Monte Rovere, 38052, Caldonazzo, TN","{'type': 'Point', 'coordinates': [11.270811529076749, 45.98931885961232]}","Monterovere, Caldonazzo, TN, Trentino",POINT
Tenna centro,Tenna,Tenna,"Tenna, TN","{'type': 'Point', 'coordinates': [11.268520000000024, 46.012830000000065]}","Tenna centro, Tenna, TN, Trentino",POINT
