alias_city,alias_address,aqueduct,urlPage,georeferencingString,type
Pergine Valsugana,Maso Sercher,"San Vito, Pianezza, Puller",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Maso Sercher, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Maso Puller,"San Vito, Pianezza, Puller",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Maso Puller, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,San Vito,"San Vito, Pianezza, Puller",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"San Vito, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Santa Caterina,Santa Caterina,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Santa Caterina, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Tot Ziens,Santa Caterina,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Tot Ziens, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Maso Vigabona,Santa Caterina,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Maso Vigabona, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Susa',Susa',https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Susa', Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Valar,Valar,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Valar, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Viarago,"Viarago, Cittadella, Portolo",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Viarago, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Cittadella,"Viarago, Cittadella, Portolo",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Cittadella, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Toffolazzi,"Viarago, Cittadella, Portolo",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Toffolazzi, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Canezza (Portolo),"Viarago, Cittadella, Portolo",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Canezza (Portolo), Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,maso Girardi,"Viarago, Cittadella, Portolo",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"maso Girardi, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Palaori,"Viarago, Cittadella, Portolo",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Palaori, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Drazzeri,"Viarago, Cittadella, Portolo",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Drazzeri, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Visintainer,Visintainer,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Visintainer, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Fornaselle,Visintainer,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Fornaselle, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Zava,"Zava, Ischia, Assizzi Alta",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Zava, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Pozza,"Zava, Ischia, Assizzi Alta",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Pozza, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Ischia,"Zava, Ischia, Assizzi Alta",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Ischia, Pergine Valsugana, TN, Trentino",POINT
