alias_address,alias_address_value,alias_city,alias_province,geocode,geometry,georeferencingString,type
Tutte Le Zone,85,RIVERGARO,PC,"Rivergaro, PC","{'type': 'Point', 'coordinates': [9.596660000000043, 44.91099000000003]}",", RIVERGARO, PC, Emilia Romagna",POINT
Tutte Le Zone,86,ROTTOFRENO,PC,"Rottofreno, PC","{'type': 'Point', 'coordinates': [9.549630000000036, 45.058020000000056]}",", ROTTOFRENO, PC, Emilia Romagna",POINT
Tutte Le Zone,87,SAN GIORGIO PIACENTINO,PC,"San Giorgio Piacentino, PC","{'type': 'Point', 'coordinates': [9.738350000000025, 44.957160000000044]}",", SAN GIORGIO PIACENTINO, PC, Emilia Romagna",POINT
Tutte Le Zone,96,SAN PIETRO IN CERRO,PC,"San Pietro in Cerro, PC","{'type': 'Point', 'coordinates': [9.947130000000072, 45.021840000000054]}",", SAN PIETRO IN CERRO, PC, Emilia Romagna",POINT
Tutte Le Zone,88,SARMATO,PC,"Sarmato, PC","{'type': 'Point', 'coordinates': [9.484070000000031, 45.06075000000004]}",", SARMATO, PC, Emilia Romagna",POINT
Tutte Le Zone,89,TRAVO,PC,"Travo, PC","{'type': 'Point', 'coordinates': [9.544160000000034, 44.86171000000007]}",", TRAVO, PC, Emilia Romagna",POINT
Tutte Le Zone,90,VERNASCA,PC,"Vernasca, PC","{'type': 'Point', 'coordinates': [9.829980000000035, 44.79937000000007]}",", VERNASCA, PC, Emilia Romagna",POINT
Tutte Le Zone,91,VIGOLZONE,PC,"Vigolzone, PC","{'type': 'Point', 'coordinates': [9.669130000000052, 44.915260000000046]}",", VIGOLZONE, PC, Emilia Romagna",POINT
Tutte Le Zone,92,VILLANOVA SULL'ARDA,PC,"Villanova sull'Arda, PC","{'type': 'Point', 'coordinates': [9.99517000000003, 45.02935000000008]}",", VILLANOVA SULL'ARDA, PC, Emilia Romagna",POINT
Tutte Le Zone,93,ZERBA,PC,"Zerba, PC","{'type': 'Point', 'coordinates': [9.286340000000052, 44.66556000000003]}",", ZERBA, PC, Emilia Romagna",POINT
