alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
VIA VOLTURNO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CURTATONE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA ALLE FUCINE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA DEL MAGLIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA GALANDRA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA PALESTRO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA PAPA GIOVANNI XXIII,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
P.ZA DELL' ORO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA FIUMICELLA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MONS. MONETA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MONTEROTONDO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MENTANA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA SEMINARIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA SALERNO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA ANZIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CASSINO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA GERENZONE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA POZZOLI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
P.ZA XXV APRILE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MONTEBELLO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA BERSAGLIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MILAZZO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA AI PINI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CASTAGNERA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA SOLFERINO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA FOGAZZARO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CELLINI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CONCORDIA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA COLOMBO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
P.ZA CARDUCCI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA F.LLI BANDIERA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA VERCELLONI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MAURI CARLO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
V.LE ADAMELLO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MANZONI F.,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CASTELLI NINO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA PLINIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA LINNEO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA SORA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA OSLAVIA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA PANIGADA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
P.ZA S.CARLO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CORNO MEDALE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
V.LO CANONE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CALLONI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
L.TA' RONCO INF.,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CADUTI LAVORO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA FUMAGALLI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MONTE COLTIGNONE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
V.LO CANTONE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA BONAITI A.,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA COLTOGNO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA PARADISO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA BROGNO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA QUARTO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA SALA G.B.,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA AL VALLO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA BONAITI G.,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
C.SO MONTE SANTO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA BOLZANO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA D' ACQUISTO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA DON INVERNIZZI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA AGLIATI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA PARTIGIANI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA VINCANINO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
P.ZA CAVALLOTTI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA ALLA CASTAGNA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA TIRABAGIA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA IX FEBBRAIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MICCA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA RUSCONI MATTIA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
