alias_address,alias_city,geocode,geometry,georeferencingString,type
DIVERSE MONTI DI PASTURO,Pasturo,"Pasturo, Lecco","{'type': 'Point', 'coordinates': [9.444470000000024, 45.95106000000004]}","Pasturo, Lecco, Lombardia",POINT
CNT DEGLI OREFICI,Perledo,"Perledo, Lecco","{'type': 'Point', 'coordinates': [9.295000000000073, 46.01494000000008]}","Perledo, Lecco, Lombardia",POINT
P.ZA DON G. RIVA,Pescate,"Pescate, Lecco","{'type': 'Point', 'coordinates': [9.395290000000045, 45.838820000000055]}","Pescate, Lecco, Lombardia",POINT
L.TA' PIAZZAGORLA,Premana,"Premana, Lecco","{'type': 'Point', 'coordinates': [9.410750000000064, 46.055810000000065]}","Premana, Lecco, Lombardia",POINT
CASC. CATTOLOSA,Primaluna,"Primaluna, Lecco","{'type': 'Point', 'coordinates': [9.432290000000023, 45.98548000000005]}","Primaluna, Lecco, Lombardia",POINT
CASCINA REBUSTA,Robbiate,"Robbiate, Lecco","{'type': 'Point', 'coordinates': [9.434900000000027, 45.68611000000004]}","Robbiate, Lecco, Lombardia",POINT
P.ZA V. EMANUELE II,Rogeno,"Rogeno, Lecco","{'type': 'Point', 'coordinates': [9.27350000000007, 45.782110000000046]}","Rogeno, Lecco, Lombardia",POINT
P.ZZA PADRE FAUSTO TENTORIO,Santa Maria Hoe',"Santa Maria Hoè, Lecco","{'type': 'Point', 'coordinates': [9.374120000000062, 45.74415000000005]}","Santa Maria Hoe', Lecco, Lombardia",POINT
L.TA' BERTA,Sirone,"Sirone, Lecco","{'type': 'Point', 'coordinates': [9.318460000000073, 45.77173000000005]}","Sirone, Lecco, Lombardia",POINT
LOCALITA' ISOLA D'ELBA,Sirtori,"Sirtori, Lecco","{'type': 'Point', 'coordinates': [9.331600000000037, 45.73807000000005]}","Sirtori, Lecco, Lombardia",POINT
ARTESSO,Sueglio,"Sueglio, Lecco","{'type': 'Point', 'coordinates': [9.33522000000005, 46.085300000000075]}","Sueglio, Lecco, Lombardia",POINT
VIA PROVINCIALE,Suello,"Suello, Lecco","{'type': 'Point', 'coordinates': [9.314620000000048, 45.819150000000036]}","Suello, Lecco, Lombardia",POINT
VIA AI CAMPI,Taceno,"Taceno, Lecco","{'type': 'Point', 'coordinates': [9.362230000000068, 46.02346000000006]}","Taceno, Lecco, Lombardia",POINT
FRAZ. BORNEDA,Valgreghentino,"Valgreghentino, Lecco","{'type': 'Point', 'coordinates': [9.41288000000003, 45.77669000000003]}","Valgreghentino, Lecco, Lombardia",POINT
VIA STRECCIOLA,Valmadrera,"Valmadrera, Lecco","{'type': 'Point', 'coordinates': [9.36247000000003, 45.84904000000006]}","Valmadrera, Lecco, Lombardia",POINT
NON UTILIZ.-COD.CORRETTO 92264,Varenna,"Varenna, Lecco","{'type': 'Point', 'coordinates': [9.283730000000048, 46.010290000000055]}","Varenna, Lecco, Lombardia",POINT
P.ZA MANZONI,Vercurago,"Vercurago, Lecco","{'type': 'Point', 'coordinates': [9.423880000000054, 45.81033000000008]}","Vercurago, Lecco, Lombardia",POINT
VERDERIO INFERIORE,Verderio,"Verderio, Lecco","{'type': 'Point', 'coordinates': [9.44219000000004, 45.66729000000004]}","Verderio, Lecco, Lombardia",POINT
CASCINA GIOVANNA,Vigano',"Viganò, Lecco","{'type': 'Point', 'coordinates': [9.322660000000042, 45.72514000000007]}","Vigano', Lecco, Lombardia",POINT
