alias_address,alias_city,geocode,geometry,georeferencingString,type
R-Godiasco Salice Terme - strada Cá Garello,GODIASCO,"Strada Ca' Garello, 27052, Godiasco Salice Terme, Pavia","{'type': 'Point', 'coordinates': [9.025200541838377, 44.90763045096499]}","R-Godiasco Salice Terme - strada Cá Garello, PV",POINT
GOLFERENZO,GOLFERENZO,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
C-Gravellona Lomellina - Via Marx -,GRAVELLONA LOMELLINA,"Via Karl Marx, 27020, Gravellona Lomellina, Pavia","{'type': 'Point', 'coordinates': [8.764915842007358, 45.32705046199918]}","C-Gravellona Lomellina - Via Marx -, PV",POINT
C-Gravellona Lomellina - via XX Settembre -,GRAVELLONA LOMELLINA,"Via 20 Settembre, 27020, Gravellona Lomellina, Pavia","{'type': 'Point', 'coordinates': [8.76484894207035, 45.331390320670835]}","C-Gravellona Lomellina - via XX Settembre -, PV",POINT
GROPELLO CAIROLI,GROPELLO CAIROLI,"Gropello Cairoli, PV","{'type': 'Point', 'coordinates': [8.99395000000004, 45.176090000000045]}","GROPELLO CAIROLI, PV",POINT
INVERNO E MONTELEONE,INVERNO E MONTELEONE,"Inverno e Monteleone, PV","{'type': 'Point', 'coordinates': [9.384750000000054, 45.19767000000007]}","INVERNO E MONTELEONE, PV",POINT
LANDRIANO,LANDRIANO,"Landriano, PV","{'type': 'Point', 'coordinates': [9.259510000000034, 45.31039000000004]}","LANDRIANO, PV",POINT
C-Langosco - Via Garibaldi / v.lo Gambarana -,LANGOSCO,"Via Giuseppe Garibaldi, 27030, Gambarana, PV","{'type': 'Point', 'coordinates': [8.763495308456914, 45.02945360751727]}","C-Langosco - Via Garibaldi / v.lo Gambarana -, PV",POINT
LARDIRAGO,LARDIRAGO,"Lardirago, PV","{'type': 'Point', 'coordinates': [9.231190000000026, 45.23524000000003]}","LARDIRAGO, PV",POINT
C-Linarolo,LINAROLO,"Linarolo, PV","{'type': 'Point', 'coordinates': [9.270620000000065, 45.16285000000005]}","C-Linarolo, PV",POINT
LIRIO,LIRIO,"Lirio, PV","{'type': 'Point', 'coordinates': [9.255160000000046, 44.99395000000004]}","LIRIO, PV",POINT
C-Lomello Piazza Castello - PO0180839UIM02,LOMELLO,"Piazza Castello 2, 27034, Lomello, Pavia","{'type': 'Point', 'coordinates': [8.794378026920217, 45.12142260421837]}","C-Lomello Piazza Castello - PO0180839UIM02, PV",POINT
LUNGAVILLA,LUNGAVILLA,"Lungavilla, PV","{'type': 'Point', 'coordinates': [9.081440000000043, 45.042590000000075]}","LUNGAVILLA, PV",POINT
MAGHERNO,MAGHERNO,"Magherno, PV","{'type': 'Point', 'coordinates': [9.329580000000021, 45.223160000000064]}","MAGHERNO, PV",POINT
C-Marcignago,MARCIGNAGO,"Marcignago, PV","{'type': 'Point', 'coordinates': [9.078190000000063, 45.253730000000076]}","C-Marcignago, PV",POINT
MARZANO,MARZANO,"Marzano, PV","{'type': 'Point', 'coordinates': [9.295240000000035, 45.24748000000005]}","MARZANO, PV",POINT
MEDE,MEDE,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
C-Mede - Frazione Tortorolo,MEDE,"Frazione Tortorolo, 27035, Mede, Pavia","{'type': 'Point', 'coordinates': [8.766654367488158, 45.076833508473946]}","C-Mede - Frazione Tortorolo, PV",POINT
MEDE,MEDE,"Mede, PV","{'type': 'Point', 'coordinates': [8.737630000000024, 45.096460000000036]}","MEDE, PV",POINT
MENCONICO,MENCONICO,"Menconico, PV","{'type': 'Point', 'coordinates': [9.278720000000021, 44.79636000000005]}","MENCONICO, PV",POINT
C-Mezzana Bigli v.lo Protti - PO0180909UIM04,MEZZANA BIGLI,"Vicolo Protti 4, 27030, Mezzana Bigli, Pavia","{'type': 'Point', 'coordinates': [8.847643631138572, 45.05876702469852]}","C-Mezzana Bigli v.lo Protti - PO0180909UIM04, PV",POINT
C-Mezzana Bigli via Chiesa in Balossa Bigli -,MEZZANA BIGLI,"Via Chiesa, 27030, Mezzana Bigli, PV","{'type': 'Point', 'coordinates': [8.845491470030648, 45.06049473730895]}","C-Mezzana Bigli via Chiesa in Balossa Bigli -, PV",POINT
C-Mezzana Bigli via Ferrera - Fraz. Casoni,MEZZANA BIGLI,"Via Ferrera, 27030, Mezzana Bigli, Pavia","{'type': 'Point', 'coordinates': [8.868319499695392, 45.071021857353195]}","C-Mezzana Bigli via Ferrera - Fraz. Casoni, PV",POINT
MEZZANA RABATTONE,MEZZANA RABATTONE,"Mezzana Rabattone, PV","{'type': 'Point', 'coordinates': [9.031540000000064, 45.09573000000006]}","MEZZANA RABATTONE, PV",POINT
C-Verrua Po - via Canova -PO0181759UIM01,MEZZANINO,"Via Antonio Canova 1, 27040, Verrua Po, Pavia","{'type': 'Point', 'coordinates': [9.171843307519202, 45.106978138496174]}","C-Verrua Po - via Canova -PO0181759UIM01, PV",POINT
MIRADOLO TERME,MIRADOLO TERME,"Miradolo Terme, PV","{'type': 'Point', 'coordinates': [9.44315000000006, 45.17313000000007]}","MIRADOLO TERME, PV",POINT
MONTALTO PAVESE,MONTALTO PAVESE,"Montalto Pavese, PV","{'type': 'Point', 'coordinates': [9.209590000000048, 44.979370000000074]}","MONTALTO PAVESE, PV",POINT
MONTEBELLO DELLA BATTAGLIA,MONTEBELLO DELLA BATTAGLIA,"Montebello della Battaglia, PV","{'type': 'Point', 'coordinates': [9.10343000000006, 44.998950000000036]}","MONTEBELLO DELLA BATTAGLIA, PV",POINT
R-Montecalvo Versiggia - Fraz. Poggio,MONTECALVO VERSIGGIA,"Frazione Poggio, 27047, Montecalvo Versiggia, Pavia","{'type': 'Point', 'coordinates': [9.28301319449973, 44.98113841799995]}","R-Montecalvo Versiggia - Fraz. Poggio, PV",POINT
MONTESCANO,MONTESCANO,"Montescano, PV","{'type': 'Point', 'coordinates': [9.282520000000034, 45.03240000000005]}","MONTESCANO, PV",POINT
MONTICELLI PAVESE,MONTICELLI PAVESE,"Monticelli Pavese, PV","{'type': 'Point', 'coordinates': [9.512700000000052, 45.110250000000065]}","MONTICELLI PAVESE, PV",POINT
R- Montù Beccaria - Fraz. Roncole via Molino,MONTU BECCARIA,"Montù Beccaria, PV","{'type': 'Point', 'coordinates': [9.314400000000035, 45.03696000000008]}","R- Montù Beccaria - Fraz. Roncole via Molino, PV",POINT
R-Montù Beccaria,MONTU BECCARIA,"Montù Beccaria, PV","{'type': 'Point', 'coordinates': [9.314400000000035, 45.03696000000008]}","R-Montù Beccaria, PV",POINT
R-Montù Beccaria - via Circonvallo,MONTU BECCARIA,"Via Circonvallo, 27040, Montù Beccaria, Pavia","{'type': 'Point', 'coordinates': [9.31580226292461, 45.036746536427295]}","R-Montù Beccaria - via Circonvallo, PV",POINT
MORNICO LOSANA,MORNICO LOSANA,"Mornico Losana, PV","{'type': 'Point', 'coordinates': [9.207520000000045, 45.010020000000054]}","MORNICO LOSANA, PV",POINT
MORTARA,MORTARA,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
C-Nicorvo - Via Roma - PO0181039UIM01,NICORVO,"Via Roma 1, 27020, Nicorvo, Pavia","{'type': 'Point', 'coordinates': [8.667376292255769, 45.286222054677125]}","C-Nicorvo - Via Roma - PO0181039UIM01, PV",POINT
C-Olevano di Lomellina - Strada per Zeme via,OLEVANO DI LOMELLINA,"Olevano di Lomellina, PV","{'type': 'Point', 'coordinates': [8.716510000000028, 45.212420000000066]}","C-Olevano di Lomellina - Strada per Zeme via, PV",POINT
OLIVA GESSI,OLIVA GESSI,"Oliva Gessi, PV","{'type': 'Point', 'coordinates': [9.179640000000063, 45.00261000000006]}","OLIVA GESSI, PV",POINT
C-Ottobiano Via Matteotti - PO0181069UIM01,OTTOBIANO,"Via Giacomo Matteotti 1, 27030, Ottobiano, Pavia","{'type': 'Point', 'coordinates': [8.831142078683147, 45.15233167415895]}","C-Ottobiano Via Matteotti - PO0181069UIM01, PV",POINT
PALESTRO,PALESTRO,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
Routine + THM : Palestro - Municipio,PALESTRO,"Palestro, PV","{'type': 'Point', 'coordinates': [8.529700000000048, 45.30227000000008]}","Routine + THM : Palestro - Municipio, PV",POINT
Verifica : PO0181079UIM01 - Palestro Via Piave-,PALESTRO,"Via Piave, 27030, Palestro, Pavia","{'type': 'Point', 'coordinates': [8.534710613498248, 45.302706819581736]}","Verifica : PO0181079UIM01 - Palestro Via Piave-, PV",POINT
PANCARANA,PANCARANA,"Pancarana, PV","{'type': 'Point', 'coordinates': [9.051600000000064, 45.07531000000006]}","PANCARANA, PV",POINT
PARONA,PARONA,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
Verifica : PO0181099UIM02 - Parona Viale,PARONA,"Parona, PV","{'type': 'Point', 'coordinates': [8.749410000000069, 45.282260000000065]}","Verifica : PO0181099UIM02 - Parona Viale, PV",POINT
C-Pavia Fraz. Villalunga via Villalunga,PAVIA,"Via Villalunga, 27012, Certosa di Pavia, Pavia","{'type': 'Point', 'coordinates': [9.12556281257108, 45.22992968136806]}","C-Pavia Fraz. Villalunga via Villalunga, PV",POINT
"C-Pavia v.le Lodi, 67 PO0181109UIM02",PAVIA,"Viale Lodi 67, 27100, Pavia","{'type': 'Point', 'coordinates': [9.187840279430663, 45.18956279492047]}","C-Pavia v.le Lodi, 67 PO0181109UIM02, PV",POINT
C-Pavia via Campeggi (strada Casino),PAVIA,"Strada Casino, 27100, Pavia","{'type': 'Point', 'coordinates': [9.140259780107176, 45.21642402656347]}","C-Pavia via Campeggi (strada Casino), PV",POINT
C-Pavia via Mirabello PO0181109UIM06,PAVIA,"Via Mirabello 6, 27100, Pavia","{'type': 'Point', 'coordinates': [9.163796277107904, 45.21280373682882]}","C-Pavia via Mirabello PO0181109UIM06, PV",POINT
