alias_city,alias_address,georeferencingString,type
MONTU BECCARIA,R-Montù Beccaria,"R-Montù Beccaria, PV",POINT
MONTU BECCARIA,R-Montù Beccaria - via Circonvallo,"R-Montù Beccaria - via Circonvallo, PV",POINT
MORNICO LOSANA,MORNICO LOSANA,"MORNICO LOSANA, PV",POINT
MORTARA,,", PV",POINT
NICORVO,C-Nicorvo - Via Roma - PO0181039UIM01,"C-Nicorvo - Via Roma - PO0181039UIM01, PV",POINT
OLEVANO DI LOMELLINA,C-Olevano di Lomellina - Strada per Zeme via,"C-Olevano di Lomellina - Strada per Zeme via, PV",POINT
OLIVA GESSI,OLIVA GESSI,"OLIVA GESSI, PV",POINT
OTTOBIANO,C-Ottobiano Via Matteotti - PO0181069UIM01,"C-Ottobiano Via Matteotti - PO0181069UIM01, PV",POINT
PALESTRO,,", PV",POINT
PALESTRO,Routine + THM : Palestro - Municipio,"Routine + THM : Palestro - Municipio, PV",POINT
PALESTRO,Verifica : PO0181079UIM01 - Palestro Via Piave-,"Verifica : PO0181079UIM01 - Palestro Via Piave-, PV",POINT
PANCARANA,PANCARANA,"PANCARANA, PV",POINT
PARONA,,", PV",POINT
PARONA,Verifica : PO0181099UIM02 - Parona Viale,"Verifica : PO0181099UIM02 - Parona Viale, PV",POINT
PAVIA,C-Pavia Fraz. Villalunga via Villalunga,"C-Pavia Fraz. Villalunga via Villalunga, PV",POINT
PAVIA,"C-Pavia v.le Lodi, 67 PO0181109UIM02","C-Pavia v.le Lodi, 67 PO0181109UIM02, PV",POINT
PAVIA,C-Pavia via Campeggi (strada Casino),"C-Pavia via Campeggi (strada Casino), PV",POINT
PAVIA,C-Pavia via Mirabello PO0181109UIM06,"C-Pavia via Mirabello PO0181109UIM06, PV",POINT
PAVIA,C-Pavia via Montebello della Battaglia,"C-Pavia via Montebello della Battaglia, PV",POINT
PAVIA,C-Pavia via dei Mille PO0181109UIM09,"C-Pavia via dei Mille PO0181109UIM09, PV",POINT
PIETRA DE’ GIORGI,PIETRA DE’ GIORGI,"PIETRA DE’ GIORGI, PV",POINT
PIEVE ALBIGNOLA,PIEVE ALBIGNOLA,"PIEVE ALBIGNOLA, PV",POINT
PIEVE DEL CAIRO,PIEVE DEL CAIRO,"PIEVE DEL CAIRO, PV",POINT
PIEVE PORTO MORONE,PIEVE PORTO MORONE,"PIEVE PORTO MORONE, PV",POINT
PINAROLO PO,,", PV",POINT
PIZZALE,PIZZALE,"PIZZALE, PV",POINT
PONTENIZZA,PONTENIZZA,"PONTENIZZA, PV",POINT
PORTALBERA,PORTALBERA,"PORTALBERA, PV",POINT
REA,REA,"REA, PV",POINT
REDAVALLE,C-Redavalle,"C-Redavalle, PV",POINT
RETORBIDO,RETORBIDO,"RETORBIDO, PV",POINT
RIVANAZZANO TERME,RIVANAZZANO TERME,"RIVANAZZANO TERME, PV",POINT
ROBBIO,,", PV",POINT
ROBBIO,Routine + THM : PO0181239UIM04 - Robbio Via,"Routine + THM : PO0181239UIM04 - Robbio Via, PV",POINT
ROBBIO,Routine + THM : Robbio - Municipio,"Routine + THM : Robbio - Municipio, PV",POINT
ROBBIO,Routine + THM : Robbio via Dentici - Uscita,"Routine + THM : Robbio via Dentici - Uscita, PV",POINT
ROBECCO PAVESE,ROBECCO PAVESE,"ROBECCO PAVESE, PV",POINT
ROCCA DE’ GIORGI,ROCCA DE’ GIORGI,"ROCCA DE’ GIORGI, PV",POINT
ROCCA SUSELLA,ROCCA SUSELLA,"ROCCA SUSELLA, PV",POINT
ROGNANO,ROGNANO,"ROGNANO, PV",POINT
RONCARO,C-Cura Carpignano,"C-Cura Carpignano, PV",POINT
ROSASCO,C-Rosasco - Via Marconi - PO0181309UIM01,"C-Rosasco - Via Marconi - PO0181309UIM01, PV",POINT
ROVESCALA,R-Rovescala Via Castello,"R-Rovescala Via Castello, PV",POINT
ROVESCALA,"R-Rovescala Via Roma, 50 - RE0181319U0011","R-Rovescala Via Roma, 50 - RE0181319U0011, PV",POINT
RUINO,RUINO,"RUINO, PV",POINT
SAN CIPRIANO PO,SAN CIPRIANO PO,"SAN CIPRIANO PO, PV",POINT
SAN DAMIANO AL COLLE,R-San Damiano al Colle,"R-San Damiano al Colle, PV",POINT
SAN GENESIO ED UNITI,C-San Genesio ed Uniti,"C-San Genesio ed Uniti, PV",POINT
SAN GIORGIO DI LOMELLINA,SAN GIORGIO DI LOMELLINA,"SAN GIORGIO DI LOMELLINA, PV",POINT
SAN MARTINO SICCOMARIO,C-San Martino Siccomario,"C-San Martino Siccomario, PV",POINT
SAN ZENONE AL PO,SAN ZENONE AL PO,"SAN ZENONE AL PO, PV",POINT
SANNAZZARO DE’ BURGONDI,SANNAZZARO DE’ BURGONDI,"SANNAZZARO DE’ BURGONDI, PV",POINT
SANTA CRISTINA E BISSONE,SANTA CRISTINA E BISSONE,"SANTA CRISTINA E BISSONE, PV",POINT
SANTA GIULETTA,,", PV",POINT
SANTA GIULETTA,C-Santa Giuletta,"C-Santa Giuletta, PV",POINT
SANTA MARGHERITA DI STAFFORA,SANTA MARGHERITA DI STAFFORA,"SANTA MARGHERITA DI STAFFORA, PV",POINT
SANTA MARIA DELLA VERSA,SANTA MARIA DELLA VERSA,"SANTA MARIA DELLA VERSA, PV",POINT
SANT’ALESSIO CON VIALONE,C-Sant'Alessio con Vialone,"C-Sant'Alessio con Vialone, PV",POINT
SANT’ANGELO LOMELLINA,C-Sant'Angelo Lomellina- V.lo Prati -,"C-Sant'Angelo Lomellina- V.lo Prati -, PV",POINT
SARTIRANA LOMELLINA,SARTIRANA LOMELLINA,"SARTIRANA LOMELLINA, PV",POINT
SCALDASOLE,SCALDASOLE,"SCALDASOLE, PV",POINT
SEMIANA,SEMIANA,"SEMIANA, PV",POINT
SILVANO PIETRA,SILVANO PIETRA,"SILVANO PIETRA, PV",POINT
SIZIANO,SIZIANO,"SIZIANO, PV",POINT
SOMMO,SOMMO,"SOMMO, PV",POINT
SPESSA,C-Spessa,"C-Spessa, PV",POINT
STRADELLA,STRADELLA,"STRADELLA, PV",POINT
SUARDI,SUARDI,"SUARDI, PV",POINT
