Data prelievo / Entnahme Datum ,Codice Comune / Gemeindekodex,Comune / Gemeinde,Codice acquedotto / Kodex TWL,Denominazione acquedotto / TWL Benennung,Codice punto di prel. / Kodex Entnahmepunkt,Punto di prelievo / Entnahmepunkt,Conduc. Elettr. Spec.µS/cm,pH,Durezza totale F°,Durezza totale °D,Alcalinità CO3 mg/L,Alcalinità HCO3 mg/L,Ossidabilità O2 mg/L,Ammonio NH4 mg/L,Nitriti NO2 mg/L,Fluoruri mg/L,Cloruri mg/L,Nitrati NO3 mg/L,Solfati mg/L,Sodiomg/L,Boro µg/L,Alluminio µg/L,Cromo µg/L,Selenio µg/L,Vanadio µg/L,Rame mg/L,Nichel µg/L,Zinco µg/L,Arsenico µg/L,Antimonio µg/L,Cadmioµg/L,Piomboµg/L,Uranio µg/L,Ferro µg/L,Manganese µg/L,Mercurio µg/L,Idrocarburi policiclici aromatici µg/L,Benzo(a)pirene µg/L,Benzene µg/L,"1,2-Dicloroetano µg/L",Tricloroetilene (Trielina)µg/L,Tetracloroetileneµg/L,Trialometani µg/L,Cloroformioµg/L,Bromoformioµg/L,Dibromoclorometanoµg/L,Bromodiclorometanoµg/L
16/04/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0005,Frangarto / Frangart,E03,"Fontana pubblica vicino Brennerhof, Frangarto / Öffentlicher Brunnen neben Brennerhof, Frangart",695,7.5,46,25.76,0,272,< 0.5,< 0.02,< 0.01,0.2,6,10,190,7,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,47,2,< 0.5,< 0.5,< 1,5.8,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
16/08/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0005,Frangarto / Frangart,E03,"Fontana pubblica vicino Brennerhof, Frangarto / Öffentlicher Brunnen neben Brennerhof, Frangart",714,7.4,38,21.28,0,278,,< 0.02,< 0.01,< 0.05,7,10,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/05/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0005,Frangarto / Frangart,E03,"Fontana pubblica vicino Brennerhof, Frangarto / Öffentlicher Brunnen neben Brennerhof, Frangart",334,8,18,10.080000000000002,0,226,< 0.5,< 0.02,< 0.01,0.07,< 1,2,10,< 1,< 0.1,9,< 1,< 1,1,< 0.1,< 1,6,< 1,< 0.5,< 0.5,< 1,1.9,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
13/11/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0004,Missiano / Missian,E01,Fontana pubblica vicino Despar / Öffentlicher Brunnen neben Despar,506,7.6,30,16.8,0,307,< 0.5,< 0.02,< 0.01,0.12,8,4,43,8,< 0.1,5,< 1,< 1,< 1,< 0.1,< 1,1,< 1,< 0.5,< 0.5,< 1,1.9,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
16/08/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0004,Missiano / Missian,E01,Fontana pubblica vicino Despar / Öffentlicher Brunnen neben Despar,402,7.8,27,15.120000000000001,0,275,,< 0.02,< 0.01,0.3,6,2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0008,Predonico / Perdonig,E04,Fontana pubblica vicino chiesa  /  Öffentl. Brunnen neben Kirche,291,8,22,12.32,0,212,0.8,< 0.02,< 0.01,0.08,< 1,5,3,< 1,< 0.1,4,< 1,< 1,4,< 0.1,< 1,5,< 1,< 0.5,< 0.5,< 1,1.5,< 10,< 2,< 0.2,,,,,,,,,,,
23/10/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0008,Predonico / Perdonig,E04,Fontana pubblica vicino chiesa  /  Öffentl. Brunnen neben Kirche,310,8.1,19,10.64,0,227,,< 0.02,< 0.01,0.08,< 1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0003,San Paolo / St. Pauls,E04,Fontana pubblica vicino parcheggio/Öffentl. Brunnen neben Parkplatz,918,7.5,58,32.480000000000004,0,367,0.6,< 0.02,< 0.01,0.19,13,10,270,10,< 0.1,< 4,< 1,< 1,1,< 0.1,< 1,6,< 1,< 0.5,< 0.5,< 1,2.3,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
20/06/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0001,San Michele / St. Michael,E13,Ristorante Turmbach / Restaurant Turmbach,347,7.9,21,11.760000000000002,0,232,< 0.5,< 0.02,< 0.01,0.1,< 1,2,16,< 1,< 0.1,< 4,< 1,< 1,1,< 0.1,< 1,7,< 1,< 0.5,< 0.5,< 1,1.7,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
30/08/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0001,San Michele / St. Michael,E17,Öff. Brunnen Platzl  Weg,486,7.8,30,16.8,0,248,,< 0.02,< 0.01,0.09,1,3,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0007,Monticolo / Montiggl,E05,Öffentl. Brunnen neben FF Montiggl / Öffentl. Brunnen neben FF Montiggl,319,8.1,18,10.080000000000002,0,215,,< 0.02,< 0.01,< 0.05,1,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2018,5.0,AVELENGO/HAFLING,T0001,Avelengo orogr. dx / Hafling or. rechts,E06,GH Sonnenheim / GH Sonnenheim,97,7.5,14,7.840000000000001,0,157,< 0.5,< 0.02,< 0.01,< 0.05,< 1,2,7,< 1,< 0.1,5,< 1,< 1,< 1,< 0.1,< 1,10,< 1,< 0.5,< 0.5,< 1,0.5,< 10,< 2,< 0.2,,,,,,,,,,,
18/12/2018,5.0,AVELENGO/HAFLING,T0001,Avelengo orogr. dx / Hafling or. rechts,E06,GH Sonnenheim / GH Sonnenheim,29,7.6,1,0.56,0,19,< 0.5,< 0.02,< 0.01,< 0.05,< 1,2,2,< 1,< 0.1,5,< 1,< 1,< 1,< 0.1,< 1,1,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,,,,,,,,,,,
13/03/2018,5.0,AVELENGO/HAFLING,T0002,Avelengo orogr. sx / Hafling or. links,E06,Gasthof Brunnerhof / Gasthof Brunnerhof,177,7.7,10,5.6000000000000005,0,113,,< 0.02,< 0.01,< 0.05,< 1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/10/2018,5.0,AVELENGO/HAFLING,T0002,Avelengo orogr. sx / Hafling or. links,E06,Gasthof Brunnerhof / Gasthof Brunnerhof,145,7.6,7,3.9200000000000004,0,98,,< 0.02,< 0.01,0.05,< 1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
