alias_address,alias_city,georeferencingString,geocode,geometry
VIA JALMICCO,UDINE,UDINE VIA JALMICCO,"Via Udine, Palmanova, UTI Agro Aquileiese, Friuli Venezia Giulia, 33057, Italia","{'type': 'Point', 'coordinates': [13.3449173, 45.9131568]}"
VIA JOLE DE CILLIA,UDINE,UDINE VIA JOLE DE CILLIA,"Via Jole De Cillia, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2594951, 46.0786834]}"
VIA KENNEDY,UDINE,UDINE VIA KENNEDY,,
VIA L. DA VINCI,UDINE,UDINE VIA L. DA VINCI,,
VIA L. PADOLIN,UDINE,UDINE VIA L. PADOLIN,,
VIA L. PRADOLIN,UDINE,UDINE VIA L. PRADOLIN,"Via Luciano Pradolin, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2587921, 46.0785521]}"
VIA LA SPEZIA,UDINE,UDINE VIA LA SPEZIA,"Via La Spezia, San Bernardo, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.255596, 46.1001751]}"
VIA LAIPACCO,UDINE,UDINE VIA LAIPACCO,"Via Laipacco, Quartiere Riccardo di Giusto, Baldasseria Alta, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2675696, 46.0591774]}"
VIA LARGA,UDINE,UDINE VIA LARGA,"Via Larga, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2437856, 46.0603584]}"
VIA LARGO GOLDONI,UDINE,UDINE VIA LARGO GOLDONI,"Largo Goldoni, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2474957, 46.0605845]}"
VIA LATINA,UDINE,UDINE VIA LATINA,"Via Latina, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2066137, 46.0661991]}"
VIA LATISANA,UDINE,UDINE VIA LATISANA,"Via Latisana, Borgo di San Lazzaro, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2291808, 46.0741443]}"
VIA LAUACCO,UDINE,UDINE VIA LAUACCO,,
VIA LAUZACCO,UDINE,UDINE VIA LAUZACCO,"Via Lauzacco, Baldasseria Bassa, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2565243, 46.0428101]}"
VIA LAVARIANO,UDINE,UDINE VIA LAVARIANO,"Via Lavariano, Baldasseria Bassa, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2540713, 46.041834]}"
VIA LEA D' ORLANDI,UDINE,UDINE VIA LEA D' ORLANDI,,
VIA LECCO,UDINE,UDINE VIA LECCO,"Via Lecco, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2090391, 46.0852761]}"
VIA LEGNAGO,UDINE,UDINE VIA LEGNAGO,"Via Legnago, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2607093, 46.020583]}"
VIA LEMENE,UDINE,UDINE VIA LEMENE,"Via Lemene, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2502526, 46.0748683]}"
VIA LEONACCO,UDINE,UDINE VIA LEONACCO,"Via Leonacco, Chiavris, Borgonuovo I, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2236384, 46.0894787]}"
VIA LEONARDO ANDERVOLTI,UDINE,UDINE VIA LEONARDO ANDERVOLTI,"Via Leonardo Andervolti, Borgo Grazzano, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2303399, 46.0585673]}"
VIA LEONARDO BUFALINI,UDINE,UDINE VIA LEONARDO BUFALINI,"Via Leonardo Bufalini, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2439449, 46.0742534]}"
VIA LEONARDO DA VINCI,UDINE,UDINE VIA LEONARDO DA VINCI,"Viale Leonardo da Vinci, Borgo Villalta, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.215541, 46.0719149]}"
VIA LESTIZZA,UDINE,UDINE VIA LESTIZZA,"Via Lestizza, Borgo Grazzano, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2266159, 46.0495058]}"
VIA LIBIA,UDINE,UDINE VIA LIBIA,"Piazza Libia, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2128833, 46.0702832]}"
VIA LICURGO ZANNINI,UDINE,UDINE VIA LICURGO ZANNINI,"Via Licurgo Zannini, Cormôr Basso, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2098063, 46.0496607]}"
VIA LIGURGO ZANNINI,UDINE,UDINE VIA LIGURGO ZANNINI,,
VIA LIGURIA,UDINE,UDINE VIA LIGURIA,"Via Liguria, San Bernardo, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.2717249, 46.1104936]}"
VIA LIRUTI,UDINE,UDINE VIA LIRUTI,"Via Liruti, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2381283, 46.0674294]}"
VIA LIRUTTI,UDINE,UDINE VIA LIRUTTI,,
VIA LIVENZA,UDINE,UDINE VIA LIVENZA,"Via Livenza, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2505797, 46.0721603]}"
VIA LODI,UDINE,UDINE VIA LODI,"Via Lodi, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2043556, 46.0758851]}"
VIA LODOVICO UCCELLIS,UDINE,UDINE VIA LODOVICO UCCELLIS,"Via Lodovico Uccellis, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2375641, 46.0705747]}"
VIA LOMBARDIA,UDINE,UDINE VIA LOMBARDIA,"Via Lombardia, Borgo Villalta, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2093626, 46.0737047]}"
VIA LONGARONE,UDINE,UDINE VIA LONGARONE,"Via Longarone, Baldasseria Bassa, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2507423, 46.0369556]}"
VIA LONZANO,UDINE,UDINE VIA LONZANO,"Via Lonzano, Quartiere Riccardo di Giusto, La Buse dai Veris, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2734848, 46.0575754]}"
VIA LOVARIA,UDINE,UDINE VIA LOVARIA,"Via Lovaria, Borgo Aquileia, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2383754, 46.0631416]}"
VIA L.P. TESSITORI,UDINE,UDINE VIA L.P. TESSITORI,,
VIA L.PRADOLIN,UDINE,UDINE VIA L.PRADOLIN,"Via Luciano Pradolin, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2587921, 46.0785521]}"
VIA LUCA CARLEVARIS,UDINE,UDINE VIA LUCA CARLEVARIS,"Via Luca Carlevaris, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2481661, 46.0526254]}"
VIA LUCIANO PRADOLIN,UDINE,UDINE VIA LUCIANO PRADOLIN,"Via Luciano Pradolin, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2587921, 46.0785521]}"
VIA LUCIO MUZZATI,UDINE,UDINE VIA LUCIO MUZZATI,"Via Lucio Muzzati, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2407622, 46.0720882]}"
VIA LUIGI COLUSSI,UDINE,UDINE VIA LUIGI COLUSSI,"Via Luigi Colussi, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2433542, 46.0735508]}"
VIA LUIGI E MICHELE GORTANI,UDINE,UDINE VIA LUIGI E MICHELE GORTANI,"Via Luigi e Michele Gortani, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2543933, 46.0267693]}"
VIA LUIGI GABELLI,UDINE,UDINE VIA LUIGI GABELLI,"Via Luigi Gabelli, Borgo Poscolle, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.214591, 46.0542915]}"
VIA LUIGI GALVANI,UDINE,UDINE VIA LUIGI GALVANI,"Via Luigi Galvani, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2178338, 46.0697229]}"
VIA LUIGI MAGRINI,UDINE,UDINE VIA LUIGI MAGRINI,"Via Luigi Magrini, Borgo Poscolle, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2294018, 46.0635936]}"
VIA LUIGI PIO TESSITORI,UDINE,UDINE VIA LUIGI PIO TESSITORI,"Via Luigi Pio Tessitori, Borgo Poscolle, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2210561, 46.0562572]}"
VIA LUIGI SBAIZ,UDINE,UDINE VIA LUIGI SBAIZ,"Via Luigi Sbaiz, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2611354, 46.0769033]}"
VIA LUIGI SPEZZOTTI,UDINE,UDINE VIA LUIGI SPEZZOTTI,"Via Luigi Spezzotti, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2582093, 46.0259992]}"
VIA LUIGI TAMI,UDINE,UDINE VIA LUIGI TAMI,"Via Luigi Tami, Quartiere Riccardo di Giusto, San Gottardo, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.268944, 46.0799931]}"
VIA LUIGI VISINTIN,UDINE,UDINE VIA LUIGI VISINTIN,"Via Luigi Visintin, Borgo di San Lazzaro, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.221646, 46.0820489]}"
VIA LUINO,UDINE,UDINE VIA LUINO,"Via Luino, Tavagnacco, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2083841, 46.086711]}"
VIA LUMIGNACCO,UDINE,UDINE VIA LUMIGNACCO,"Via Lumignacco, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2392524, 46.0236201]}"
VIA M  C  DI ROSA,UDINE,UDINE VIA M  C  DI ROSA,,
VIA M. ORIGARA,UDINE,UDINE VIA M. ORIGARA,,
VIA M TE ROMBON,UDINE,UDINE VIA M TE ROMBON,"Via Monte Rombon, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.238195, 46.0764048]}"
VIA M TE S MARCO,UDINE,UDINE VIA M TE S MARCO,"San Marco, Via Tarcento, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.235257570409015, 46.076642050000004]}"
VIA MAGENTA,UDINE,UDINE VIA MAGENTA,"Via Magenta, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2398123, 46.0533782]}"
VIA MAGENTA 1 SCALA,UDINE,UDINE VIA MAGENTA 1 SCALA,,
VIA MAJANO,UDINE,UDINE VIA MAJANO,"Via Majano, Chiavris, Borgonuovo I, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2252538, 46.0883537]}"
VIA MALBORGHETTO,UDINE,UDINE VIA MALBORGHETTO,"Via Malborghetto, Borgo Villalta, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2238844, 46.069519]}"
VIA MANIAGO,UDINE,UDINE VIA MANIAGO,"Via Maniago, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2331843, 46.0736795]}"
VIA MANLIO FERUGLIO,UDINE,UDINE VIA MANLIO FERUGLIO,"Via Manlio Feruglio, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.247508, 46.0491169]}"
VIA MANTOVA,UDINE,UDINE VIA MANTOVA,"Via Mantova, Borgo di San Lazzaro, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.215044, 46.0758833]}"
VIA MANZANO,UDINE,UDINE VIA MANZANO,"Via Manzano, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.2661438, 46.0119141]}"
VIA MANZONI 5/A SCALA,UDINE,UDINE VIA MANZONI 5/A SCALA,,
VIA MARANO LAGUNARE,UDINE,UDINE VIA MARANO LAGUNARE,"Via Marano Lagunare, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2425745, 46.0543725]}"
VIA MARC' ANTONIO FIDUCIO,UDINE,UDINE VIA MARC' ANTONIO FIDUCIO,,
VIA MARCO D' AVIANO,UDINE,UDINE VIA MARCO D' AVIANO,,
VIA MARCO VOLPE,UDINE,UDINE VIA MARCO VOLPE,"Via Marco Volpe, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2266347, 46.0656871]}"
"VIA MARCO VOLPE, 19",UDINE,"UDINE VIA MARCO VOLPE, 19","19, Via Marco Volpe, Borgo Poscolle, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2289541, 46.0625931]}"
VIA MARGHERA,UDINE,UDINE VIA MARGHERA,"Via Marghera, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2483907, 46.0616908]}"
VIA MARGRETH,UDINE,UDINE VIA MARGRETH,"Via monsignor Pasquale Margreth, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2338765, 46.0580098]}"
VIA MARGRETH MONS PASQUALE,UDINE,UDINE VIA MARGRETH MONS PASQUALE,,
VIA MARIANO DEL FRIULI,UDINE,UDINE VIA MARIANO DEL FRIULI,"Via Mariano del Friuli, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.251754, 46.05472]}"
VIA MARIO E RICCARDO LUZZATTO,UDINE,UDINE VIA MARIO E RICCARDO LUZZATTO,"Via Mario e Riccardo Luzzatto, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.218206, 46.0625822]}"
VIA MARIO FOSCHIANI,UDINE,UDINE VIA MARIO FOSCHIANI,"Via Mario Foschiani, Quartiere Riccardo di Giusto, San Gottardo, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.269159, 46.0810661]}"
VIA MARIO LIZZERO,UDINE,UDINE VIA MARIO LIZZERO,"Via Mario Lizzero, Quartiere Riccardo di Giusto, San Gottardo, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.272957965645162, 46.07693985]}"
VIA MARIO MICOSSI,UDINE,UDINE VIA MARIO MICOSSI,"Via Mario Micossi, Cormôr Basso, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2019071, 46.0573469]}"
VIA MARIO MIGLIORANZA,UDINE,UDINE VIA MARIO MIGLIORANZA,"Via Mario Miglioranza, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2621735, 46.0779897]}"
VIA MARIO MODOTTI,UDINE,UDINE VIA MARIO MODOTTI,"Via Mario Modotti, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2620253, 46.0803234]}"
VIA MARQUARDO,UDINE,UDINE VIA MARQUARDO,"Via Marquardo, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2129844, 46.0499789]}"
VIA MARSALA,UDINE,UDINE VIA MARSALA,"Via Marsala, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2401725, 46.0489383]}"
VIA MARTIGNACCO,UDINE,UDINE VIA MARTIGNACCO,"Udine-Via Martignacco, Tangenziale Ovest, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.1972473, 46.0719913]}"
VIA MARZUTTINI,UDINE,UDINE VIA MARZUTTINI,"Viale Tita Marzuttini, Borgo Villalta, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.210901, 46.0600714]}"
VIA MASSAUA,UDINE,UDINE VIA MASSAUA,"Via Massaua, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2135716, 46.0693715]}"
VIA MASSIMO D' AZEGLIO,UDINE,UDINE VIA MASSIMO D' AZEGLIO,,
VIA MASSIMO MISANI,UDINE,UDINE VIA MASSIMO MISANI,"Via Massimo Misani, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2052357, 46.0720249]}"
VIA MEDEA,UDINE,UDINE VIA MEDEA,"Via Medea, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2400059, 46.0811874]}"
VIA MELEGNANO,UDINE,UDINE VIA MELEGNANO,"Via Melegnano, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2472239, 46.0524877]}"
VIA MENTANA,UDINE,UDINE VIA MENTANA,"Via Mentana, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2236551, 46.0619535]}"
VIA MERCATOVECCHIO,UDINE,UDINE VIA MERCATOVECCHIO,"Via Mercatovecchio, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2343952, 46.063983]}"
"VIA MERCATOVECCHIO, 28",UDINE,"UDINE VIA MERCATOVECCHIO, 28","Beauty Star, 28, Via Mercatovecchio, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2339522, 46.0645337]}"
VIA MERCERIE,UDINE,UDINE VIA MERCERIE,"Via Mercerie, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2343583, 46.0632755]}"
VIA MERSO,UDINE,UDINE VIA MERSO,"Via Merso, Quartiere Riccardo di Giusto, San Gottardo, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2793631, 46.0741405]}"
VIA MESTRE,UDINE,UDINE VIA MESTRE,"Via Mestre, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2532822, 46.0352039]}"
VIA MICESIO - RES. AI FAGGI,UDINE,UDINE VIA MICESIO - RES. AI FAGGI,,
VIA MILANO,UDINE,UDINE VIA MILANO,"Via Milano, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2076678, 46.0849929]}"
VIA MILAZZO,UDINE,UDINE VIA MILAZZO,"Via Milazzo, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2375366, 46.0539072]}"
VIA MILOCCA,UDINE,UDINE VIA MILOCCA,"Via Milocca, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.259947, 46.0284991]}"
VIA MIRKO BASALDELLA,UDINE,UDINE VIA MIRKO BASALDELLA,"Via Mirko Basaldella, Pavia di Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33050, Italia","{'type': 'Point', 'coordinates': [13.282517, 45.9751703]}"
VIA MODENA,UDINE,UDINE VIA MODENA,"Via Modena, Beivars, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2709317, 46.0904849]}"
VIA MODICA,UDINE,UDINE VIA MODICA,"Via Modica, Borgo Grazzano, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2282583, 46.0484945]}"
VIA MOGADISCIO,UDINE,UDINE VIA MOGADISCIO,,
VIA MOGGIO,UDINE,UDINE VIA MOGGIO,"Via Moggio, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2326271, 46.0747472]}"
VIA MOIMACCO,UDINE,UDINE VIA MOIMACCO,"Via Moimacco, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2270597, 46.0830377]}"
VIA MOLIN NASCOSTO,UDINE,UDINE VIA MOLIN NASCOSTO,"Via Molin Nascosto, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2341067, 46.0657718]}"
VIA MOLIN NUOVO,UDINE,UDINE VIA MOLIN NUOVO,"Via Molin Nuovo, Chiavris, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2391373, 46.0963735]}"
VIA MOLINI,UDINE,UDINE VIA MOLINI,"Via dei Molini, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2616175, 46.0209074]}"
VIA MONDOVI,UDINE,UDINE VIA MONDOVI,"Via Mondovì, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2339971, 46.085526]}"
VIA MONDOVI',UDINE,UDINE VIA MONDOVI',"Via Mondovì, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2339971, 46.085526]}"
VIA MONFALCONE,UDINE,UDINE VIA MONFALCONE,"Via Monfalcone, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2524528, 46.0555132]}"
VIA MONROPINO,UDINE,UDINE VIA MONROPINO,,
VIA MONRUPINO,UDINE,UDINE VIA MONRUPINO,"Via Monrupino, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2466718, 46.0667358]}"
VIA MONS. P. MARGARETH,UDINE,UDINE VIA MONS. P. MARGARETH,,
VIA MONSIGNORE CORRADO PERONIO,UDINE,UDINE VIA MONSIGNORE CORRADO PERONIO,,
VIA MONSIGNORE LUIGI FAIDUTTI,UDINE,UDINE VIA MONSIGNORE LUIGI FAIDUTTI,,
VIA MONSIGNORE PASQUALE MARGRETH,UDINE,UDINE VIA MONSIGNORE PASQUALE MARGRETH,,
VIA MONTANARA,UDINE,UDINE VIA MONTANARA,"Via Montanara, Borgo Aquileia, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2533515, 46.0610841]}"
VIA MONTE AMARIANA,UDINE,UDINE VIA MONTE AMARIANA,"Via Monte Amariana, Chiavris, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.244266, 46.0797731]}"
