alias_address,alias_city,geocode,geometry,georeferencingString
VIA ALPINI,AURONZO DI CADORE,"Croda degli Alpini, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2970673, 46.6176914]}",AURONZO DI CADORE VIA ALPINI
VIA AMBATA,AURONZO DI CADORE,"Via Ambata, Reane, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4207302, 46.5621504]}",AURONZO DI CADORE VIA AMBATA
VIA ANSIEI,AURONZO DI CADORE,"Ansiei, Auronzo di Cadore, Belluno, Veneto, 32041, Italia","{'type': 'Point', 'coordinates': [12.3511437, 46.5662297]}",AURONZO DI CADORE VIA ANSIEI
VIA ANTONIO BERTI,AURONZO DI CADORE,"Via Antonio Berti, Reane, Cima Gogna, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4334983, 46.5538214]}",AURONZO DI CADORE VIA ANTONIO BERTI
VIA CELLA,AURONZO DI CADORE,"Via Cella, Cima Gogna, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4608724, 46.5424794]}",AURONZO DI CADORE VIA CELLA
VIA CIASTEL,AURONZO DI CADORE,"Via Ciastel, Reane, Cima Gogna, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4342922, 46.5531353]}",AURONZO DI CADORE VIA CIASTEL
VIA CIMA GOGNA,AURONZO DI CADORE,"Cima Gogna, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4626993, 46.5132165]}",AURONZO DI CADORE VIA CIMA GOGNA
VIA CORTE,AURONZO DI CADORE,"Via Corte, Cima Gogna, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4407798, 46.5523463]}",AURONZO DI CADORE VIA CORTE
VIA DANTE,AURONZO DI CADORE,"Via Dante Alighieri, Cima Gogna, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4399975, 46.5527412]}",AURONZO DI CADORE VIA DANTE
VIA DE FILIPPO,AURONZO DI CADORE,"Via De Filippo, Cima Gogna, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.453825, 46.5473445]}",AURONZO DI CADORE VIA DE FILIPPO
VIA DELLA GROTTA,AURONZO DI CADORE,"Via della Grotta, Cima Gogna, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4559872, 46.5464193]}",AURONZO DI CADORE VIA DELLA GROTTA
VIA DELL'ANGELO,AURONZO DI CADORE,"Via dell'Angelo, Cima Gogna, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4624242, 46.5423583]}",AURONZO DI CADORE VIA DELL'ANGELO
LOCALITA' PONTE DOLOMITI,BELLUNO,"Ponte Dolomiti, Borgo Piave, Cavessago, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.2270211, 46.1343663]}",BELLUNO  PONTE DOLOMITI
PIAZZA CASTELLO,BELLUNO,"Piazza Castello, Lambioi, Cavessago, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.21591, 46.1382967]}",BELLUNO PIAZZA CASTELLO
PIAZZA DEI MARTIRI,BELLUNO,"Piazza dei Martiri, Lambioi, Cavessago, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.2151491, 46.139201]}",BELLUNO PIAZZA DEI MARTIRI
PIAZZA DUOMO,BELLUNO,"Piazza Duomo, Cies, Lamon, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7488666, 46.0471772]}",BELLUNO PIAZZA DUOMO
PIAZZA MERCATO,BELLUNO,"Piazza Mercato, Cesiominore, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9870217, 46.0884113]}",BELLUNO PIAZZA MERCATO
PIAZZA OLTRARDO,BELLUNO,"Piazza Oltrardo, Cavarzano, Vezzano, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.2105707, 46.148237]}",BELLUNO PIAZZA OLTRARDO
PIAZZA SAN GIOVANNI BOSCO,BELLUNO,"San Giovanni Bosco, Via Francesco Agosti, Borgo Prà, Cavessago, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.225500726844263, 46.14365885]}",BELLUNO PIAZZA SAN GIOVANNI BOSCO
PIAZZA SANTO STEFANO,BELLUNO,"Piazza Santo Stefano, Borgo Prà, Cavessago, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.2183966, 46.1408033]}",BELLUNO PIAZZA SANTO STEFANO
PIAZZALE C. BATTISTI,BELLUNO,"Via Cesare Battisti, Preabocco, Brentino Belluno, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.8731858, 45.6429776]}",BELLUNO PIAZZALE C. BATTISTI
PIAZZALE DELLA STAZIONE,BELLUNO,"Piazzale della Stazione, Lambioi, Vezzano, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.2107395, 46.1412043]}",BELLUNO PIAZZALE DELLA STAZIONE
PIAZZALE NEVEGAL,BELLUNO,"Piazzale Nevegal, Nevegal, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2826739, 46.0935117]}",BELLUNO PIAZZALE NEVEGAL
PIAZZALE RESISTENZA,BELLUNO,"Piazzale Resistenza, Cima i Pra, Rione Santa Caterina, Ponte nelle Alpi, Belluno, Veneto, 32014, Italia","{'type': 'Point', 'coordinates': [12.2826686, 46.1802794]}",BELLUNO PIAZZALE RESISTENZA
PIAZZALE STAZIONE,BELLUNO,"Belluno, Sottopasso stazione ferroviaria, Lambioi, Vezzano, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.2097598, 46.1413929]}",BELLUNO PIAZZALE STAZIONE
PIAZZALE VITTIME DELLE FOIBE,BELLUNO,"Piazzale Vittime delle Foibe, Lambioi, Vezzano, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.2103202, 46.141089]}",BELLUNO PIAZZALE VITTIME DELLE FOIBE
VIA 10 MARZO 1945,BELLUNO,"Via 10 marzo 1945, Mussoi, Vezzano, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.1887717, 46.142765]}",BELLUNO VIA 10 MARZO 1945
VIA A. ALPAGO,BELLUNO,"Alpago, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.3548944, 46.1306681]}",BELLUNO VIA A. ALPAGO
VIA A. BETTIO,BELLUNO,"Via Antonio Bettio, Cusighe, Pedeserva, Belluno, Veneto, 32100, Italia","{'type': 'Point', 'coordinates': [12.2310686, 46.1505913]}",BELLUNO VIA A. BETTIO
