alias_address,alias_city,geocode,geometry,georeferencingString,type
VIA A. DE GASPERI,Trevenzuolo,"Via Alcide de Gasperi, Trevenzuolo, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.9341928, 45.267847]}","VIA ALCIDE DE GASPERI, Trevenzuolo, Verona, Veneto, Italia",POINT
CONTR VIAVERDE,Velo Veronese,"Velo Veronese, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [11.0956907, 45.6051497]}","Velo Veronese, Verona, Veneto, Italia",POINT
VIA ABBA GIUSEPPE CESARE,Verona,"Via Giuseppe Cesare Abba, Nord-Ovest, Verona, Veneto, 37126, Italia","{'type': 'Point', 'coordinates': [10.990398, 45.4461745]}","VIA GIUSEPPE CESARE  ABBA, Verona, Verona, Veneto, Italia",POINT
VIA A. MANZONI,Vigasio,"Vigasio, Verona, Veneto, 37068, Italia","{'type': 'Point', 'coordinates': [10.9421984, 45.3170303]}","Vigasio, Verona, Veneto, Italia",POINT
VIA A. APRILI,Villafranca,"Via Angela Aprili, Villafranca di Verona, Verona, Veneto, 37069, Italia","{'type': 'Point', 'coordinates': [10.84029, 45.35719]}","VIA Angela APRILI, Villafranca, Verona, Veneto, Italia",POINT
VIA 2 GIUGNO,Bussolengo,"Via Due Giugno, Porcella, Bussolengo, Verona, Veneto, 37012, Italia","{'type': 'Point', 'coordinates': [10.8703124, 45.4417431]}","VIA 2 GIUGNO, Bussolengo, Verona, Veneto, Italia",POINT
VIA A. CAMPETTI,Caldiero,"Via A. Campetti, Caldierino, Caldiero, Verona, Veneto, 37042, Italia","{'type': 'Point', 'coordinates': [11.1501268, 45.4100857]}","VIA A. CAMPETTI, Caldiero, Verona, Veneto, Italia",POINT
VIA ALBRIGI,Cerro Veronese,"Via Don Pietro Albrigi, Roboli, Cerro Veronese, Verona, Veneto, 37023, Italia","{'type': 'Point', 'coordinates': [11.0371697, 45.5650178]}","VIA ALBRIGI, Cerro Veronese, Verona, Veneto, Italia",POINT
VIA CAMPIONIVA,Erbezzo,"Via Campioniva, Resti, Erbezzo, Verona, Veneto, 37020, Italia","{'type': 'Point', 'coordinates': [11.0014975, 45.6374049]}","VIA CAMPIONIVA, Erbezzo, Verona, Veneto, Italia",POINT
VIA ALDO MORO,Erbè,"Via Aldo Moro, Erbè, Verona, Veneto, 37063, Italia","{'type': 'Point', 'coordinates': [10.9705392, 45.2443552]}","VIA ALDO MORO, Erbè, Verona, Veneto, Italia",POINT
VIA ALDO MORO,Fumane,"Via Aldo Moro, Gorgusello di Sotto, Fumane, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.9000397, 45.6224646]}","VIA ALDO MORO, Fumane, Verona, Veneto, Italia",POINT
VIA ANGIOLINA,Grezzana,"Via Angiolina, Alcenago, Grezzana, Verona, Veneto, 37023, Italia","{'type': 'Point', 'coordinates': [11.0017917, 45.5426534]}","VIA ANGIOLINA, Grezzana, Verona, Veneto, Italia",POINT
VIA AGNELLA,Marano di Valpolicella,"Via Agnella, Paverno, Marano di Valpolicella, Verona, Veneto, 37022, Italia","{'type': 'Point', 'coordinates': [10.9114515, 45.538172]}","VIA AGNELLA, Marano di Valpolicella, Verona, Veneto, Italia",POINT
VIA ADIGE,Montecchia di Crosara,"Via Adige, Pergola, Montecchia di Crosara, Verona, Veneto, 36053, Italia","{'type': 'Point', 'coordinates': [11.3053005, 45.451445]}","Montecchia di Crosara, Verona, Veneto, Italia",POINT
