Ammoniaca,Arsenico,Bicarbonati,Calcio,Cloro residuo,Cloruri,Conducibilità,Durezza,Fluoruri,Magnesio,Manganese,Nitrati,Nitriti,Potassio,Residuo fisso a 180&deg;C,Sodio,Solfati,alias_address,alias_city,data_report,pH
"<0,05",<1,152,29,0.1,<2,199,12,0.1,13,<5,4,"<0,02",<1,149,<1,<3,VIA ALDEGHERI,Selva di Progno,Periodo: 2° SEMESTRE 2019,8.2
"<0,05",<1,298,110,0.1,19,603,36,0.11,21,<5,31,"<0,02",1,453,9,39,VIA 25 APRILE,Soave,Periodo: 2° SEMESTRE 2019,7.6
"<0,05",<1,256,84,0.1,9,508,32,"<0,05",28,<5,25,"<0,02",2,381,6,35,VIA 1 MAGGIO,Sommacampagna,Periodo: 2° SEMESTRE 2019,7.5
"<0,05",<1,256,84,0.1,9,508,32,"<0,05",28,<5,25,"<0,02",2,381,6,35,VIA CROSARA,Sommacampagna,Periodo: 2° SEMESTRE 2019,7.5
"<0,05",2,292,76,"<0,1",8,513,31,0.13,28,<5,27,"<0,02",2,385,5,36,VIA 24 MAGGIO,Sona,Periodo: 2° SEMESTRE 2019,7.7
"<0,05",4,194,47,0.1,18,366,20,0.16,19,<5,<3,"<0,02",3,275,16,14,VIA A. VESPUCCI,Sorgà,Periodo: 2° SEMESTRE 2019,8.1
"<0,05",<1,282,73,0.1,22,511,31,"<0,05",30,<5,18,"<0,02",1,383,24,39,VIA BALDINI DESTRA,Terrazzo,Periodo: 2° SEMESTRE 2019,7.9
"<0,05",<1,146,28,"<0,1",<2,211,12,"<0,05",13,<5,4,"<0,02",<1,159,<1,<3,VIA ALBARE,Tregnago,Periodo: 2° SEMESTRE 2019,8.2
"<0,05",6,231,67,0.1,55,529,28,0.07,26,<5,<3,"<0,02",4,396,21,19,VIA A. DE GASPERI,Trevenzuolo,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",<1,196,72,0.1,6,389,23,0.05,13,<5,12,"<0,02",1,292,4,15,CONTR VIAVERDE,Velo Veronese,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",1,208,77,Assente,14,436,25,0.19,14,<5,16,"<0,02",2,327,9,33,VIA ABBA GIUSEPPE CESARE,Verona,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",1,208,77,Assente,14,436,25,0.19,14,<5,16,"<0,02",2,327,9,33,VIA CAPPELLO,Verona,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",1,208,77,Assente,14,436,25,0.19,14,<5,16,"<0,02",2,327,9,33,VIA GIARDINO GIUSTI,Verona,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",<1,241,78,Assente,8,405,25,0.07,14,<5,16,"<0,02",2,304,4,15,VIA MONTORIO,Verona,Periodo: 2° SEMESTRE 2019,7.9
"<0,05",<1,243,81,Assente,16,537,30,0.13,24,<5,28,"<0,02",2,403,11,32,VIA FRANCIA,Verona,Periodo: 2° SEMESTRE 2019,7.6
"<0,05",<1,243,81,Assente,16,537,30,0.13,24,<5,28,"<0,02",2,403,11,32,VIALE CARDINALE GIROLAMO,Verona,Periodo: 2° SEMESTRE 2019,7.6
"<0,05",1,250,90,Assente,15,540,31,0.05,21,<5,26,"<0,02",2,405,8,37,VIA DA VINCI LEONARDO,Verona,Periodo: 2° SEMESTRE 2019,7.5
"<0,05",<1,243,81,Assente,16,537,30,0.13,24,<5,28,"<0,02",2,403,11,32,VIA BELFIORE,Verona,Periodo: 2° SEMESTRE 2019,7.6
"<0,05",<1,243,81,Assente,16,537,30,0.13,24,<5,28,"<0,02",2,403,11,32,VIA GOLOSINE,Verona,Periodo: 2° SEMESTRE 2019,7.6
"<0,05",<1,241,78,Assente,8,405,25,0.07,14,<5,16,"<0,02",2,304,4,15,VIA DA QUINTO LEONARDO,Verona,Periodo: 2° SEMESTRE 2019,7.9
"<0,05",1,250,90,Assente,15,540,31,0.05,21,<5,26,"<0,02",2,405,8,37,VIA GARDESANE,Verona,Periodo: 2° SEMESTRE 2019,7.5
"<0,05",<1,257,74,0.2,21,536,29,0.12,27,<5,19,"<0,02",1,402,22,40,VIA 1 MAGGIO,Veronella,Periodo: 2° SEMESTRE 2019,7.6
"<0,05",<1,233,68,0.1,3,382,23,0.1,14,<5,4,"<0,02",<1,286,2,5,VIA ALBAROMATTO,Vestenanova,Periodo: 2° SEMESTRE 2019,8.1
"<0,05",2,236,63,0.1,12,471,27,0.08,28,<5,22,"<0,02",3,353,10,31,VIA A. MANZONI,Vigasio,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",1,307,92,0.1,16,580,35,0.12,30,<5,24,"<0,02",3,435,13,37,VIA A. APRILI,Villafranca,Periodo: 2° SEMESTRE 2019,7.6
"<0,05",1,238,64,"<0,1",9,440,26,0.12,25,<5,20,"<0,02",2,330,5,31,VIA ADIGE,Zevio,Periodo: 2° SEMESTRE 2019,7.9
"<0,05",<1,294,75,0.2,24,563,31,"<0,05",30,<5,19,"<0,02",1,422,20,43,VIA 25 APRILE,Zimella,Periodo: 2° SEMESTRE 2019,7.7
