alias_address,alias_city,type,georeferencingString
alzaia naviglio pavese,Milano,POINT,"Alzaia Naviglio Pavese, Parco dei Navigli, Cantalupa, Assago, Milano, Lombardia, 20142, Italia"
via muggiano,Milano,POINT,"Eni, Muggiano Ovest, Parco Agricolo Sud, Muggiano, Milano, Lombardia, 20094, Italia"
via sora,Milano,POINT,"Via Sora, Parco Bosco In Città, Trenno, Milano, Lombardia, 20153, Italia"
via ripamonti giuseppe,POINT,Milano,"Via Giuseppe Ripamonti, Ripamonti, Vigentino, Milano, Lombardia, 20141, Italia"
via martinazzoli antonio,POINT,Milano,"Via Antonio Martinazzoli, Bruzzano, Milano, Lombardia, 20161, Italia"
via achille,POINT,Milano,"Via Achille, San Siro, Lampugnano, Milano, Lombardia, 20148, Italia"
via manduria,POINT,Milano,"Via Manduria, Ronchetto delle Rane, Municipio 5, Ronchetto delle Rane, Milano, Lombardia, 20142, Italia"
via agordat,POINT,Milano,"Via Agordat, Padova, Cimiano, Milano, Lombardia, 20132, Italia"
via rizzoli angelo,POINT,Milano,"Via Angelo Rizzoli, Parco Lambro - Cimiano, Crescenzago, Milano, Lombardia, 20132, Italia"
via quintosole,POINT,Milano,"Via Quintosole, Quintosole, Municipio 5, Quintosole, Milano, Lombardia, 20141, Italia"
via san vittore,POINT,Milano,"Via San Vittore, San Vittore, Municipio 1, Milano, Lombardia, 20144, Italia"
via senofonte,POINT,Milano,"Via Senofonte, Tre Torri, Tre Torri-Fiera, Milano, Lombardia, 20145, Italia"
via stephenson giorgio,POINT,Milano,"Via Giorgio Stephenson, Maggiore - Musocco, Roserio, Milano, Lombardia, 20151, Italia"
via vaiano valle,POINT,Milano,"Via Vaiano Valle, Parco delle Abbazie, Municipio 5, Vaiano Valle, Milano, Lombardia, 20139, Italia"
via bardolino,POINT,Milano,"Via Bardolino, Parco dei Navigli, Ronchetto sul Naviglio, Milano, Lombardia, 20090, Italia"
via palach jan,POINT,Milano,"Via Jan Palach, Conca Fallata, Municipio 5, Milano, Lombardia, 20142, Italia"
