alias_address,alias_city,ammonio,arsenico,bicarbonato,calcio,cloro residuo,cloruri,conducibilità,data_report,durezza,fluoruri,magnesio,manganese,nitrati,nitriti,pH,potassio,residuo fisso 180°C,sodio,solfati
via parmigianino,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
piazzale carlo magno,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via montale,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via milly mignone carla,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via airaghi gaetano,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via cavaliere alberto,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via cilea francesco,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via vergiate,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
viale de gasperi,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via faravelli luigi giuseppe,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via canova antonio,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via albertini alfredo,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via calvino giovanni,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
largo zanuso marco,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via daimler gottlieb wilhelm,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via tonale,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via belgioioso cristina,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via campanella tommaso,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via don francesco b. della torre,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via lambruschini raffaele,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via calvino giovanni,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via ciaia ignazio,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via trevi,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via cascina dei prati,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via salvemini gaetano,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via morlotti ennio,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via comboni daniele,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via ferrari virgilio,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via de pretis agostino,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via galvani luigi,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via de chirico giorgio,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
piazza del duomo,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
vicolo ciovasso,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
corso venezia,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
via senato,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
corso di porta romana,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
corso italia,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via de amicis edmondo,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
viale elvezia,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
piazza einaudi luigi,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
piazza della repubblica,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via gioia melchiorre,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via rocca gino,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via caproni gianni,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via koerner guglielmo,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
viale sarca,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via salis ulisse,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via padova,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
via treves emilio,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via tofane,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
via macchi mauro,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
via amedeo d'aosta,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
via denti francesco,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via crescenzago,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via cavriana,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
viale campania,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
largo marinai d'italia,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
viale monte nero,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via cena giovanni,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
piazzale cuoco vincenzo,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
