alias_city,alias_address,data_report,georeferencingString,type
BOLZANO/BOZEN,"Scuole Medie Archimede / Mittelschule ""Archimede""",12/10/2018,BOLZANO Scuole Medie Archimede,POINT
BOLZANO/BOZEN,Servizio riabilitazione / Rehabilitationsdienst,02/07/2018,BOLZANO Servizio riabilitazione,POINT
BOLZANO/BOZEN,Stabilimento Milkon / Lebensmittelindustrie Milkon,18/10/2018,BOLZANO Stabilimento Milkon,POINT
BOLZANO/BOZEN,fontana pubblica Rencio  / öffentl. Brunnen Rentscher,10/08/2018,BOLZANO fontana pubblica Rencio,POINT
BRAIES/PRAGS,Alpe Pragas / Alpe Pragas,29/01/2018,BRAIES Alpe Pragas,POINT
BRAIES/PRAGS,Fontana Ferrara / Brunnen Schmieden,25/09/2018,BRAIES Fontana Ferrara,POINT
BRAIES/PRAGS,Privato/Privat,25/09/2018,BRAIES,POINT
BRENNERO/BRENNER,Albergo Bergkristall / Hotel Bergkristall,10/03/2018,BRENNERO Albergo Bergkristall,POINT
BRENNERO/BRENNER,"Fontana pubblica Via Argentieri, Colle Isarco / Öffentlicher Brunnen Silbergasse, Gossensass",07/03/2018,"BRENNERO  Via Argentieri, Colle Isarco",POINT
BRENNERO/BRENNER,Fontana pubblica cimitero / Öff. Brunnen Friedhof,10/02/2018,BRENNERO  cimitero,POINT
BRENNERO/BRENNER,Outlet Center Brennero / Outlet Center Brenner,13/11/2018,BRENNERO Outlet Center Brennero,POINT
BRENNERO/BRENNER,Privato/Privat,09/04/2018,BRENNERO,POINT
BRESSANONE/BRIXEN,"ASM Bressanone Spa, Via Alfred Ammon 24 / Stadtwerke Brixen AG, Alfred-Ammon-Str. 24",09/06/2018,"BRESSANONE ASM Bressanone Spa, Via Alfred Ammon 24",POINT
BRESSANONE/BRIXEN,"ASM Bressanone Spa, Via Alfred Ammon 24 / Stadtwerke Brixen AG, Alfred-Ammon-Str. 24; WH WC",07/04/2018,"BRESSANONE ASM Bressanone Spa, Via Alfred Ammon 24",POINT
BRESSANONE/BRIXEN,"Albergo Plansoler, S. Leonardo 96 / Gasthof Plansoler, St. Leonhard 96; WH Bar",06/11/2018,"BRESSANONE Albergo Plansoler, S. Leonardo 96",POINT
BRESSANONE/BRIXEN,"Bergrestaurant Plose, Valcroce/Bergrestaurant Plose, Kreuztal",18/06/2018,"BRESSANONE Bergrestaurant Plose, Valcroce",POINT
