alias_city,alias_address,data_report
BRESSANONE/BRIXEN,"Scuola elementare Varna, Via Salern 5 / Grundschule Vahrn, Salernstr. 5; WH WC",26/11/2018
BRESSANONE/BRIXEN,"Südtiroler Kinderdorf, Via Castelliere 28 / Südtiroler Kinderdorf, Burgfrieden 28; WH Kochnische",26/11/2018
BRESSANONE/BRIXEN,"The Vista Hotel, Plancios 291B / The Vista Hotel, Palmschoss 291B",18/06/2018
BRESSANONE/BRIXEN,"Uffici comunali, Piazza Maria Hueber 3 / Gemeindehaus Maria Hueber Platz 3; WH WC",07/04/2018
BRONZOLO/BRANZOLL,Fontana pubblica piazza Von Ferrari / öff. Brunnen Von Ferrariplatz,28/05/2018
BRONZOLO/BRANZOLL,fontana pubblica Via Dogana / Öffentlicher Brunnen Zollamtstrasse,24/09/2018
BRUNICO/BRUNECK,Bar Agip / Bar Agip,26/03/2018
BRUNICO/BRUNECK,Distretto / Sprengel,20/11/2018
BRUNICO/BRUNECK,Fontana / Brunnen,22/05/2018
BRUNICO/BRUNECK,Fontana Schlemmerstube / Brunnen Schlemmerstube,25/09/2018
BRUNICO/BRUNECK,Fontana Waldheim / Brunnen Waldheim,16/05/2018
BRUNICO/BRUNECK,Fontana chiesa / Brunnen Kirche,30/05/2018
BRUNICO/BRUNECK,Fontana parrocchia / Brunnen Pfarre,19/07/2018
BRUNICO/BRUNECK,Herzlalm / Herzlalm,12/10/2018
BRUNICO/BRUNECK,Kron  / Kron,12/10/2018
BRUNICO/BRUNECK,Latte montagna Alto Adige / Bergmilch Südtirol,19/07/2018
BRUNICO/BRUNECK,Luns / Luns,16/07/2018
BRUNICO/BRUNECK,Prosl / Prosl,26/03/2018
BRUNICO/BRUNECK,Scuola media Röd / Mittelschule Röd,20/11/2018
BRUNICO/BRUNECK,Sowi Gym,25/09/2018
CAINES/KUENS,f.p. caserma dei VVFF / öffentl. Brunnen bei der Feuerwehrhalle,10/10/2018
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,Fontana pubblica Pianizza di Sopra 61 / Öff. Brunnen Oberplanitzing 61,05/09/2018
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb.  Brunnenweg St. Nikolaus / Öffentlicher Brunnen - Brunnenweg St. Nikolaus,21/06/2018
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb. Brunnenweg Nr. 21 / Öffentlicher Brunnen - Brunnenweg Nr. 21,05/09/2018
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb. Kreuzung Trutsch / Öffent. Brunnen Kreuzung Trutsch,20/03/2018
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb. Mitterdorf - Mayor v. Morandellplatz / Öffentlicher Brunnen Mitterdorf - Mayor v. Morandellplatz,21/06/2018
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb. Oberplanitzing Hauptstraße / Öffentlicher Brunnen Oberplanitzing Hauptstraße,28/02/2018
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,"font. pubb. Pianizza di sopra, Strada Principale n. 17 / Öff. Brunnen Oberplanitzing, Hauptstrasse Nr. 17",08/02/2018
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb. cimitero / Friedhofsbrunnen,22/10/2018
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font.pubb. Rottenburgplatz / Öffentlicher Brunnen Rottenburgplatz,21/06/2018
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,Öffentlicher Brunnen Altenburg / Öffentlicher Brunnen Altenburg,22/10/2018
CAMPO DI TRENS/FREIENFELD,Fontana pubblica Stilves / Öffen. Brunnen Stilfes,29/03/2018
CAMPO DI TRENS/FREIENFELD,Fontana pubblica Trens / Öffentlicher Brunnen Trens,29/03/2018
CAMPO DI TRENS/FREIENFELD,Privato/Privat,13/11/2018
CAMPO DI TRENS/FREIENFELD,Scuola elementare Mules / Grundschule Mauls -  WH WC Mädchen,05/03/2018
CAMPO DI TRENS/FREIENFELD,Scuola elementare Mules / Grundschule Mauls - Gansör WH WC Mädchen,10/01/2018
CAMPO DI TRENS/FREIENFELD,"Scuola elementare Mules / Grundschule Mauls, WH WC Damen Mauls Gansör",19/03/2018
CAMPO TURES/SAND IN TAUFERS,Cascade/Cascade,26/03/2018
CAMPO TURES/SAND IN TAUFERS,Fontana Daimer / Daimerbrunnen,19/09/2018
CAMPO TURES/SAND IN TAUFERS,Fontana Taufra Bahnl / Taufra Bahnl Brunnen,19/09/2018
CAMPO TURES/SAND IN TAUFERS,Fontana Unimet / Brunnen Unimet,08/07/2018
CAMPO TURES/SAND IN TAUFERS,Fontana chiesa / Brunnen Kirche,18/04/2018
CAMPO TURES/SAND IN TAUFERS,Fontana municipio / Brunnen Rathaus,31/05/2018
CAMPO TURES/SAND IN TAUFERS,Privato/Privat,21/11/2018
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,"Albergo ""Sonnenhof"" - Juvale / Gasth. Sonnenhof - Juval",26/03/2018
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,Fontana pubblica Galsaun/ Öffentlicher Brunnen Galsaun,08/08/2018
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,Privato/Privat,27/03/2018
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,"f.p. ""Widumplatz"" Ciardes / Öffentlicher Brunnen Widumplatz, Tschars",19/06/2018
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,f.p. Lacinigo / Öffentlicher Brunnen Latschinig,02/06/2018
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,f.p. centro / Öffentlicher Brunnen Zentrum,19/12/2018
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,"ristoro di campagna ""Niedermair"" - Montetrumes+I71 / Buschenschank Niedermair - Trumsberg",07/02/2018
CASTELROTTO/KASTELRUTH,Asilo / Kindergarten,26/02/2018
CASTELROTTO/KASTELRUTH,Asilo Sureghes / Kindergarten Sureghes,16/01/2018
CASTELROTTO/KASTELRUTH,"Bagno Pubblico - Centro / Öff. Toiletten, Zentrum",27/02/2018
CASTELROTTO/KASTELRUTH,Bar Lavies - Pufels 5,26/02/2018
CASTELROTTO/KASTELRUTH,Brunnen bei Grundschule,23/05/2018
CASTELROTTO/KASTELRUTH,Fontana pubblica O.-v.-Wolkenstein - Siusi / Öffentlicher Brunnen O.-v.-Wolkenstein-Platz - Seis,28/06/2018
CASTELROTTO/KASTELRUTH,Fontana pubblica presso scuola elementare / Öffentlicher Brunnen bei Grundschule,17/07/2018
CASTELROTTO/KASTELRUTH,Nordiccenter / Nordiccenter,28/06/2018
CASTELROTTO/KASTELRUTH,Privato/Privat,21/11/2018
CERMES/TSCHERMS,"Cafe` Eggbauer, Basling / Cafe` Eggbauer, Basling",30/05/2018
CERMES/TSCHERMS,Fontana pubblica Centro  / Öffentlicher Brunnen Zentrum,28/02/2018
CHIENES/KIENS,Ehrenburgerhof Lido / Ehrenburgerhof Lido,14/03/2018
CHIENES/KIENS,Fontana / Brunnen,10/02/2018
CHIENES/KIENS,Fontana chiesa / Brunnen Kirche,14/03/2018
CHIENES/KIENS,Fontana paese / Brunnen Oberdorf,10/02/2018
CHIENES/KIENS,Kindergarten / Kindergarten,10/02/2018
CHIENES/KIENS,Privato/Privat,23/10/2018
CHIUSA/KLAUSEN,Fontana pubblica / Öffentlicher Brunnen,16/08/2018
CHIUSA/KLAUSEN,Fontana pubblica Gudon  /  Dorfbrunnen Gufidaun,20/03/2018
CHIUSA/KLAUSEN,Fontana pubblica Piazza Tinne / Öffentlicher Brunnen Tinneplatz,16/08/2018
CHIUSA/KLAUSEN,Fontana pubblica Piazza paese / Öffentlicher Brunnen Dorfplatz,16/08/2018
CHIUSA/KLAUSEN,Privato/Privat,18/06/2018
CHIUSA/KLAUSEN,"Scuola dell'Infanzia Chiusa, Langrain 39 / Kindergarten Klausen, Langrain 39; WH Küche",10/10/2018
CORNEDO ALL'ISARCO/KARNEID,Brunnen Friedhof Gummer  /  Brunnen Friedhof Gummer,10/03/2018
CORNEDO ALL'ISARCO/KARNEID,Casa di riposo Clara / Altersheim Clara,27/02/2018
CORNEDO ALL'ISARCO/KARNEID,Fontana cimitero / Brunnen Friedhof,09/10/2018
CORNEDO ALL'ISARCO/KARNEID,Fontana cimitero Collepietra / Brunnen Friedhof Steinegg,09/10/2018
CORNEDO ALL'ISARCO/KARNEID,Gummer - Scuole elementari M. Pichler / Gummer - Grundschule M. Pichler,27/02/2018
CORNEDO ALL'ISARCO/KARNEID,"Scuola elementare Cornedo "" Martin Wenter"" / Grundschule Karneid ""Martin Wenter""",26/11/2018
CORNEDO ALL'ISARCO/KARNEID,Scuole medie Prato Isarco / Mittelschule in Blumau,27/02/2018
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Ditta Finstral zona industriale / Fa. Finstral Industriezone,16/05/2018
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,F. p. Weg K. von Fenner / Öff. Brunnen Weg K. von Fenner,04/11/2018
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Fontana pubblica Platzl / Öffentlicher Brunnen Platzl,16/05/2018
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Fontana pubblica piazza H.M.Schweiggl / Ö.B. Hauptmann Schweigglplatz,14/03/2018
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Fontana pubblica vicino albergo Goldener Adler / Öffentlicher Brunnen neben Gasthaus Adler,26/02/2018
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Ufficio Cantina Tiefenbrunner / Büro Kellerei Tiefenbrunner,04/11/2018
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Öffentlicher Brunnen Kirchplatz Penon / Öffentlicher Brunnen Kirchplatz Penon,26/02/2018
CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,Privato/Privat,20/07/2018
CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,fontana pubblica piazza S. Martino / öff. Brunnen St. Martin Platz,05/07/2018
CORVARA IN BADIA/CORVARA,Azienda turistica / Tourismusverein,17/09/2018
CORVARA IN BADIA/CORVARA,Brunnen Friedhof,17/09/2018
CORVARA IN BADIA/CORVARA,Costabiei / Costabiei,12/05/2018
CORVARA IN BADIA/CORVARA,Garni Pcei / Garni Pcei,12/12/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,Comune - WC / Gemeinde - WC,12/12/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,Pizzeria Irene/Pizzeria Irene,12/12/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,Privato/Privat,14/11/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,Res. Plagätt - Einlauf,20/09/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,WC - scuola media  /  WC - Mittelschule,23/01/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,f. p. S. Valentino - cimitero / Ö. B. St. Valentin - Friedhof,20/09/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. Kaschon / ö.B. Kaschon,14/11/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. Monteplai / Öffentlicher Brunnen Dörfl,14/05/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. Pedrossi Vallelunga di fuori / Öffentlicher Brunnen Pedross Außerlangtaufers,14/05/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. San Valentino alla Muta / Öffentlicher Brunnen - St. Valentin a.d.H.,25/06/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. parcheggio  / Ö.B. Parkplatz,25/06/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. parcheggio torre / ö.B. beim Parkplatz Turm,25/06/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. vallelunga di dentro / Öffentlicher Brunnen Innerlangtaufers,20/09/2018
CURON VENOSTA/GRAUN IM VINSCHGAU,Öff. Brunnen unter der Strasse  /  Öff. Brunnen unter der Strasse,14/11/2018
