alias_address,alias_city,ammoniaca,arsenico,cloruro,conducibilita,cromo,data_report,durezza,ferro,fluoruri,nitrato,nitrito,ph,sodio,solfato
"Gasthaus Ladurner, Vellau / Gasthaus Ladurner, Vellau",LAGUNDO /ALGUND,<0.02,,<1,79,,12/06/2018,4,,0.08,2,<0.01,7.6,,15
Privato/Privat,LAGUNDO /ALGUND,<0.02,<1,2,292,<1,22/05/2018,16,14,0.22,7,<0.01,7.9,5,52
Servizi pubblici seggiovia stazione di monte  /  Öffentl. Toiletten Bergstation Seilbahn,LAGUNDO /ALGUND,<0.02,9,<1,57,<1,22/05/2018,3,<10,0.08,1,<0.01,7.0,1,4
WC - municipio / Gemeinde -  WC,LAGUNDO /ALGUND,<0.02,,4,280,,18/12/2018,14,,0.23,7,<0.01,7.7,,52
f.p. via B. Leiter / ö.B. B. Leiter Str.,LAGUNDO /ALGUND,<0.02,<1,8,407,<1,28/03/2018,24,<10,0.54,14,<0.01,7.0,8,84
"f.p., Plars di Sopra / Öffentlicher Brunnen, Oberplars",LAGUNDO /ALGUND,<0.02,,<1,90,,27/09/2018,4,,0.31,2,<0.01,7.4,,19
fontana pubblica presso la chiesa / Öffentlicher Brunnen bei Kirche,LAGUNDO /ALGUND,<0.02,,<1,176,,27/09/2018,7,,0.09,2,<0.01,7.4,,20
f.p. via B. Leiter / ö.B. B. Leiter Str.,LAGUNDO/ALGUND,<0.02,,4,288,,07/09/2018,15,,0.24,6,<0.01,8.0,,50
"f.p., Plars di Sopra / Öffentlicher Brunnen, Oberplars",LAGUNDO/ALGUND,<0.02,,<1,92,,07/09/2018,4,,0.31,2,<0.01,7.7,,17
"Ditta ELA Srl, Zona Artigianale Pontives 10 / Fa. ELA GmbH, Gewerbezone Pontives 10",LAION/LAJEN,<0.02,<1,<1,182,<1,17/04/2018,13,<10,0.06,3,<0.01,8.1,<1,14
Fontana pubblica Albions / Öff. Brunnen Albions,LAION/LAJEN,<0.02,,<1,284,,19/03/2018,19,,0.08,2,<0.01,7.9,,84
Fontana pubblica Ceves / Öffentlicher Brunnen Tschöfas,LAION/LAJEN,<0.02,3,1,117,<1,09/10/2018,6,<10,0.12,1,<0.01,6.9,2,11
Fontana pubblica Tanürz  /  Öffentlicher Brunnen Tanürz,LAION/LAJEN,<0.02,6,<1,106,,14/11/2018,5,,0.13,1,<0.01,7.9,,10
Fontana pubblica scuola elementare Lajener Ried/Öff. Brunnen Grundschule Lajener Ried,LAION/LAJEN,<0.02,4,<1,174,<1,09/10/2018,10,25,0.08,2,<0.01,7.8,1,31
Hotel Überbacher / Hotel Überbacher,LAION/LAJEN,<0.02,7,<1,90,<1,17/05/2018,4,27,0.05,1,<0.01,7.8,2,7
Privato/Privat,LAION/LAJEN,<0.02,<1,<1,207,<1,17/05/2018,11,19,0.14,2,<0.01,7.7,3,15
Bagni 1° compagnia,LAIVES/LEIFERS,<0.02,,15,420,,12/11/2018,22,,0.37,5,<0.01,7.7,,49
Caserma CC. Guella - rubinetto cucina carabinieri / Kaserne CC. Guella - Wasserhahn der Küche der Carabinieri,LAIVES/LEIFERS,<0.02,,16,449,,21/02/2018,25,,0.4,7,<0.01,7.7,,67
Fontana Pubblica S.Giacomo / öff. Brunnen St.Jakob,LAIVES/LEIFERS,<0.02,3,7,300,<1,24/09/2018,16,<10,0.33,6,<0.01,7.9,5,33
Fontana pubblica Pineta di Laives  /  Fontana pubblica Pineta di Laives,LAIVES/LEIFERS,<0.02,<1,15,440,<1,14/06/2018,24,39,0.48,6,<0.01,7.9,10,66
Fontana pubblica parco Marconi / öff. Brunnen Marconipark,LAIVES/LEIFERS,<0.02,,9,385,,17/10/2018,19,,0.71,4,<0.01,7.8,,56
Laboratorio Biologico / Biologisches Landeslabor,LAIVES/LEIFERS,<0.02,,9,392,,21/02/2018,21,,0.76,4,<0.01,7.9,,62
Magazzino comunale zona industriale/ Magazin der Gemeinde Industriezone,LAIVES/LEIFERS,<0.02,<1,11,383,<1,14/06/2018,20,26,0.68,3,<0.01,7.9,9,57
Scuola Elementare Fraz. Pineta / Grundschule Steinmannwald,LAIVES/LEIFERS,<0.02,,11,414,,19/02/2018,23,,0.52,5,<0.01,7.9,,68
Scuola elementare San Giacomo / Grundschule St. Jakob,LAIVES/LEIFERS,<0.02,,8,285,,29/11/2018,15,,0.38,6,<0.01,7.9,,33
WC piscina coperta comunale / WC Gemeindehallenbad,LAIVES/LEIFERS,<0.02,,5,396,,28/02/2018,17,,0.13,13,<0.01,7.9,,48
f.p. giardino zona 46/Öff. Brunnen Garten Zone 46,LAIVES/LEIFERS,<0.02,1,7,378,<1,24/09/2018,19,<10,0.89,3,<0.01,7.8,8,54
"f.p. parco giochi via Sottomonte / öff. Brunnen, Spielplatz, Unterbergstr.",LAIVES/LEIFERS,<0.02,,12,411,,23/08/2018,22,,0.59,4,<0.01,7.9,,62
"Albergo ""Pawiglerwirt"" - Pavicolo / Gasthaus Pawiglerwirt - Pawigl",LANA/LANA,<0.02,2,3,128,<1,03/07/2018,6,<10,0.44,5,<0.01,7.0,6,12
Bar Nordkap / Bar Nordkap,LANA/LANA,<0.02,,4,291,,26/07/2018,15,,0.22,6,<0.01,7.9,,53
Privato/Privat,LANA/LANA,<0.02,1,2,136,<1,03/07/2018,8,<10,0.2,5,<0.01,7.3,3,12
f.p. p.zza della chiesa / Öffentlicher Brunnen Kirchplatz,LANA/LANA,<0.02,,4,312,,28/02/2018,17,,0.22,7,<0.01,7.7,,48
"f.p. presso la chiesa ""Kapuziner"" / Öffentlicher Brunnen bei Kapuziner Kirche",LANA/LANA,<0.02,2,5,296,<1,27/09/2018,17,<10,0.23,8,<0.01,7.8,7,57
"f.p. presso la chiesa, Foiana / Öffentlicher Brunnen neben Kirche, Völlan",LANA/LANA,<0.02,,<1,99,,25/10/2018,5,,0.24,4,<0.01,7.4,,6
mensa zona industriale / Mensa Industriezone,LANA/LANA,<0.02,,5,298,,03/01/2018,16,,0.21,8,<0.01,7.9,,56
Fontana pubblica Tarnell/Öffentlicher Brunnen Tarnell,LASA/LAAS,<0.02,7,1,180,<1,15/05/2018,11,<10,<0.05,1,<0.01,7.5,2,21
Oris: WC scuola elementare/Eyrs: WC Grundschule,LASA/LAAS,<0.02,,<1,187,,12/11/2018,10,,0.26,2,<0.01,7.7,,48
f.p. - Cengles / Öffentlicher Brunnen - Tschengls,LASA/LAAS,<0.02,8,<1,182,<1,08/08/2018,11,38,0.24,2,<0.01,8.0,2,47
f.p. - parcheggio / Öffentlicher Brunnen am Parkplatz,LASA/LAAS,<0.02,,<1,173,,30/07/2018,9,,0.05,2,<0.01,7.9,,26
f.p. Alliz / Öffentlicher Brunnen - Allitz,LASA/LAAS,<0.02,<1,<1,88,<1,19/11/2018,4,48,0.12,1,<0.01,6.9,3,32
f.p. Oris / Öffentlicher Brunnen - Eyrs,LASA/LAAS,<0.02,,<1,171,,23/04/2018,11,,0.26,2,<0.01,7.5,,45
f.p. Tanas / Öffentlicher Brunnen - Tanas,LASA/LAAS,<0.02,<1,<1,77,<1,19/11/2018,3,<10,0.17,<1,<0.01,7.1,3,6
"f.p. ciclabile ""Zapferbad"" / ö.B. Radweg Zapferbad",LASA/LAAS,<0.02,,<1,175,,27/08/2018,9,,0.08,2,<0.01,7.5,,26
f.p. strada principale / Öffentlicher Brunnen Hauptstrasse,LASA/LAAS,<0.02,,<1,179,,27/08/2018,9,,0.15,1,<0.01,7.9,,45
Privato/Privat,LAUREGNO/LAUREIN,<0.02,,<1,260,,08/08/2018,15,,<0.05,1,<0.01,8.0,,18
fontana pubblica cimitero / Öffentlicher Brunnen Friedhof,LAUREGNO/LAUREIN,<0.02,<1,<1,242,<1,08/08/2018,13,<10,<0.05,1,<0.01,8.1,<1,18
Albergo Lüsnerhof / Hotel Lüsnerhof,LUSON/LÜSEN,<0.02,11,<1,117,,17/10/2018,5,,0.06,<1,<0.01,7.7,,6
Albergo Lüsnerhof / Hotel Lüsnerhof WH WC,LUSON/LÜSEN,<0.02,9,<1,130,1,30/08/2018,7,<10,0.14,1,<0.01,7.4,2,7
Albergo Lüsnerhof / Hotel Lüsnerhof; WH WC,LUSON/LÜSEN,<0.02,,<1,125,,04/12/2018,9,,0.06,<1,<0.01,7.9,,9
Privato/Privat,LUSON/LÜSEN,<0.02,<1,<1,29,<1,18/04/2018,1,65,<0.05,<1,<0.01,6.4,2,3
fontana pubblica piazza paese / Öffentlicher Brunnen Dorfplatz,LUSON/LÜSEN,<0.02,3,<1,76,<1,30/08/2018,3,<10,0.19,2,<0.01,7.7,2,9
Fontana pubblica Caserma dei Pompieri / Öffentlicher Brunnen neben Feuerwehrhalle,MAGRÈ SULLA STRADA DEL VINO/MARGREID AN DER WEINSTRASSE,<0.02,<1,3,428,<1,16/05/2018,24,<10,0.07,10,<0.01,7.7,1,10
"Fontana pubblica Comune / Öffentlicher Brunnen, Rathaus",MAGRÈ SULLA STRADA DEL VINO/MARGREID AN DER WEINSTRASSE,<0.02,,2,414,,16/07/2018,25,,0.13,7,<0.01,7.7,,8
Fontana pubblica cimitero / Öffentlicher Brunnen - Friedhof,MAGRÈ SULLA STRADA DEL VINO/MARGREID AN DER WEINSTRASSE,<0.02,<1,2,416,<1,16/05/2018,23,<10,0.08,7,<0.01,7.9,<1,9
Fontana pubblica vicino casa padronale Löwengang / Öffentl. Brunnen neben Ansitz Löwengang,MAGRÈ SULLA STRADA DEL VINO/MARGREID AN DER WEINSTRASSE,<0.02,,2,413,,19/11/2018,22,,0.06,7,<0.01,7.9,,8
Tischlerei Amegg / Tischlerei Amegg,MAGRÈ SULLA STRADA DEL VINO/MARGREID AN DER WEINSTRASSE,<0.02,,<1,298,,26/02/2018,20,,<0.05,10,<0.01,8.1,,4
Fontana pubblica presso Stazione  /  Öff. Brunnen bei Bahnhof,MALLES VENOSTA /MALS,<0.02,,<1,211,,15/03/2018,10,,0.17,1,<0.01,7.1,,80
Fürstenburg - Käse Produktionsraum,MALLES VENOSTA /MALS,<0.02,<1,<1,211,<1,03/06/2018,11,1030,0.18,<1,<0.01,8.2,2,93
Hotel Glieshof,MALLES VENOSTA /MALS,<0.02,<1,<1,226,<1,22/10/2018,11,<10,0.09,1,<0.01,6.7,3,100
Knottbergquellen nach AB / Knottbergquellen nach AB,MALLES VENOSTA /MALS,<0.02,<1,<1,241,<1,24/10/2018,12.6,15,0.07,1,<0.01,7.75,2,100
Knottbergquellen vor AB /  Knottbergquellen vor AB,MALLES VENOSTA /MALS,<0.02,<1,<1,221,<1,24/10/2018,11.4,<10,0.08,1,<0.01,6.85,2,100
Privato/Privat,MALLES VENOSTA /MALS,<0.02,6,1,165,<1,22/10/2018,8,323,0.3,3,<0.01,6.9,6,41
Sammelschacht Quellen Mischwasser,MALLES VENOSTA /MALS,<0.02,,<1,129,,26/09/2018,6,,0.06,<1,<0.01,7.7,,15
Sennerei Burgeis Arbeitsraum,MALLES VENOSTA /MALS,<0.02,<1,<1,199,<1,03/06/2018,11,17,0.67,<1,<0.01,8.0,5,56
albergo Moriggl - dispensa del latte / Gasthaus Moriggl - Milchkammer,MALLES VENOSTA /MALS,<0.02,6,<1,226,<1,20/11/2018,11,<10,0.6,4,<0.01,7.6,4,46
"f.p. ""Kreuzweg"" / Öffentl. Brunnen Kreuzweg",MALLES VENOSTA /MALS,<0.02,,<1,199,,28/08/2018,9,,0.14,<1,<0.01,7.7,,79
"f.p. Burgusio / Öffentlicher Brunnen, Burgeis",MALLES VENOSTA /MALS,<0.02,,<1,155,,20/11/2018,7,,0.37,<1,<0.01,8.0,,51
"f.p. Clusio / Öffentlicher Brunnen, Schleis",MALLES VENOSTA /MALS,<0.02,<1,<1,127,<1,17/10/2018,6,<10,0.09,1,<0.01,7.7,1,14
"f.p. Laudes / Öffentlicher Brunnen, Laatsch",MALLES VENOSTA /MALS,<0.02,,<1,128,,28/08/2018,7,,0.07,1,<0.01,7.8,,13
"f.p. Mazia / Öffentlicher Brunnen, Matsch",MALLES VENOSTA /MALS,<0.02,<1,<1,131,<1,31/07/2018,6,26,0.91,1,<0.01,7.0,5,37
"f.p. Piavenna / Öffentlicher Brunnen, Plawenn",MALLES VENOSTA /MALS,<0.02,8,<1,217,<1,09/11/2018,11,<10,0.57,3,<0.01,7.3,3,29
"f.p. Planol / Öffentlicher Brunnen, Planeil",MALLES VENOSTA /MALS,<0.02,,<1,222,,22/03/2018,13,,0.57,2,<0.01,6.7,,79
"f.p. Slingia / Öffentlicher Brunnen, Schlinig",MALLES VENOSTA /MALS,<0.02,3,<1,172,<1,14/03/2018,11,<10,0.35,1,<0.01,7.6,2,18
"f.p. Tarces / Öffentlicher Brunnen, Tartsch",MALLES VENOSTA /MALS,<0.02,,<1,190,,31/07/2018,9,,0.16,<1,<0.01,8.1,,77
fontana pubblica / Öffentlicher Brunnen,MALLES VENOSTA /MALS,<0.02,,1,163,,23/01/2018,9,,0.28,2,<0.01,7.9,,18
"ristoro di campagna ""Patzleid"" / Buschenschank: Platzleid",MALLES VENOSTA /MALS,<0.02,<1,<1,141,<1,22/10/2018,7,13,0.3,1,<0.01,6.7,4,58
Öffentlicher Brunnen vor Kirche vierzehn Nothelfer / Öffentlicher Brunnen vor Kirche vierzehn Nothelfer,MALLES VENOSTA /MALS,<0.02,,<1,199,,05/02/2018,11,,0.18,1,<0.01,6.9,,87
Albergo Posta / Gasthaus Post,MAREBBE/ENNEBERG,<0.02,,<1,104,,19/04/2018,9,,0.08,2,<0.01,7.8,,27
Centro visite / Naturparkhaus,MAREBBE/ENNEBERG,<0.02,,<1,197,,09/11/2018,11,,<0.05,2,<0.01,8.1,,2
Fontana Posta / Brunnen Post,MAREBBE/ENNEBERG,<0.02,,<1,204,,19/04/2018,12,,<0.05,3,<0.01,7.9,,3
Fontana chiesa / Brunnen Kirche,MAREBBE/ENNEBERG,<0.02,,<1,108,,10/01/2018,6,,0.09,1,<0.01,8.3,,10
Privato/Privat,MAREBBE/ENNEBERG,<0.02,,1,71,,10/01/2018,3,,<0.05,1,<0.01,7.7,,3
Garni Prantnerhof  /  Garni Prantnerhof,MARLENGO/MARLING,<0.02,5,<1,255,<1,30/05/2018,15,28,0.08,2,<0.01,7.4,3,11
Privato/Privat,MARLENGO/MARLING,<0.02,<1,1,216,<1,23/05/2018,11,<10,0.47,1,<0.01,7.7,6,61
f.p. di fronte al parcheggio / Öffentlicher Brunnen gegenüber Parkplatz,MARLENGO/MARLING,<0.02,,4,282,,28/02/2018,15,,0.26,7,<0.01,8.0,,57
Privato/Privat,MARTELLO/MARTELL,<0.02,,<1,133,,25/09/2018,6,,0.37,1,<0.01,7.2,,29
Serbatoio Thairmühl -  entrata delle sorgenti Platzer Mahd e sorgente Grub / Reservoir Thairmühl - Einlauf der Platzer Mahd Quellen und Grubquelle,MARTELLO/MARTELL,<0.02,2,<1,126,<1,09/05/2018,6,33,0.34,<1,<0.01,7.5,2,32
Stallwies: Trattoria Hölderle / Stallwies: GH Hölderle,MARTELLO/MARTELL,<0.02,<1,<1,131,<1,06/05/2018,7,<10,0.12,1,<0.01,7.3,2,47
WC - vicino comune /WC - neben Gemeinde,MARTELLO/MARTELL,<0.02,1,<1,141,<1,21/11/2018,7,<10,0.13,2,<0.01,7.6,2,26
WC-Gemeindebauhof,MARTELLO/MARTELL,<0.02,1,<1,111,<1,21/11/2018,5,221,0.29,<1,<0.01,7.5,2,27
"centro ""Biathlon"" - WC malga di ""Grogg"" / Biathlonzentrum -  WC Groggalm",MARTELLO/MARTELL,<0.02,<1,<1,127,<1,20/03/2018,9,41,0.11,1,<0.01,7.3,2,32
f.p. Ganda / ö.B. Gand,MARTELLO/MARTELL,<0.02,2,<1,129,,25/09/2018,6,,0.35,<1,<0.01,7.4,,33
f.p. vicino Obkirchhof / öffentlicher Brunnen beim Obkirchhof,MARTELLO/MARTELL,<0.02,<1,<1,77,<1,06/05/2018,4,<10,<0.05,2,<0.01,7.2,<1,24
Font. pubb. vicino chiesa / Öffentlicher Brunnen neben Kirche,MELTINA/MÖLTEN,<0.02,,2,110,,30/05/2018,7,,<0.05,2,<0.01,8.2,,5
Fontana pubblica piazza S. Teßmann / Öff. Brunnen Siegfried Teßmann Platz,MELTINA/MÖLTEN,<0.02,<1,3,447,<1,26/09/2018,24,<10,0.06,6,<0.01,7.7,3,17
Municipio / Rathaus,MELTINA/MÖLTEN,<0.02,<1,1,79,<1,17/04/2018,6,56,<0.05,3,<0.01,8.1,7,3
Scuola media Meltina - WC / Grundschule Mölten - WC parterre,MELTINA/MÖLTEN,<0.02,,1,150,,20/03/2018,10,,0.08,2,<0.01,8.1,,8
fontana pubblica Schlaneid  /  Öff. Brunnen Schlaneid,MELTINA/MÖLTEN,<0.02,1,3,144,<1,07/03/2018,9,<10,0.16,7,<0.01,8.1,4,28
Asilo Girotondo - Maia Bassa / Asilo Girotondo - Untermais,MERANO/MERAN,<0.02,<1,2,134,<1,31/01/2018,7,<10,0.17,7,<0.01,7.3,3,27
Bar Cinzia / Bar Cinzia,MERANO/MERAN,<0.02,,5,201,,24/01/2018,15,,0.19,14,0.01,6.8,,56
Bar Vittoria - Sinigo / Bar Vittoria - Sinich,MERANO/MERAN,<0.02,,6,416,,24/01/2018,23,,0.25,12,<0.01,7.4,,77
Buschenschank Rauthof  /  Buschenschank Rauthof,MERANO/MERAN,<0.02,1,1,156,<1,11/07/2018,8,17,0.12,6,<0.01,7.6,5,7
Fontana pubblica via Steinach / Öffentlicher Brunnen Steinachweg,MERANO/MERAN,<0.02,,2,163,,20/12/2018,7,,0.22,7,<0.01,7.1,,32
"Ufficio Igiene, via Goethe n. 7 / Hygieneamt, Goethestr. 7",MERANO/MERAN,<0.02,,2,139,,24/01/2018,9,,0.14,8,<0.01,7.1,,28
"Via Planta, condotta delle sorgenti / Plantastrasse Leitung von Quellen",MERANO/MERAN,<0.02,,2,98,,22/02/2018,4,,0.18,3,<0.01,7.1,,27
"f.p. ""Brunnegger Brunnen"" via Planta / Öff. Brunnen, Brunegger Brunnen, Plantastrasse",MERANO/MERAN,<0.02,,2,94,,17/10/2018,4,,0.23,2,<0.01,7.4,,24
f.p. Portici / Öffentlicher Brunnen - Laubengasse,MERANO/MERAN,<0.02,1,2,151,<1,07/12/2018,7,<10,0.17,6,<0.01,7.3,3,30
"f.p. Sinigo / Öffentlicher Brunnen, Sinich",MERANO/MERAN,<0.02,,5,293,,28/03/2018,18,,0.22,8,<0.01,8.0,,51
f.p. p.zza fontana / ö.B. Brunnenplatz,MERANO/MERAN,<0.02,,2,102,,16/08/2018,5,,0.18,2,<0.01,7.4,,24
f.p. presso il Bar Cinzia / Ö.B. bei Bar Cinzia,MERANO/MERAN,<0.02,1,4,251,<1,28/03/2018,15,<10,0.21,8,<0.01,7.8,5,46
"f.p. presso il serbatoio ""Naif"" / Öffentlicher Brunnen bei Reservoir Naiftal",MERANO/MERAN,<0.02,,2,95,,16/08/2018,4,,0.18,2,<0.01,7.1,,24
f.p. via Brennero/via Roma / Öffentlicher Brunnen Kreuzung Brennerstr./Romstr.,MERANO/MERAN,<0.02,,5,277,,23/05/2018,14,,0.3,8,<0.01,7.9,,53
f.p. via Mainardo/via O. Huber / Öffentlicher Brunnen Meinhardstraße/O.-Huber-Str.,MERANO/MERAN,<0.02,,2,142,,28/03/2018,9,,0.16,8,<0.01,7.5,,27
"ospedale, dialisi dopo l'impianto osmosi / Krankenhaus Meran, Dialyseabteilung nach der Osmoseanlage",MERANO/MERAN,<0.02,<1,<1,12,<1,27/03/2018,<1,<10,<0.05,<1,<0.01,6.9,<1,<2
"ospedale, dialisi prima dell'impianto osmosi / Krankenhaus Meran, Dialyseabteilung vor der Osmoseanlage",MERANO/MERAN,<0.02,<1,6,352,<1,27/03/2018,21,14,0.17,18,<0.01,7.0,6,68
pozzo di distribuzione Tell / Verteilerschacht Töll,MERANO/MERAN,<0.02,,4,286,,28/06/2018,14,,0.22,7,<0.01,7.9,,52
Ö.B. Steinachweg,MERANO/MERAN,<0.02,,2,144,,22/02/2018,7,,0.15,7,<0.01,6.8,,30
Fontana chiesa / Brunnen Kirche,MONGUELFO - TESIDO/WELSBERG - TAISTEN,<0.02,8,<1,68,<1,17/09/2018,3,<10,0.3,<1,<0.01,8.4,3,4
Municipio / Rathaus,MONGUELFO - TESIDO/WELSBERG - TAISTEN,<0.02,,<1,102,,17/09/2018,5,,0.07,1,<0.01,8.0,,11
Pensione Panorama / Pension Panorama,MONGUELFO - TESIDO/WELSBERG - TAISTEN,<0.02,7,<1,65,<1,26/03/2018,5,<10,0.27,<1,<0.01,8.5,3,4
Fontana pubblica Pinzon / Öffentlicher Brunnen Pinzon,MONTAGNA/MONTAN,<0.02,,1,288,,15/11/2018,15,,0.14,3,<0.01,8.1,,15
Fontana pubblica verso Pinzon / Öffentlicher Brunnen Richtung Pinzon,MONTAGNA/MONTAN,<0.02,<1,1,298,<1,16/07/2018,17,<10,0.13,3,<0.01,8.1,2,17
Fontana pubblica vicino Gasthaus Pernter Gschnon / Öffentlicher Brunnen neben Gasthaus Pernter Gschnon,MONTAGNA/MONTAN,<0.02,,<1,95,,09/06/2018,5,,0.18,4,<0.01,7.5,,4
"Fontana pubblica, via Collina di sopra / Öffentlicher Hügelgasse Brunnen oben",MONTAGNA/MONTAN,<0.02,2,8,350,<1,16/07/2018,17,<10,0.86,4,<0.01,8.0,6,84
Reservoir (Einlauf) bei Schneebergbrücke / Reservoir (Einlauf) bei Schneebergbrücke,MOSO DI PASSIRIA /MOOS IN PASSEIER,<0.02,,<1,35,,13/11/2018,13,,0.14,1,<0.01,7.2,,71
Scuola elementare Corvara / Grundschule Rabenstein,MOSO DI PASSIRIA /MOOS IN PASSEIER,<0.02,,<1,33,,13/11/2018,2,,0.09,1,<0.01,7.6,,4
Scuola elementare Plata / Grundschule Platt,MOSO DI PASSIRIA /MOOS IN PASSEIER,<0.02,<1,<1,47,<1,03/12/2018,3,632,<0.05,1,<0.01,9.1,<1,9
"f.p. Plan / Öffentlicher Brunnen, Pfelders",MOSO DI PASSIRIA /MOOS IN PASSEIER,<0.02,,<1,39,,13/08/2018,2,,0.09,<1,<0.01,9.0,,4
"f.p. centro / Öffentlicher Brunnen, Zentrum",MOSO DI PASSIRIA /MOOS IN PASSEIER,<0.02,,<1,136,,20/11/2018,6,,<0.05,2,<0.01,8.2,,11
f.p. presso la chiesa di Stulles / Ö.B. bei der Kirche in Stuls,MOSO DI PASSIRIA /MOOS IN PASSEIER,<0.02,,<1,136,,08/09/2018,7,,<0.05,1,<0.01,7.9,,2
"Fontana pubbl. via Schwanburg/Öff. Brunnen, Schwanburgerstr.",NALLES/NALS,<0.02,,1,390,,30/05/2018,24,,0.13,6,<0.01,7.9,,41
fontana pubb. municipio nuovo / Brunnen Rathausplatz neu,NALLES/NALS,<0.02,,1,392,,09/11/2018,23,,0.14,6,<0.01,7.9,,43
"f.p. ""Sport Unterholzner"" / Öffentlicher Brunnen bei Sport Unterholzner",NATURNO/NATURNS,<0.02,4,3,308,<1,04/04/2018,19,<10,0.29,3,<0.01,7.4,4,88
f.p. Stava / Ö.B. Staben,NATURNO/NATURNS,<0.02,,<1,247,,30/07/2018,13,,0.17,1,<0.01,7.8,,66
f.p. Tabla' / Öffentlicher Brunnen Tabland,NATURNO/NATURNS,<0.02,8,<1,270,<1,28/02/2018,15,<10,0.14,<1,<0.01,7.9,2,82
f.p. presso cassa di risparmio / Öff. Brunnen bei Sparkasse,NATURNO/NATURNS,<0.02,,<1,264,,23/04/2018,17,,0.16,1,<0.01,7.7,,80
f.p. presso il luogo di sosta - ciclabile / Öffentlicher Brunnen bei Raststätte-Radweg,NATURNO/NATURNS,<0.02,,<1,254,,11/06/2018,13,,0.14,1,<0.01,7.8,,70
"f.p. vicino bar ""Rössl"" / Öffentlicher Brunnen bei  Bar Rössl",NATURNO/NATURNS,<0.02,,<1,236,,12/06/2018,11,,0.14,1,<0.01,8.0,,54
serb. Cirlano - ingresso / Res. Tschirland - Einlauf,NATURNO/NATURNS,<0.02,,<1,91,,11/06/2018,5,,0.07,2,<0.01,7.8,,16
Fontana pubblica Aica / Öffentlicher Brunnen Aicha,NAZ-SCIAVES/NATZ-SCHABS,<0.02,<1,<1,123,<1,20/06/2018,7,<10,0.07,3,<0.01,7.6,2,11
Fontana pubblica Rasa / Öff. Brunnen Raas,NAZ-SCIAVES/NATZ-SCHABS,<0.02,,1,130,,15/05/2018,7,,0.05,3,<0.01,7.3,,10
Fontana pubblica davanti alla cassa rurale / Öffentlicher Brunnen vor Raiffeisenkasse,NAZ-SCIAVES/NATZ-SCHABS,<0.02,,<1,151,,22/03/2018,10,,<0.05,3,<0.01,7.7,,16
"Rathaus Schabs, Peter-Kemenater-Str. 18/Rathaus Schabs, Peter-Kemenater-Str. 18",NAZ-SCIAVES/NATZ-SCHABS,<0.02,,1,124,,15/05/2018,6,,<0.05,3,<0.01,7.2,,10
"Rathaus Schabs, Peter-Kemenater-Str. 18/Rathaus Schabs, Peter-Kemenater-Str. 18 - WH WC",NAZ-SCIAVES/NATZ-SCHABS,<0.02,<1,1,125,<1,07/02/2018,7,<10,<0.05,3,<0.01,7.5,2,12
"Rathaus Schabs, Peter-Kemenater-Str. 18/Rathaus Schabs, Peter-Kemenater-Str. 18, WH WC",NAZ-SCIAVES/NATZ-SCHABS,<0.02,,<1,152,,22/03/2018,10,,0.06,3,<0.01,7.7,,16
Scuola materna Rasa / Kindergarten Raas,NAZ-SCIAVES/NATZ-SCHABS,<0.02,,<1,115,,11/12/2018,6,,0.05,3,<0.01,7.5,,10
"Scuola materna Rasa / Kindergarten Raas, WH WC",NAZ-SCIAVES/NATZ-SCHABS,<0.02,,<1,152,,22/03/2018,10,,<0.05,3,<0.01,7.7,,16
"Viumser Speck snc, via S. Maddalena n.2 / Viumser Speck OHG, St. Magdalena Straße 2",NAZ-SCIAVES/NATZ-SCHABS,<0.02,<1,<1,123,<1,20/06/2018,7,<10,0.17,3,<0.01,7.6,2,11
Fontana pubblica presso Chiesa / Öffentlicher Brunnen vor Kirche,NOVA LEVANTE/WELSCHNOFEN,<0.02,<1,<1,320,<1,13/09/2018,19,<10,<0.05,2,<0.01,7.7,<1,6
Fontana pubblica presso Municipio / Öffentlicher Brunnen vor Rathaus,NOVA LEVANTE/WELSCHNOFEN,<0.02,,3,349,,26/06/2018,20,,0.15,3,<0.01,7.9,,51
GH Luis  / GH Luis,NOVA LEVANTE/WELSCHNOFEN,<0.02,,<1,254,,30/01/2018,16,,<0.05,2,<0.01,7.9,,40
Gasthaus Meierei / Gasthaus Meierei,NOVA LEVANTE/WELSCHNOFEN,<0.02,<1,<1,187,<1,10/03/2018,9,13,<0.05,2,<0.01,8.2,<1,10
Hotel Latemar / Hotel Latemar,NOVA LEVANTE/WELSCHNOFEN,<0.02,<1,<1,218,<1,17/01/2018,14,<10,<0.05,2,<0.01,8.0,<1,8
Scuola Media / Mittelschule,NOVA LEVANTE/WELSCHNOFEN,<0.02,,2,346,,30/01/2018,22,,<0.05,3,<0.01,7.9,,58
WC pubblici vicino ufficio skipass/Öff. Toiletten bei Skipassbüro,NOVA LEVANTE/WELSCHNOFEN,<0.02,,<1,298,,30/01/2018,19,,<0.05,2,<0.01,7.9,,13
Asilo Eggen / Kindergarten Eggen,NOVA PONENTE/DEUTSCHNOFEN,<0.02,<1,<1,402,<1,28/03/2018,27,12,0.09,2,<0.01,7.9,2,110
Asilo Monte S. Pietro / Kindergarten Petersberg,NOVA PONENTE/DEUTSCHNOFEN,<0.02,,1,199,,28/03/2018,13,,0.1,3,<0.01,8.0,,36
