alias_address,alias_city,ammoniaca,arsenico,cloruro,conducibilita,cromo,data_report,durezza,ferro,fluoruri,nitrato,nitrito,ph,sodio,solfato
"Gasthof Majestic, Lüsnerstr. 29 / Albergo Majestic, Via Luson 29",BRESSANONE/BRIXEN,<0.02,<1,<1,77,<1,27/06/2018,4,<10,0.09,2,<0.01,7.7,2,7
"Haka SpA, Competence.Center, Perara 79/A/Haka AG, Competence.Center, Pairdorf 79/A; WH Theke",BRESSANONE/BRIXEN,<0.02,<1,1,58,<1,18/04/2018,3,1430,0.13,<1,<0.01,7.7,2,10
"Hotel Gasserhof, Via Paese 31 - S. Andrea / Hotel Gasserhof, Dorfstrasse 31 - St. Andrä; WH Bar",BRESSANONE/BRIXEN,<0.02,<1,<1,74,<1,28/05/2018,4,<10,0.12,3,<0.01,8.0,2,7
"Hotel Rosalpina, Palmschoss 292  /  Hotel Rosalpina, Palmschoss 292;; WH Bar",BRESSANONE/BRIXEN,<0.02,<1,<1,25,<1,10/08/2018,<1,<10,<0.05,2,<0.01,6.6,1,2
"Hotel Schlemmer, Plancios 294 / Berghotel Schlemmer, Palmschoss 294 ; WH Bar",BRESSANONE/BRIXEN,<0.02,<1,<1,34,<1,10/08/2018,1,<10,0.06,3,<0.01,6.7,2,3
"Laboratorio riabilitativo ""Kastell"", Via Otto von Guggenberg 44 / Reha- Werkstatt ""Kastell"", Otto von Guggenbergstr. 44 - WH WC",BRESSANONE/BRIXEN,<0.02,<1,<1,74,<1,27/06/2018,4,<10,0.07,2,<0.01,8.1,2,8
"Laboratorio riabilitativo ""Kastell"", Via Otto von Guggenberg 44 / Reha- Werkstatt ""Kastell"", Otto von Guggenbergstr. 44; WH WC",BRESSANONE/BRIXEN,<0.02,,<1,70,,26/11/2018,3,,0.09,3,<0.01,8.6,,7
"Macello Valle Isarco, Via Julius Durst, 90 / Schlachthof Brixen, Durststr. 90",BRESSANONE/BRIXEN,<0.02,<1,<1,68,<1,05/08/2018,3,<10,0.07,2,<0.01,7.8,1,8
"Macello Valle Isarco, Via Julius Durst, 90 / Schlachthof Brixen, Durststr. 90; WH WC",BRESSANONE/BRIXEN,<0.02,,<1,70,,26/11/2018,3,,0.06,2,<0.01,8.2,,9
"Ospedale di Bressanone, Via Dante 53, radiologia / Krankenhaus Brixen, Dantestr. 53, Radiologie",BRESSANONE/BRIXEN,<0.02,,<1,64,,14/03/2018,4,,0.07,2,<0.01,8.2,,9
"Ospedale di Bressanone, Via Dante 53, radiologia / Krankenhaus Brixen, Dantestr. 53, Radiologie; WH WC",BRESSANONE/BRIXEN,<0.02,,<1,70,,26/11/2018,3,,0.06,2,<0.01,8.5,,9
Privato/Privat,BRESSANONE/BRIXEN,<0.02,,<1,65,,31/05/2018,3,,0.1,2,<0.01,9.1,,6
"Ristorante Plose-Stodl, via della Funivia, 15/Restaurant Plose-Stodl, Seilbahnstr. 15; WH Bar",BRESSANONE/BRIXEN,<0.02,<1,<1,81,<1,23/08/2018,4,<10,0.08,2,<0.01,8.3,2,7
"Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5/A / Kindergarten St.Andrä, Vinzenz Goller Weg 5/A",BRESSANONE/BRIXEN,<0.02,<1,<1,77,<1,21/11/2018,3,<10,0.09,2,<0.01,8.3,2,7
"Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5/A / Kindergarten St.Andrä, Vinzenz Goller Weg 5/A - WH Küche",BRESSANONE/BRIXEN,<0.02,,<1,80,,10/10/2018,4,,0.09,3,<0.01,8.1,,7
"Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5/A / Kindergarten St.Andrä, Vinzenz Goller Weg 5/A; WH Küche",BRESSANONE/BRIXEN,<0.02,,<1,72,,28/05/2018,4,,0.1,3,<0.01,8.4,,7
"Scuola dell'infanzia Anna Seidner, Via Kaspar von Kempter 5 / Kindergarten Anna Seidner, Kaspar von Kempterweg 5",BRESSANONE/BRIXEN,<0.02,,11,331,,14/03/2018,19,,0.08,11,<0.01,7.9,,35
"Scuola dell'infanzia Anna Seidner, Via Kaspar von Kempter 5 / Kindergarten Anna Seidner, Kaspar von Kempterweg 5; WH Küche",BRESSANONE/BRIXEN,<0.02,,1,430,,26/11/2018,11,,<0.05,2,<0.01,7.9,,17
"Scuola dell'infanzia Arcobaleno, Via Wolkenstein 201 / Kindergarten Arcobaleno, Wolkensteinstr. 201 - WH Wäscherei",BRESSANONE/BRIXEN,<0.02,,<1,74,,13/03/2018,4,,0.07,2,<0.01,8.0,,8
"Scuola dell'infanzia Arcobaleno, Via Wolkenstein 201 / Kindergarten Arcobaleno, Wolkensteinstr. 201; WH Wäscherei",BRESSANONE/BRIXEN,<0.02,,<1,76,,26/11/2018,4,,0.09,3,<0.01,8.5,,7
"Scuola elementare Albes, Albes 1 / Grundschule Albeins, Albeins 1; WH WC",BRESSANONE/BRIXEN,<0.02,,7,261,,26/04/2018,14,,0.23,5,<0.01,7.0,,42
"Scuola elementare Varna, Via Salern 5 / Grundschule Vahrn, Salernstr. 5 - WH WC",BRESSANONE/BRIXEN,<0.02,,<1,64,,14/03/2018,4,,0.06,2,<0.01,8.3,,9
"Scuola elementare Varna, Via Salern 5 / Grundschule Vahrn, Salernstr. 5; WH WC",BRESSANONE/BRIXEN,<0.02,,<1,70,,26/11/2018,3,,0.06,2,<0.01,8.2,,9
"Südtiroler Kinderdorf, Via Castelliere 28 / Südtiroler Kinderdorf, Burgfrieden 28; WH Kochnische",BRESSANONE/BRIXEN,<0.02,,<1,76,,26/11/2018,4,,0.07,2,<0.01,8.5,,9
"The Vista Hotel, Plancios 291B / The Vista Hotel, Palmschoss 291B",BRESSANONE/BRIXEN,<0.02,<1,<1,63,<1,18/06/2018,3,<10,0.06,<1,<0.01,8.6,2,5
"Uffici comunali, Piazza Maria Hueber 3 / Gemeindehaus Maria Hueber Platz 3; WH WC",BRESSANONE/BRIXEN,<0.02,<1,<1,65,<1,07/04/2018,3,<10,0.05,2,<0.01,8.0,<1,9
Fontana pubblica piazza Von Ferrari / öff. Brunnen Von Ferrariplatz,BRONZOLO/BRANZOLL,<0.02,,7,372,,28/05/2018,23,,0.85,5,<0.01,7.8,,42
fontana pubblica Via Dogana / Öffentlicher Brunnen Zollamtstrasse,BRONZOLO/BRANZOLL,<0.02,1,7,371,<1,24/09/2018,19,<10,0.9,5,<0.01,7.8,6,42
Bar Agip / Bar Agip,BRUNICO/BRUNECK,<0.02,,2,114,,26/03/2018,8,,0.14,2,<0.01,8.1,,13
Distretto / Sprengel,BRUNICO/BRUNECK,<0.02,,1,111,,20/11/2018,6,,0.23,1,<0.01,8.8,,11
Fontana / Brunnen,BRUNICO/BRUNECK,<0.02,,14,201,,22/05/2018,10,,1,2,<0.01,7.7,,13
Fontana Schlemmerstube / Brunnen Schlemmerstube,BRUNICO/BRUNECK,<0.02,,<1,100,,25/09/2018,5,,0.15,1,<0.01,8.3,,11
Fontana Waldheim / Brunnen Waldheim,BRUNICO/BRUNECK,<0.02,,<1,209,,16/05/2018,11,,0.06,2,<0.01,7.6,,17
Fontana chiesa / Brunnen Kirche,BRUNICO/BRUNECK,<0.02,2,13,220,<1,30/05/2018,12,<10,0.15,14,<0.01,7.6,5,8
Fontana parrocchia / Brunnen Pfarre,BRUNICO/BRUNECK,<0.02,,<1,101,,19/07/2018,5,,0.1,1,<0.01,8.2,,15
Herzlalm / Herzlalm,BRUNICO/BRUNECK,<0.02,<1,<1,81,<1,12/10/2018,4,<10,<0.05,4,<0.01,7.5,1,5
Kron  / Kron,BRUNICO/BRUNECK,<0.02,<1,2,61,<1,12/10/2018,2,53,<0.05,3,<0.01,6.8,1,5
Latte montagna Alto Adige / Bergmilch Südtirol,BRUNICO/BRUNECK,<0.02,,<1,165,,19/07/2018,8,,0.1,1,<0.01,7.6,,11
Luns / Luns,BRUNICO/BRUNECK,<0.02,2,<1,94,<1,16/07/2018,4,<10,0.1,1,<0.01,7.8,1,10
Prosl / Prosl,BRUNICO/BRUNECK,<0.02,,<1,210,,26/03/2018,15,,0.07,2,<0.01,7.6,,22
Scuola media Röd / Mittelschule Röd,BRUNICO/BRUNECK,<0.02,,1,205,,20/11/2018,10,,0.11,2,<0.01,7.5,,18
