alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
F.P. - MOTTA B. - P.zza PIERINO GABOARDI,Motta Baluffi,<0.1,2,389,115,18,724, 15/11/2019,38,135,0.05,23.3,<5,7,<0.05,8.0,1.09,449,20,25
F.P. - SOLAROLO MONASTEROLO - Via Riglio,Motta Baluffi,<0.1,3,395,115,18,723, 15/11/2019,38,23,0.05,23.0,<5,7,<0.05,7.9,1.03,448,20,25
F.P. - CIRCONVALL. SUD,Offanengo,<0.1,1,408,137,46,902, 15/11/2019,44,<5,0.10,24.3,<5,31,<0.05,7.3,1.55,559,24,54
F.P. - F.LLI CERVI,Offanengo,<0.1,1,409,137,47,903, 15/11/2019,44,<5,0.08,24.2,<5,29,<0.05,7.3,1.66,560,25,56
F.P. - P.ZA PARI,Ostiano,<0.1,4,300,74,5,502, 15/11/2019,25,22,0.05,17.2,<5,3,<0.05,7.8,0.82,311,13,<1
F.P. - OSSOLARO - LAZZARI,Paderno Ponchielli,<0.1,2,291,82,4,472, 15/11/2019,25,<5,0.08,11.4,<5,2,<0.05,7.7,1.18,292,8,1
F.P. - CASCINE GANDINI - P.ZZA CHIESA,Palazzo Pignano,<0.1,5,248,58,1,433, 15/11/2019,22,<5,0.06,18.2,<5,1,<0.05,7.9,1.67,268,8,15
F.P. - P. MARCONI,Palazzo Pignano,<0.1,5,236,59,1,431, 15/11/2019,22,<5,0.05,18.5,<5,<1,<0.05,8.0,1.73,267,8,15
F.P. - SCANNABUE - MARCHESANI,Palazzo Pignano,<0.1,4,245,59,1,430, 15/11/2019,22,<5,0.05,18.5,<5,1,<0.05,8,1.74,267,8,15
F.P._FRAZ. NOSADELLO VIA MOLINO,Pandino,<0.1,1,223,57,1,417, 15/11/2019,21,<5,0.05,17.7,<5,<1,<0.05,7.9,2.04,258,5,19
F.P. - BETTENESCO - DALLA CHIESA,Persico  Dosimo,<0.1,7,303,83,8,513, 15/11/2019,25,34,<0.05,11.6,<5,3,<0.05,7.8,1.04,318,16,<1
F.P. - DOSIMO - MUNICIPIO - P.zza ROMA,Persico  Dosimo,<0.1,6,306,83,8,514, 15/11/2019,25,39,<0.05,11.9,<5,3,<0.05,7.9,1.05,319,16,<1
F.P. - PERSICHELLO - GIARDINI di Via LARGO OSTIANO,Persico  Dosimo,<0.1,4,317,84,8,512, 15/11/2019,25,48,<0.05,11.5,<5,3,<0.05,7.8,1.06,317,16,<1
F.P. - PERSICO - CHIESA - P.zza Mons. AVOSANI,Persico  Dosimo,<0.1,9,308,83,8,513, 15/11/2019,25,366,<0.05,11.7,<5,3,<0.05,7.9,1.06,318,16,<1
F.P. - PESCAROLO - P.zza GARIBALDI,Pescarolo,<0.1,7,313,87,2,527, 15/11/2019,26,<5,0.08,12.0,<5,7,<0.05,8.0,1.04,326,15,6
F.P. - PIEVE TERZAGNI - P.ZA MARTIRI,Pescarolo,<0.1,7,312,88,2,525, 15/11/2019,26,<5,0.08,11.8,<5,7,<0.05,7.9,1.09,325,15,6
F.P. - MONTICELLI R/O - BAROLI,Pessina Cremonese,<0.1,7,309,89,2,529, 15/11/2019,27,<5,0.08,12.0,<5,7,<0.05,8.0,1.00,328,15,6
F.P. - PESSINA CR. - SCUOLE - Via MAGNINI,Pessina Cremonese,<0.1,7,307,88,2,529, 15/11/2019,26,12,0.08,12.0,<5,7,<0.05,8,1.05,328,15,6
F.P. - STILO DE' MARIANI - IV NOVEMBRE,Pessina Cremonese,<0.1,7,310,87,2,529, 15/11/2019,26,<5,0.08,12.2,<5,7,<0.05,8.0,1.06,328,15,6
F.P. - GIARDINI -V.DOSSO angolo V.CAVALLOTTI,Piadena,<0.1,3,279,71,7,495, 15/11/2019,24,<5,0.05,15.2,<5,5,<0.05,7.8,1.11,307,16,<1
F.P. - PENSILE,Piadena,<0.1,3,287,73,7,499, 15/11/2019,24,9,0.05,15.6,<5,5,<0.05,7.8,0.87,309,17,<1
F.P. - S. PAOLO R/O,Piadena,<0.1,3,287,73,7,499, 15/11/2019,24,<5,<0.05,15.6,<5,5,<0.05,7.8,0.87,309,17,<1
F.P.- P.ZZA DELLA PESA,Pianengo,<0.1,2,371,128,22,803, 15/11/2019,42,<5,0.05,26.4,<5,18,<0.05,7.3,1.32,498,9,79
F.P. - PIERANICA - MARCONI,Pieranica,<0.1,2,232,66,2,457, 15/11/2019,24,13,0.06,19.1,<5,1,<0.05,7.9,2.35,283,4,31
F.P. - PIEVE D'OLMI - QUAINI,Pieve d'Olmi,<0.1,5,299,76,8,505, 15/11/2019,24,100,0.07,12.6,<5,6,<0.05,7.8,1.01,313,19,<1
