alias_address,alias_city,geocode,geometry,georeferencingString,type
F.P. - NOCI GARIONI - VIA VERDI,Corte de'  Frati,"Noci Garioni, Corte de' Frati, Cremona","{'type': 'Point', 'coordinates': [10.082350000000076, 45.22421000000003]}","NOCI GARIONI - VIA VERDI, Corte de'  Frati, Lombardia",POINT
F.P. - CIGNONE - V. DALLA CHIESA,Corte de' Cortesi,"Corte de' Cortesi, Corte de' Cortesi con Cignone, Cremona","{'type': 'Point', 'coordinates': [10.002520000000061, 45.27428000000003]}","CIGNONE - V. DALLA CHIESA, Corte de' Cortesi, Lombardia",POINT
F.P. - Corte C. - Via L. BISSOLATI,Corte de' Cortesi,"Corte de' Cortesi, Corte de' Cortesi con Cignone, Cremona","{'type': 'Point', 'coordinates': [10.002520000000061, 45.27428000000003]}","Corte C. - Via L. BISSOLATI, Corte de' Cortesi, Lombardia",POINT
F.P. - CREDERA - VIA ROMA,Credera  Rubbiano,"Via Roma, 26010, Credera Rubbiano, Cremona","{'type': 'Point', 'coordinates': [9.656457379875945, 45.302570800310136]}","CREDERA - VIA ROMA, Credera  Rubbiano, Lombardia",POINT
F.P. - ROVERETO - V. MOSCAZZANO,Credera  Rubbiano,"Via Moscazzano, 26010, Credera Rubbiano, Cremona","{'type': 'Point', 'coordinates': [9.666465716329157, 45.29704228653168]}","ROVERETO - V. MOSCAZZANO, Credera  Rubbiano, Lombardia",POINT
F.P. - RUBBIANO - VIA RUBBIANO,Credera  Rubbiano,"Rubbiano, Credera Rubbiano, Cremona","{'type': 'Point', 'coordinates': [9.638970000000029, 45.30382000000003]}","RUBBIANO - VIA RUBBIANO, Credera  Rubbiano, Lombardia",POINT
F.P. -  VIA SINIGAGLIA,Crema,"Via Sinigaglia, 26013, Crema, Cremona","{'type': 'Point', 'coordinates': [9.690198193184568, 45.356393767440096]}"," VIA SINIGAGLIA, Crema, Lombardia",POINT
F.P. - VIA ALBERGONI,Crema,"Via Guido Albergoni, 26013, Crema, Cremona","{'type': 'Point', 'coordinates': [9.726843452266069, 45.35849963323569]}","VIA ALBERGONI, Crema, Lombardia",POINT
F.P. - VIA BRUNELLI,Crema,"Via Gian Battista Brunelli, 26013, Crema, Cremona","{'type': 'Point', 'coordinates': [9.67643885694913, 45.37832647441454]}","VIA BRUNELLI, Crema, Lombardia",POINT
F.P. - VIA MULINI,Crema,"Via Mulini, 26013, Crema, Cremona","{'type': 'Point', 'coordinates': [9.692475798437755, 45.38196596556874]}","VIA MULINI, Crema, Lombardia",POINT
F.P. - VIA TOFFETTI,Crema,"Via Toffetti, 26013, Crema, Cremona","{'type': 'Point', 'coordinates': [9.65776393916225, 45.35288537462826]}","VIA TOFFETTI, Crema, Lombardia",POINT
F.P. - VIA XI FEBBRAIO,Crema,"Via XI Febbraio, 26013, Crema, Cremona","{'type': 'Point', 'coordinates': [9.70682619423408, 45.36544355081443]}","VIA XI FEBBRAIO, Crema, Lombardia",POINT
F.P.- BAGNARA,Cremona,"Bagnara, Cremona","{'type': 'Point', 'coordinates': [10.074100000000044, 45.11597000000006]}","F.P.- BAGNARA, Cremona, Lombardia",POINT
F.P.- BARRIERA PO,Cremona,Cremona,"{'type': 'Point', 'coordinates': [10.015210000000025, 45.14241000000004]}","F.P.- BARRIERA PO, Cremona, Lombardia",POINT
F.P.- BOSCHETTO,Cremona,"Boschetto, Cremona","{'type': 'Point', 'coordinates': [10.027570000000026, 45.165590000000066]}","F.P.- BOSCHETTO, Cremona, Lombardia",POINT
F.P.- CAVATIGOZZI,Cremona,"Cava Tigozzi, Cremona","{'type': 'Point', 'coordinates': [9.954140000000052, 45.151650000000075]}","F.P.- CAVATIGOZZI, Cremona, Lombardia",POINT
F.P.- GERRE BORGHI,Cremona,"Via Gerre Borghi, 26100, Cremona","{'type': 'Point', 'coordinates': [10.060661986531123, 45.10330725762579]}","F.P.- GERRE BORGHI, Cremona, Lombardia",POINT
F.P.- MARISTELLA,Cremona,"Maristella, Cremona","{'type': 'Point', 'coordinates': [10.050600000000031, 45.15005000000008]}","F.P.- MARISTELLA, Cremona, Lombardia",POINT
F.P.- MIGLIARO,Cremona,"Migliaro, Cremona","{'type': 'Point', 'coordinates': [10.012440000000026, 45.16005000000007]}","F.P.- MIGLIARO, Cremona, Lombardia",POINT
F.P.- PIAZZA 4 NOVEMBRE,Cremona,"Piazza 4 Novembre, 26100, Cremona","{'type': 'Point', 'coordinates': [10.03389798150498, 45.13377209529852]}","F.P.- PIAZZA 4 NOVEMBRE, Cremona, Lombardia",POINT
F.P.- PIAZZA CASTELLO,Cremona,"Piazza Castello, 26100, Cremona","{'type': 'Point', 'coordinates': [10.011186374158694, 45.140080746073956]}","F.P.- PIAZZA CASTELLO, Cremona, Lombardia",POINT
F.P.- PIAZZA GIOVANNI XXIII,Cremona,"Via Giovanni XXIII, 26020, San Bassano, Cremona","{'type': 'Point', 'coordinates': [9.809832287447193, 45.24015555486603]}","F.P.- PIAZZA GIOVANNI XXIII, Cremona, Lombardia",POINT
F.P.- PIAZZA LIBERTA,Cremona,"Piazza Libertà, 26048, Sospiro, Cremona","{'type': 'Point', 'coordinates': [10.156908130105858, 45.105980651369826]}","F.P.- PIAZZA LIBERTA, Cremona, Lombardia",POINT
F.P.- PIAZZA PACE,Cremona,"Via della Pace, 26010, Montodine, Cremona","{'type': 'Point', 'coordinates': [9.703179089496295, 45.287037790983966]}","F.P.- PIAZZA PACE, Cremona, Lombardia",POINT
F.P.- PIAZZA S.ANNA,Cremona,"Piazza Sant'Anna, 26010, Bagnolo Cremasco, Cremona","{'type': 'Point', 'coordinates': [9.603746999999993, 45.36467550000001]}","F.P.- PIAZZA S.ANNA, Cremona, Lombardia",POINT
F.P.- PICENENGO,Cremona,"Picenengo, Cremona","{'type': 'Point', 'coordinates': [9.98222000000004, 45.151200000000074]}","F.P.- PICENENGO, Cremona, Lombardia",POINT
F.P.- S.FELICE,Cremona,"Via San Felice, 26100, Cremona","{'type': 'Point', 'coordinates': [10.074412406558515, 45.14184294325693]}","F.P.- S.FELICE, Cremona, Lombardia",POINT
F.P.- S.SAVINO,Cremona,"Via San Savino, 26100, Cremona","{'type': 'Point', 'coordinates': [10.096862441883811, 45.14086530722431]}","F.P.- S.SAVINO, Cremona, Lombardia",POINT
F.P.- STAZIONE FF.SS.,Cremona,"Piazza Stazione, 26100, Cremona","{'type': 'Point', 'coordinates': [10.018475911212953, 45.142677625121344]}","F.P.- STAZIONE FF.SS., Cremona, Lombardia",POINT
