alias_city,alias_address,georeferencingString,type
Cumignano S/N,F.P. - Cumignano - V.TICENGO,"Cumignano - V.TICENGO, Cumignano S/N, Lombardia",POINT
Derovere,F.P. - DEROVERE - P.ZA S. GIORGIO,"DEROVERE - P.ZA S. GIORGIO, Derovere, Lombardia",POINT
Dovera,F.P. - POSTINO - V.VITT. EMANUELE,"POSTINO - V.VITT. EMANUELE, Dovera, Lombardia",POINT
Dovera,F.P. - RONCADELLO - Via della Chiesa,"RONCADELLO - Via della Chiesa, Dovera, Lombardia",POINT
Drizzona,F.P. - DRIZZONA - V.TRENTO TRIESTE,"DRIZZONA - V.TRENTO TRIESTE, Drizzona, Lombardia",POINT
Fiesco,F.P. - PIAZZA MAGGIORE,"PIAZZA MAGGIORE, Fiesco, Lombardia",POINT
Formigara,F.P. - CORNALETO - VIA A.DIAZ,"CORNALETO - VIA A.DIAZ, Formigara, Lombardia",POINT
Gabbioneta Binanuova,F.P. - BINANUOVA - P.ZZA GARIBALDI,"BINANUOVA - P.ZZA GARIBALDI, Gabbioneta Binanuova, Lombardia",POINT
Gabbioneta Binanuova,F.P. - GABBIONETA - Via del PATRIOTA,"GABBIONETA - Via del PATRIOTA, Gabbioneta Binanuova, Lombardia",POINT
Gadesco Pieve Delmona,F.P. - CA' DE' QUINZANI - PASUBIO,"CA' DE' QUINZANI - PASUBIO, Gadesco Pieve Delmona, Lombardia",POINT
Gadesco Pieve Delmona,F.P. - PIEVE DELMONA - P.ZA CHIESA,"PIEVE DELMONA - P.ZA CHIESA, Gadesco Pieve Delmona, Lombardia",POINT
Gadesco Pieve Delmona,F.P. - VIA BERLINGUER,"VIA BERLINGUER, Gadesco Pieve Delmona, Lombardia",POINT
Genivolta,F.P. - ORTAGLIA,"ORTAGLIA, Genivolta, Lombardia",POINT
Gerre de' Caprioli,"F.P. - NOLLI (Via Nolli, 2 Gerre de' Caprioli)","NOLLI (Via Nolli, 2 Gerre de' Caprioli), Gerre de' Caprioli, Lombardia",POINT
Gombito,F.P. - MARCONI,"MARCONI, Gombito, Lombardia",POINT
Grontardo,F.P. - LEVATA GR. - SCUOLE - V. Giovanni XXIII,"LEVATA GR. - SCUOLE - V. Giovanni XXIII, Grontardo, Lombardia",POINT
Grontardo,F.P. - MUNICIPIO - P.ZZA ROMA,"MUNICIPIO - P.ZZA ROMA, Grontardo, Lombardia",POINT
Grumello Cremonese,F.P. - CADUTI DELLA PATRIA,"CADUTI DELLA PATRIA, Grumello Cremonese, Lombardia",POINT
Grumello Cremonese,F.P. - ZANENGO - P.ZA S. MATERNO,"ZANENGO - P.ZA S. MATERNO, Grumello Cremonese, Lombardia",POINT
Gussola,F.P. - C/O USCITA IMPIANTO,"C/O USCITA IMPIANTO, Gussola, Lombardia",POINT
Gussola,F.P. - CIMITERO,"CIMITERO, Gussola, Lombardia",POINT
Gussola,F.P. - XIII MARTIRI - V.ROMA,"XIII MARTIRI - V.ROMA, Gussola, Lombardia",POINT
Isola dovarese,F.P. - Isola - P. MATTEOTTI,"Isola - P. MATTEOTTI, Isola dovarese, Lombardia",POINT
Izano,F.P. - P. MARCONI,"P. MARCONI, Izano, Lombardia",POINT
Madignano,F.P. - I MAGGIO,"I MAGGIO, Madignano, Lombardia",POINT
Madignano,F.P. - RIPALTA VECCHIA - VAL SERIO,"RIPALTA VECCHIA - VAL SERIO, Madignano, Lombardia",POINT
Malagnino,F.P. - S. GIACOMO LOVARA - Via S.GIACOMO – MALAGNINO,"S. GIACOMO LOVARA - Via S.GIACOMO – MALAGNINO, Malagnino, Lombardia",POINT
Martignana Po,F.P. - Martignana - CA' DEL FERRO,"Martignana - CA' DEL FERRO, Martignana Po, Lombardia",POINT
Monte Cremasco,F.P. - MONTE - MATTEOTTI,"MONTE - MATTEOTTI, Monte Cremasco, Lombardia",POINT
Montodine,F.P. - MORO,"MORO, Montodine, Lombardia",POINT
Montodine,F.P. - Via dei CAMPI,"Via dei CAMPI, Montodine, Lombardia",POINT
Moscazzano,F.P. - ROMA,"ROMA, Moscazzano, Lombardia",POINT
Motta Baluffi,F.P. - MOTTA B. - P.zza PIERINO GABOARDI,"MOTTA B. - P.zza PIERINO GABOARDI, Motta Baluffi, Lombardia",POINT
