alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Trento - Sud - Romagnano,Trento,<0.04,<0.5,220,23.0,0.01,3.2,317,27-01-2020,8.1,<0.05,5.7,3.2,3.0,<0.01,7.80,0.8,203,52.0,2.6
Trento - Valsorda,Trento,<0.04,<0.5,220,40.4,0.01,0.6,303,02-12-2019,19.0,0.05,21.7,<1.50,1.9,<0.01,7.77,0.3,193.92000000000002,0.4,3.8
Trento - Vason,Trento,<0.04,<0.5,220,57.7,0.03,4.4,310,26-02-2020,17.0,<0.05,7.0,5.2,4.2,<0.01,7.84,0.5,198,1.4,3.2
Trento - Vigo Meano,Trento,<0.04,0.6,160,67.0,<0.01,7.0,374,02-03-2020,24.0,0.17,18.1,<1.50,6.1,<0.01,7.94,1.4,239,5.6,91.0
Trento - Vigolo Baselga,Trento,<0.04,6.8,210,55.3,0.01,14.4,385,26-02-2020,20.0,0.14,15.3,<1.50,7.4,<0.01,7.95,2.3,246,11.0,31.6
Trento - Villamontagna,Trento,<0.04,6.1,210,57.5,<0.01,17.2,397,13-01-2020,21.0,0.20,15.7,<1.50,8.0,<0.01,8.06,2.5,254,11.7,32.2
Trento - Villazzano,Trento,<0.04,<0.5,260,70.8,0.01,4.8,441,02-03-2020,31.0,<0.05,31.7,<1.50,6.0,<0.01,7.84,0.7,282,3.1,49.7
Trento - Zona Via Brescia,Trento,<0.04,<0.5,340,128.4,0.01,43.3,609,02-03-2020,39.0,0.07,18.1,8.3,<0.1,<0.01,7.36,1.1,390,9.1,27.1
Trento - Zona via Asiago,Trento,<0.04,3.7,190,69.3,0.01,13.3,408,02-03-2020,24.0,0.17,16.0,<1.50,12.5,<0.01,7.76,2.3,261,9.0,64.7
Volano - Rete Alta,Volano,<0.04,<0.5,160,39.6,0.06,0.6,218,02-03-2020,15.0,<0.05,13.5,<1.50,2.2,<0.01,7.91,0.4,140,0.5,9.6
Volano - Rete Bassa,Volano,<0.04,<0.5,150,39.5,0.06,0.5,218,02-03-2020,15.0,<0.05,13.5,<1.50,2.3,<0.01,7.88,0.4,140,0.6,9.7
