alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Acquedotto Brugnato capoluogo,BRUGNATO,<0.05,0.20,225,48.4,0.11,11.5,343,16/10/19,18.7,0.1,16,<5,1.5,<0.05,7.7,1.2,1183.1,12.2,17.9
Acquedotto  S. Maria Cassorane,CALICE AL CORNOVIGLIO,<0.05,<0.05,67.7,22.3,,6.5,129,13/02/19,5.8,<0.05,0.6,<5,1.6,<0.05,8.0,0.6,111.6,5.1,7.2
Acquedotto Borseda,CALICE AL CORNOVIGLIO,<0.05,1.00,70,23.3,0.02,4.9,128,21/11/19,6.5,<0.05,1.6,<5,2.4,<0.05,8.5,0.7,115.7,4.8,8.4
Acquedotto Bruscarolo,CALICE AL CORNOVIGLIO,<0.05,0.30,49,14.3,0.23,6,90,21/11/19,4.2,<0.05,1.6,<5,0.7,<0.05,7.3,0.6,81.6,5.2,4.4
Acquedotto Castello,CALICE AL CORNOVIGLIO,<0.05,0.10,69,21.6,0.13,7.1,131,13/02/19,5.7,<0.05,0.8,<5,1.3,<0.05,7.9,0.6,111.5,5.3,5.8
Acquedotto Debeduse,CALICE AL CORNOVIGLIO,<0.05,0.90,67,22.7,0,5.5,128,21/11/19,6.3,<0.05,1.5,<5,2.3,<0.05,8.1,0.7,113.6,5.2,8.6
Acquedotto Nasso,CALICE AL CORNOVIGLIO,<0.05,0.50,49,14.7,0.07,5.3,90,21/11/19,4.3,<0.05,1.6,,0.8,<0.05,7.4,0.7,81.2,4.6,4.7
Acquedotto Pegui,CALICE AL CORNOVIGLIO,<0.05,<0.05,148.3,50.4,0.18,14.7,276,13/02/19,13.8,<0.05,3.1,<5,10.6,<0.05,7.8,1.9,255.1,11.6,14.5
Acquedotto Piano di Madrignano,CALICE AL CORNOVIGLIO,<0.05,<0.05,201.4,62.3,0.09,11.9,352,13/02/19,18.2,<0.05,6.4,<5,5,<0.05,7.6,1.1,315.3,8.2,19
Acquedotto S. Maria Beigo,CALICE AL CORNOVIGLIO,<0.05,0.50,83,27.5,0.02,7.7,157,21/11/19,7.8,<0.05,2.4,<5,2,<0.05,7.9,0.7,136.2,6.2,6.7
Acquedotto S. Maria Cassorane,CALICE AL CORNOVIGLIO,<0.05,0.50,74,23.6,0.01,7,133,21/11/19,6.7,<0.05,1.9,<5,0.6,<0.05,7.8,0.7,119,5.4,5.4
Acquedotto Terrugiara,CALICE AL CORNOVIGLIO,<0.05,<0.05,182,57,0.15,6.9,284,21/11/19,16.4,<0.05,5.4,<5,1.9,<0.05,7.8,0.9,270,7.5,8
Acquedotto Tranci,CALICE AL CORNOVIGLIO,<0.05,0.20,145.8,49.4,0.15,11.7,276,13/02/19,13.5,<0.05,2.9,<5,9.4,<0.05,7.8,0.9,243.4,9,14.3
Acquedotto Usurana Alta,CALICE AL CORNOVIGLIO,<0.05,<0.05,203.8,65.2,0.1,14.3,354,13/02/19,18.5,<0.05,5.5,<5,6,<0.05,7.7,1.9,326.4,10.4,19.3
Acquedotto Valdonica,CALICE AL CORNOVIGLIO,<0.05,<0.05,144,49.2,0.18,12,274,13/02/19,13.5,<0.05,3,<5,9.5,<0.05,7.8,1.1,242.5,9.4,14.3
Acquedotto Villagrossa,CALICE AL CORNOVIGLIO,<0.05,1.00,97,37.8,0.04,5.7,196,21/11/19,10.4,<0.05,2.3,<5,1.2,<0.05,7.9,0.8,170.4,4.9,20.7
Acquedotto Agnola,CARRO,<0.05,,165,47.2,0.43,8.3,248,05/12/19,14,<0.05,5.6,<5,0.2,<0.05,7.8,0.5,238.6,6.6,4.9
Acquedotto Carro Capoluogo Castellaro,CARRO,<0.05,,117,22.5,0.08,6,180,05/12/19,9.4,<0.05,9.1,<5,0.2,<0.05,7.7,0.3,164.44,6.4,3.4
Acquedotto Carro Capoluogo Costa,CARRO,<0.05,,138,32.9,0.16,6.7,212,05/12/19,9.85,<0.05,4,<5,0.4,<0.05,7.5,0.3,192.1,6.3,3.6
Acquedotto Carro capoluogo,CARRO,<0.05,,119,22.6,0.09,6,178,05/12/19,9.4,<0.05,9.1,<5,0.2,<0.05,7.7,0.4,167,6.3,3.4
Acquedotto Carro capoluogo Confraternita,CARRO,<0.05,<0.05,94.6,21.3,0.15,8.3,160,29/05/19,7.9,<0.05,6.2,<5,0.5,<0.05,7.4,0.2,141.7,5.8,4.8
