alias_city,alias_address,data_report,georeferencingString,type
LUNI (ORTONOVO),Acquedotto Ortonovo capoluogo,04/06/19,"Ortonovo capoluogo, LUNI (ORTONOVO), SP, Liguria",POINT
LUNI (ORTONOVO),Acquedotto Pistello,04/06/19,"Pistello, LUNI (ORTONOVO), SP, Liguria",POINT
LUNI (ORTONOVO),Acquedotto San Giuseppe,06/02/19,"San Giuseppe, LUNI (ORTONOVO), SP, Liguria",POINT
LUNI (ORTONOVO),Acquedotto San Giuseppe,20/03/19,"San Giuseppe, LUNI (ORTONOVO), SP, Liguria",POINT
MONTEROSSO,Acquedotto capoluogo (centro storico),26/02/19,"capoluogo (centro storico), MONTEROSSO, SP, Liguria",POINT
MONTEROSSO,Acquedotto Fegina (Padre Semeria),06/06/19,"Fegina (Padre Semeria), MONTEROSSO, SP, Liguria",POINT
MONTEROSSO,Acquedotto Monte Albereto,26/02/19,"Monte Albereto, MONTEROSSO, SP, Liguria",POINT
MONTEROSSO,Acquedotto Monterosso Fegina,26/02/19,"Monterosso Fegina, MONTEROSSO, SP, Liguria",POINT
PIGNONE,Acquedotto Casale,07/03/19,"Casale, PIGNONE, SP, Liguria",POINT
PIGNONE,Acquedotto Faggiona,07/03/19,"Faggiona, PIGNONE, SP, Liguria",POINT
PIGNONE,Acquedotto Pignone capoluogo,07/03/19,"Pignone capoluogo, PIGNONE, SP, Liguria",POINT
PIGNONE,Acquedotto Puin,07/03/19,"Puin, PIGNONE, SP, Liguria",POINT
PIGNONE,Acquedotto Villa,07/03/19,"Villa, PIGNONE, SP, Liguria",POINT
PORTOVENERE,Acquedotto Le Grazie,22/03/19,"Le Grazie, PORTOVENERE, SP, Liguria",POINT
CARRO,Acquedotto Debbio,07/01/19,"Debbio, CARRO, SP, Liguria",POINT
FOLLO,Acquedotto Bottagna,23/01/19,"Bottagna, FOLLO, SP, Liguria",POINT
LA SPEZIA,Acquedotto La Spezia (P.zza S.Agostino),28/03/19,"La Spezia (P.zza S.Agostino), LA SPEZIA, SP, Liguria",POINT
LA SPEZIA,Acquedotto Ruffino,28/03/19,"Ruffino, LA SPEZIA, SP, Liguria",POINT
RICCO' DEL GOLFO,Acquedotto  Riccò capoluogo,09/01/19,"Riccò capoluogo, RICCO' DEL GOLFO, SP, Liguria",POINT
RICCO' DEL GOLFO,Acquedotto Bovecchio,09/01/19,"Bovecchio, RICCO' DEL GOLFO, SP, Liguria",POINT
RICCO' DEL GOLFO,Acquedotto Carpena,09/01/19,"Carpena, RICCO' DEL GOLFO, SP, Liguria",POINT
RICCO' DEL GOLFO,Acquedotto Falabiana,09/01/19,"Falabiana, RICCO' DEL GOLFO, SP, Liguria",POINT
RICCO' DEL GOLFO,Acquedotto Piandibarca,09/01/19,"Piandibarca, RICCO' DEL GOLFO, SP, Liguria",POINT
RICCO' DEL GOLFO,Acquedotto Ponzò,01/04/19,"Ponzò, RICCO' DEL GOLFO, SP, Liguria",POINT
RICCO' DEL GOLFO,Acquedotto Quaratica,09/01/19,"Quaratica, RICCO' DEL GOLFO, SP, Liguria",POINT
RICCO' DEL GOLFO,Acquedotto S. Benedetto,09/01/19,"S. Benedetto, RICCO' DEL GOLFO, SP, Liguria",POINT
RICCO' DEL GOLFO,Acquedotto Valdipino,09/01/19,"Valdipino, RICCO' DEL GOLFO, SP, Liguria",POINT
RIOMAGGIORE,Acquedotto Riomaggiore capoluogo,24/05/19,"Riomaggiore capoluogo, RIOMAGGIORE, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Beverone,22/01/19,"Beverone, ROCCHETTA VARA, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Casoni,22/01/19,"Casoni, ROCCHETTA VARA, SP, Liguria",POINT
ROCCHETTA VARA,Acquedotto Foce,22/01/19,"Foce, ROCCHETTA VARA, SP, Liguria",POINT
