alias_address,alias_city,data_report,geocode,geometry,georeferencingString,type
Acquedotto Nasso,CALICE AL CORNOVIGLIO,21/11/19,"Nasso, 19020, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.845162263588342, 44.241564763588336]}","Nasso, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Pegui,CALICE AL CORNOVIGLIO,13/02/19,"Pegui, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.860250000000065, 44.21049000000005]}","Pegui, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Piano di Madrignano,CALICE AL CORNOVIGLIO,13/02/19,"Piano di Madrignano, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.844560000000058, 44.200540000000046]}","Piano di Madrignano, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto S. Maria Beigo,CALICE AL CORNOVIGLIO,21/11/19,"Località Santa Maria, 19020, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.847118805038548, 44.24901950314355]}","S. Maria Beigo, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto S. Maria Cassorane,CALICE AL CORNOVIGLIO,21/11/19,"Località Santa Maria, 19020, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.847118805038548, 44.24901950314355]}","S. Maria Cassorane, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Terrugiara,CALICE AL CORNOVIGLIO,21/11/19,"Località Terrugiara, 19020, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.83568350239589, 44.24371312607814]}","Terrugiara, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Tranci,CALICE AL CORNOVIGLIO,13/02/19,"Tranci, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.856040000000064, 44.20811000000003]}","Tranci, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Usurana Alta,CALICE AL CORNOVIGLIO,13/02/19,"Usurana, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.828540000000032, 44.21588000000003]}","Usurana Alta, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Valdonica,CALICE AL CORNOVIGLIO,13/02/19,"Valdonica, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.847190000000069, 44.21112000000005]}","Valdonica, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Villagrossa,CALICE AL CORNOVIGLIO,21/11/19,"Località Villagrossa, 19020, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.830871343861206, 44.25529611105464]}","Villagrossa, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Agnola,CARRO,05/12/19,"Località Agnola, 19012, Carro, SP","{'type': 'Point', 'coordinates': [9.592848834734296, 44.278257026113465]}","Agnola, CARRO, SP, Liguria",POINT
Acquedotto Carro Capoluogo Castellaro,CARRO,05/12/19,"Castello, Carro, SP","{'type': 'Point', 'coordinates': [9.601060000000075, 44.282890000000066]}","Carro Capoluogo Castellaro, CARRO, SP, Liguria",POINT
Acquedotto Carro Capoluogo Costa,CARRO,05/12/19,"Carro, SP","{'type': 'Point', 'coordinates': [9.605120000000056, 44.272830000000056]}","Carro Capoluogo Costa, CARRO, SP, Liguria",POINT
Acquedotto Carro capoluogo,CARRO,05/12/19,"Carro, SP","{'type': 'Point', 'coordinates': [9.605120000000056, 44.272830000000056]}","Carro capoluogo, CARRO, SP, Liguria",POINT
Acquedotto Carro capoluogo Confraternita,CARRO,29/05/19,"Carro, SP","{'type': 'Point', 'coordinates': [9.605120000000056, 44.272830000000056]}","Carro capoluogo Confraternita, CARRO, SP, Liguria",POINT
Acquedotto Carro capoluogo Municipio,CARRO,29/05/19,"Carro, SP","{'type': 'Point', 'coordinates': [9.605120000000056, 44.272830000000056]}","Carro capoluogo Municipio, CARRO, SP, Liguria",POINT
Acquedotto Carro capoluogo via Paganini,CARRO,29/05/19,"Via Niccolò Paganini, 19012, Carro, SP","{'type': 'Point', 'coordinates': [9.611670837532419, 44.27283289836817]}","Carro capoluogo via Paganini, CARRO, SP, Liguria",POINT
Acquedotto Castello,CARRO,05/12/19,"Castello, Carro, SP","{'type': 'Point', 'coordinates': [9.601060000000075, 44.282890000000066]}","Castello, CARRO, SP, Liguria",POINT
Acquedotto Cerreta,CARRO,05/12/19,"Località Cerreta, 19012, Carro, SP","{'type': 'Point', 'coordinates': [9.63839663319093, 44.27320500000001]}","Cerreta, CARRO, SP, Liguria",POINT
Acquedotto Debbio,CARRO,07/01/19,"Debbio, Zignago, SP","{'type': 'Point', 'coordinates': [9.744490000000042, 44.28806000000003]}","Debbio, CARRO, SP, Liguria",POINT
Acquedotto Pavareto,CARRO,05/12/19,"Pavareto, Carro, SP","{'type': 'Point', 'coordinates': [9.591950000000054, 44.271840000000054]}","Pavareto, CARRO, SP, Liguria",POINT
Acquedotto Pavareto Rocche di Maggio,CARRO,05/12/19,"Pavareto, Carro, SP","{'type': 'Point', 'coordinates': [9.591950000000054, 44.271840000000054]}","Pavareto Rocche di Maggio, CARRO, SP, Liguria",POINT
Acquedotto Pera,CARRO,29/05/19,"Pera, 19012, Carro, SP","{'type': 'Point', 'coordinates': [9.582457043245771, 44.30755467405254]}","Pera, CARRO, SP, Liguria",POINT
Acquedotto Ponte S. Margherita,CARRO,05/12/19,"Ponte S. Margherita, Carro, SP","{'type': 'Point', 'coordinates': [9.658380000000022, 44.27488000000005]}","Ponte S. Margherita, CARRO, SP, Liguria",POINT
