alias_city,alias_address,georeferencingString,type,data_report
LEVANTO,Acquedotto Pastine Inferiore,"Pastine Inferiore, LEVANTO, SP, Liguria",POINT,11/03/19
LEVANTO,Acquedotto Ridarolo,"Ridarolo, LEVANTO, SP, Liguria",POINT,17/07/19
LEVANTO,Acquedotto Vignana inferiore,"Vignana inferiore, LEVANTO, SP, Liguria",POINT,11/03/19
LEVANTO,Acquedotto Vignana superiore,"Vignana superiore, LEVANTO, SP, Liguria",POINT,11/03/19
LEVANTO,Casella,"Casella, LEVANTO, SP, Liguria",POINT,18/07/19
LEVANTO,Levanto  capoluogo (loc. Chiesa dei frati),"Levanto  capoluogo (loc. Chiesa dei frati), LEVANTO, SP, Liguria",POINT,11/03/19
LUNI (ORTONOVO),Acquedotto Marcianella,"Marcianella, LUNI (ORTONOVO), SP, Liguria",POINT,04/06/19
LUNI (ORTONOVO),Acquedotto Ortonovo capoluogo,"Ortonovo capoluogo, LUNI (ORTONOVO), SP, Liguria",POINT,04/06/19
LUNI (ORTONOVO),Acquedotto Pistello,"Pistello, LUNI (ORTONOVO), SP, Liguria",POINT,04/06/19
LUNI (ORTONOVO),Acquedotto San Giuseppe,"San Giuseppe, LUNI (ORTONOVO), SP, Liguria",POINT,20/03/19
MONTEROSSO,Acquedotto Fegina,"Fegina, MONTEROSSO, SP, Liguria",POINT,24/07/19
MONTEROSSO,Acquedotto Fegina (Padre Semeria),"Fegina (Padre Semeria), MONTEROSSO, SP, Liguria",POINT,06/06/19
MONTEROSSO,Acquedotto Monte Albereto,"Monte Albereto, MONTEROSSO, SP, Liguria",POINT,26/02/19
MONTEROSSO,Acquedotto Monterosso Fegina,"Monterosso Fegina, MONTEROSSO, SP, Liguria",POINT,26/02/19
MONTEROSSO,Acquedotto capoluogo (centro storico),"capoluogo (centro storico), MONTEROSSO, SP, Liguria",POINT,26/02/19
PIGNONE,Acquedotto Casale,"Casale, PIGNONE, SP, Liguria",POINT,07/03/19
PIGNONE,Acquedotto Faggiona,"Faggiona, PIGNONE, SP, Liguria",POINT,07/03/19
PIGNONE,Acquedotto Pignone capoluogo,"Pignone capoluogo, PIGNONE, SP, Liguria",POINT,07/03/19
PIGNONE,Acquedotto Puin,"Puin, PIGNONE, SP, Liguria",POINT,07/03/19
PIGNONE,Acquedotto Villa,"Villa, PIGNONE, SP, Liguria",POINT,14/10/19
PORTOVENERE,Acquedotto Le Grazie,"Le Grazie, PORTOVENERE, SP, Liguria",POINT,22/03/19
