alias_address,alias_city,ammoniaca,cloro_residuo,cloruro,conducibilita,data_report,ferro,fluoruri,nitrato,nitrito,ph,solfato
"CapoluogoFontana pubblica, via Q. Sella",Acquedotto di Mosso,<0.05,0.13,1.7,49,12/03/2020,29,<0.1,4.7,<0.05,7.2,1.5
Frazione PistolesaFontana giardini via Roma .,Acquedotto di Mosso,<0.05,<0.05,1.7,30,30/11/2016,164,<0.1,3.5,<0.05,7.3,1.7
Frazione Pistolesa.Punto ASL.,Acquedotto di Mosso,<0.05,0.29,2.7,33,04/07/2019,9.4,<0.10,1.8,<0.05,6.7,2.7
CapoluogoFontana della piazza parrocchiale,Acquedotto di Muzzano,<0.05,0.30,0.36,22,10/02/2020,22,<0.10,0.95,<0.05,6.6,1.7
CapoluogoServizi igienici Municipio,Acquedotto di Muzzano,<0.05,0.15,0.82,20,10/01/2018,19,<0.1,3.2,<0.05,6.5,2
CapoluogoServizi igienici Municipio,Acquedotto di Occhieppo Inferiore,<0.05,0.08,0.51,30,10/02/2020,55,<0.1,1.0,<0.05,6.8,1.9
Capoluogo.Fontana di via Villa.,Acquedotto di Occhieppo Inferiore,<0.05,0.25,0.64,21,02/04/2020,17,<0.1,1.5,0.06,6.8,2.0
"Capoluogo.Casa di riposo Cerino Zegna, cucina.",Acquedotto di Occhieppo Inferiore,<0.05,0.14,0.85,23,13/02/2019,63,<0.10,1.9,<0.05,6.9,2.5
CapoluogoServizi igienici Municipio,Acquedotto di Occhieppo Superiore,<0.05,0.22,0.48,23,10/02/2020,20,<0.10,1.3,<0.05,6.8,2.0
Frazione GalfioneLavatoio,Acquedotto di Occhieppo Superiore,<0.05,0.23,0.81,29,07/11/2019,<5,<0.10,1.8,<0.05,6.8,1.6
CapoluogoFontana posta sulla piazza del municipio.,Acquedotto di Occhieppo Superiore,<0.05,0.18,1.2,20,05/05/2020,8.8,<0.10,1.5,<0.05,6.9,1.9
CapoluogoFontana del parco giochi,Acquedotto di Pettinengo,,,,,15/02/2007,64.32,,,,,
CapoluogoServizi igienici Municipio,Acquedotto di Pettinengo,<0.05,0.22,6.3,119,10/12/2019,86,<0.10,22,<0.05,6.7,11
Fraz.San FrancescoFontana Cimitero,Acquedotto di Pettinengo,<0.05,<0.05,12,151,17/07/2019,57,<0.1,15,<0.05,6.5,17
Capoluogo.Fontana cimitero.,Acquedotto di Pettinengo,<0.05,0.19,3.9,115,17/04/2019,57,<0.10,17,<0.05,6.9,7.2
Capoluogofontana dei giardini di Via Bellia,Acquedotto di Pettinengo,<0.05,0.20,5.0,109,14/10/2019,33,<0.10,17,<0.05,6.8,7.7
Capoluogofontana dei giardini di Via Bellia,Acquedotto di Pettinengo,<0.05,0.20,5.0,114,15/04/2020,68,<0.10,18,<0.05,6.7,9.2
CapoluogoFontana pubblica,Acquedotto di Piatto,<0.05,0.24,6.0,90,12/02/2020,11,<0.1,8.7,<0.05,6.6,4.0
CapoluogoFontana del parco giochi,Acquedotto di Piedicavallo,<0.05,<0.05,0.55,13,19/03/2020,7.3,<0.1,2.8,<0.05,6.7,1.8
Frazione MontesinaroFontana pubblica,Acquedotto di Piedicavallo,<0.05,0.23,0.64,17,19/03/2020,29,<0.1,3.3,<0.05,6.6,2.0
Capoluogo.Fontana sulla via che conduce al parco giochi,Acquedotto di Piedicavallo,<0.05,<0.05,0.16,20.6,22/11/2011,<5,<0.1,0.95,<0.05,7.16,2.45
CapoluogoFontana presso le Scuole Elementari,Acquedotto di Pollone,<0.05,0.20,0.75,23,05/05/2020,7.7,<0.10,2.7,<0.05,6.7,2.1
CapoluogoServizi igienici delle Scuole Medie,Acquedotto di Pollone,<0.05,0.12,0.79,27,23/03/2015,<5,<0.1,3.5,<0.05,6.5,2.1
Capoluogo.Servizi igienici delle scuole elementari.,Acquedotto di Pollone,0.09,<0.05,1.1,26,02/03/2020,120,<0.1,2.4,<0.05,6.9,1.7
CapoluogoFontana presso il campo sportivo,Acquedotto di Ponderano,<0.05,0.17,3.1,137,14/11/2019,20,<0.10,4.7,0.14,7.4,2.1
CapoluogoMunicipio servizi igienici.,Acquedotto di Ponderano,<0.05,0.18,3.4,125,07/04/2020,120,<0.1,4.2,<0.05,7.3,3.1
CapoluogoServizi igienici Municipio,Acquedotto di Pralungo,<0.05,0.28,2.0,32,12/02/2020,16,<0.1,2.0,<0.05,6.8,2.2
Frazione ValleFontana pubblica,Acquedotto di Pralungo,<0.05,0.30,3.8,57,10/03/2020,6.6,<0.1,3.2,<0.05,6.9,2.4
Frazione S. EurosiaFontana pubblica presso l'Alp Hotel,Acquedotto di Pralungo,<0.05,<0.05,1.5,34,04/04/2019,32,<0.1,3,<0.05,6.9,3.1
"Capoluogo.Piazza martiri della libertà,fontana del parco giochi.",Acquedotto di Pralungo,<0.05,0.11,2.1,29,07/06/2018,42,<0.1,2.3,<0.05,6.6,2.3
capoluogoFontana Zerbole,Acquedotto di Pralungo,<0.05,0.17,3.4,27,10/03/2020,20,<0.1,1.8,<0.05,6.9,2.4
CapoluogoFontana di Via Parlamento,Acquedotto di Quaregna,0.05,0.24,4.9,90,16/03/2020,19,<0.1,7.6,<0.05,7.6,5.4
CapoluogoFontana del Municipio,Acquedotto di Quittengo,<0.05,0.12,0.61,42,19/03/2020,91,<0.10,2.2,<0.05,6.7,1.9
Frazione RialmossoFontana pubblica,Acquedotto di Quittengo,<0.05,<0.05,0.54,40,09/07/2019,15,<0.1,2.3,<0.05,7.2,1.2
Frazione SassaiaFontana pubblica,Acquedotto di Quittengo,<0.05,0.13,2.0,37,16/04/2020,35,<0.1,0.36,<0.05,6.9,4.4
CapoluogoFontana Bogna,Acquedotto di Quittengo,<0.05,0.08,0.85,30,09/07/2019,23,<0.1,2.3,<0.05,7.1,1.7
CapoluogoFontana palestra di roccia,Acquedotto di Quittengo,<0.05,<0.05,0.41,29,09/07/2019,26,<0.1,2.3,<0.05,7.1,1.7
CapoluogoFontana presso il Municipio,Acquedotto di Ronco Biellese,<0.05,<0.05,1.7,31,22/01/2020,55,<0.1,2.4,<0.05,7.4,2.9
CapoluogoServizi igienici delle Scuole elementari,Acquedotto di Ronco Biellese,<0.05,0.25,1.6,36,03/02/2020,50,<0.1,2.4,<0.05,7.1,2.7
Capoluogo.Servizi igienici del municipio.,Acquedotto di Ronco Biellese,<0.05,0.11,2.9,48,15/12/2017,87,<0.1,3.1,<0.05,7.1,4.4
CapoluogoFontana di Via Q. Sella,Acquedotto di Rosazza,<0.05,<0.05,1,17,19/03/2020,8.4,<0.1,3.3,<0.05,6.8,2.5
Capoluogofontana piazza F. Rosazza,Acquedotto di Rosazza,<0.05,<0.05,0.24,20,16/04/2020,22,<0.1,3.1,<0.05,6.9,2.3
Frazione MortigliengoFontana pubblica,Acquedotto di S.Paolo Cervo,<0.05,0.25,0.83,35,19/03/2020,110,<0.1,4.5,<0.05,6.9,1.7
Frazione PianaFontana pubblica,Acquedotto di S.Paolo Cervo,<0.05,0.22,1.4,50,16/04/2020,39,<0.1,2.4,<0.05,7.7,3.8
Frazione RiabellaFontana pubblica,Acquedotto di S.Paolo Cervo,<0.05,0.19,0.70,36,18/06/2019,20,<0.10,5.6,<0.05,7.1,4.1
Fraz. Orettofontana,Acquedotto di S.Paolo Cervo,<0.05,0.15,2.5,39,19/03/2020,53,<0.1,2.2,<0.05,6.7,2.3
Capoluogo.Servizi igienici del Municipio,Acquedotto di Sala Biellese,<0.05,0.30,11,92,14/11/2019,121,<0.10,3.3,<0.05,7.4,4.7
Frazione BornascoFontana pubblica,Acquedotto di Sala Biellese,<0.05,0.16,12,106,01/04/2020,30,<0.1,3.0,<0.05,7.6,3.8
capoluogofontana parco giochi,Acquedotto di Sala Biellese,<0.05,0.18,11,99,13/06/2019,16,<0.1,3.3,<0.05,7.4,4.7
Bornascofontana di Bornasco,Acquedotto di Sala Biellese,<0.05,0.25,11,109,01/03/2017,30,<0.1,2.9,<0.05,7.9,4.7
CapoluogoServizi igienici del Municipio,Acquedotto di Selve Marcone,<0.05,<0.05,0.78,92.3,08/01/2014,<5,<0.1,7.1,<0.05,7.3,1.7
Frazione BaltigatiEsercizio pubblico .,Acquedotto di Soprana,<0.05,<0.05,25,92,23/01/2020,15,<0.1,6.7,<0.05,,2.0
Frazione CereieFontana pubblica,Acquedotto di Soprana,<0.05,<0.05,18,146,03/09/2019,39,<0.1,11,<0.05,6.6,11
Frazione CerrutiServizi igienici delle Scuole,Acquedotto di Soprana,<0.05,<0.05,4.1,96,05/02/2020,19,<0.10,11,<0.05,6.7,8.5
Frazione LanvarioFontana pubblica,Acquedotto di Soprana,0.05,<0.05,0.61,40,18/03/2020,33,<0.10,0.63,<0.05,,3.1
Frazione VioglioFontana pubblica,Acquedotto di Soprana,<0.05,0.16,10,106,10/07/2019,22,0.12,14,<0.05,,5.3
Frazione BaltigatiFontana del Parco giochi,Acquedotto di Soprana,<0.05,0.07,21,108,12/01/2015,9.6,<0.1,4.4,<0.05,,1.5
Fraz. MolinengoFontana pubblica,Acquedotto di Soprana,<0.05,<0.05,0.84,56,03/09/2019,43,0.27,1.3,0.11,6.5,5.3
Frazione Lanvario.Servizi Municipio.,Acquedotto di Soprana,<0.05,<0.05,0.53,35,14/12/2016,136,<0.1,0.76,<0.05,6.5,3.1
CapoluogoFontana di piazza del Municipio,Acquedotto di Sordevolo,<0.05,0.13,0.73,20,09/01/2020,6.5,<0.10,2.0,<0.05,6.5,2.0
Frazione S. GratoFontana di piazza S. Grato,Acquedotto di Sordevolo,<0.05,0.1,0.53,23.6,08/03/2012,<5,<0.1,1.8,<0.05,6.92,2.56
