alias_city,alias_address,georeferencingString,type
FLERO,F.P. Municipio,"Municipio, FLERO, Brescia,  Lombardia, Italia",POINT
FLERO,Via A. Moro,"Via A. Moro, FLERO, Brescia,  Lombardia, Italia",POINT
GARDONE RIVIERA,P.R. Parcheggio Vittoriale,"Parcheggio Vittoriale, GARDONE RIVIERA, Brescia,  Lombardia, Italia",POINT
GARDONE RIVIERA,P.R. Via Chiesa Morgnaga,"Via Chiesa Morgnaga, GARDONE RIVIERA, Brescia,  Lombardia, Italia",POINT
GARDONE RIVIERA,P.R. Via Fasano Sopra,"Via Fasano Sopra, GARDONE RIVIERA, Brescia,  Lombardia, Italia",POINT
GARDONE RIVIERA,P.R. Via Fontana S. Michele,"Via Fontana S. Michele, GARDONE RIVIERA, Brescia,  Lombardia, Italia",POINT
GARDONE RIVIERA,P.R. Via Porto Fasano,"Via Porto Fasano, GARDONE RIVIERA, Brescia,  Lombardia, Italia",POINT
GARGNANO,P.R. Piazza Zanini (Navazzo),"Piazza Zanini (Navazzo), GARGNANO, Brescia,  Lombardia, Italia",POINT
GARGNANO,P.R. Via Battocletti Bogliaco,"Via Battocletti Bogliaco, GARGNANO, Brescia,  Lombardia, Italia",POINT
GARGNANO,P.R. Via Costa,"Via Costa, GARGNANO, Brescia,  Lombardia, Italia",POINT
GARGNANO,P.R. Via Donatori di Sangue,"Via Donatori di Sangue, GARGNANO, Brescia,  Lombardia, Italia",POINT
GARGNANO,P.R. Via Poggio degli Ulivi,"Via Poggio degli Ulivi, GARGNANO, Brescia,  Lombardia, Italia",POINT
GARGNANO,P.R. Via Torrazzo,"Via Torrazzo, GARGNANO, Brescia,  Lombardia, Italia",POINT
ISEO,Cimitero Pilzone,"Cimitero Pilzone, ISEO, Brescia,  Lombardia, Italia",POINT
ISEO,F.P. Piazza Garibaldi,"Piazza Garibaldi, ISEO, Brescia,  Lombardia, Italia",POINT
ISEO,F.P. Via Bonomelli,"Via Bonomelli, ISEO, Brescia,  Lombardia, Italia",POINT
ISEO,F.P. Via Carlo Bonardi,"Via Carlo Bonardi, ISEO, Brescia,  Lombardia, Italia",POINT
ISEO,F.P. Via San Rocco (Clusane),"Via San Rocco (Clusane), ISEO, Brescia,  Lombardia, Italia",POINT
LENO,P.R. Piazza Giovanni Gentile,"Piazza Giovanni Gentile, LENO, Brescia,  Lombardia, Italia",POINT
LENO,P.R. Quartiere Tita Secchi,"Quartiere Tita Secchi, LENO, Brescia,  Lombardia, Italia",POINT
LENO,P.R. Via Aldo Moro,"Via Aldo Moro, LENO, Brescia,  Lombardia, Italia",POINT
LENO,P.R. Via Bravi,"Via Bravi, LENO, Brescia,  Lombardia, Italia",POINT
LENO,P.R. Via Manzoni,"Via Manzoni, LENO, Brescia,  Lombardia, Italia",POINT
LENO,P.R. Via Marconi,"Via Marconi, LENO, Brescia,  Lombardia, Italia",POINT
