alias_city,alias_address,urlReport,page,data_report
PONCARALE,F.P. Via Mazzini,https://www.acquebresciane.it/public/dam/jcr:18f6e9bf-8cb2-4af2-bef4-4ce26b76b61b/Analisi_Acqua_Poncarale_1_sem_2019.pdf,1,1° semestre 2019
PONCARALE,F.P. Via S.Martino,https://www.acquebresciane.it/public/dam/jcr:18f6e9bf-8cb2-4af2-bef4-4ce26b76b61b/Analisi_Acqua_Poncarale_1_sem_2019.pdf,2,1° semestre 2019
PONCARALE,F.P. Via sorelle Girelli,https://www.acquebresciane.it/public/dam/jcr:18f6e9bf-8cb2-4af2-bef4-4ce26b76b61b/Analisi_Acqua_Poncarale_1_sem_2019.pdf,3,1° semestre 2019
PONTOGLIO,F.P. Via Garibaldi,https://www.acquebresciane.it/public/dam/jcr:ea0b0e68-0590-4a1c-8473-94a31f6e7243/Analisi_Acqua_Pontoglio_1_sem_2019.pdf,0,1° semestre 2019
POZZOLENGO,P.R. Piazza Alpini,https://www.acquebresciane.it/public/dam/jcr:09b42e57-7605-4eef-84e8-7f941d6bf918/Analisi_Acqua_Pozzolengo_1_sem_2019.pdf,0,1° semestre 2019
POZZOLENGO,P.R. Via Castello,https://www.acquebresciane.it/public/dam/jcr:09b42e57-7605-4eef-84e8-7f941d6bf918/Analisi_Acqua_Pozzolengo_1_sem_2019.pdf,1,1° semestre 2019
PREVALLE,P.R. Via Gavardina,https://www.acquebresciane.it/public/dam/jcr:be751216-2d13-4ae8-babe-8f5a37a38973/Analisi_Acqua_Prevalle_1_sem_2019.pdf,0,1° semestre 2019
PREVALLE,P.R. Carducci,https://www.acquebresciane.it/public/dam/jcr:be751216-2d13-4ae8-babe-8f5a37a38973/Analisi_Acqua_Prevalle_1_sem_2019.pdf,1,1° semestre 2019
PREVALLE,P.R. Via Bonsignori,https://www.acquebresciane.it/public/dam/jcr:be751216-2d13-4ae8-babe-8f5a37a38973/Analisi_Acqua_Prevalle_1_sem_2019.pdf,2,1° semestre 2019
PROVAGLIO D’ISEO,F.P. Via Olimpia,https://www.acquebresciane.it/public/dam/jcr:76cc8a7b-6fc6-43e3-951b-1d8c38d538e7/Analisi_Acqua_ProvaglioDIseo_1_sem_2019.pdf,0,1° semestre 2019
